date,time,temp,hum,wind
2024-01-10,00:10,-6.1,96.2,0.3
2024-01-10,00:10,-6.1,96.2,0.3
2024-01-10,00:20,-6.0,96.3,0.4
2024-01-10,00:20,-6.0,96.3,0.4
2024-01-10,00:30,-6.2,95.4,0.3
2024-01-10,00:30,-6.2,95.4,0.3
2024-01-10,00:40,-6.4,95.3,0.5
2024-01-10,00:40,-6.4,95.3,0.5
2024-01-10,00:50,-6.9,95.1,0.3
2024-01-10,00:50,-6.9,95.1,0.3
2024-01-10,01:00,-7.3,95.2,0.4
2024-01-10,01:00,-7.3,95.2,0.4
2024-01-10,01:10,-7.0,95.5,0.5
2024-01-10,01:10,-7.0,95.5,0.5
2024-01-10,01:20,-6.1,95.7,0.4
2024-01-10,01:20,-6.1,95.7,0.4
2024-01-10,01:30,-5.6,95.3,0.6
2024-01-10,01:30,-5.6,95.3,0.6
2024-01-10,01:40,-5.0,94.5,0.7
2024-01-10,01:40,-5.0,94.5,0.7
2024-01-10,01:50,-4.9,93.8,0.3
2024-01-10,01:50,-4.9,93.8,0.3
2024-01-10,02:00,-5.0,93.7,0.2
2024-01-10,02:00,-5.0,93.7,0.2
2024-01-10,02:10,-5.0,94.0,0.2
2024-01-10,02:10,-5.0,94.0,0.2
2024-01-10,02:20,-5.1,93.5,0.3
2024-01-10,02:20,-5.1,93.5,0.3
2024-01-10,02:30,-5.0,93.4,0.4
2024-01-10,02:30,-5.0,93.4,0.4
2024-01-10,02:40,-4.9,93.3,0.6
2024-01-10,02:40,-4.9,93.3,0.6
2024-01-10,02:50,-4.9,92.7,0.9
2024-01-10,02:50,-4.9,92.7,0.9
2024-01-10,03:00,-4.9,92.5,0.8
2024-01-10,03:00,-4.9,92.5,0.8
2024-01-10,03:10,-5.0,92.4,0.8
2024-01-10,03:10,-5.0,92.4,0.8
2024-01-10,03:20,-5.1,92.0,0.9
2024-01-10,03:20,-5.1,92.0,0.9
2024-01-10,03:30,-5.1,91.5,0.9
2024-01-10,03:30,-5.1,91.5,0.9
2024-01-10,03:40,-5.0,91.6,0.8
2024-01-10,03:40,-5.0,91.6,0.8
2024-01-10,03:50,-5.0,91.1,0.7
2024-01-10,03:50,-5.0,91.1,0.7
2024-01-10,04:00,-4.9,90.9,0.8
2024-01-10,04:00,-4.9,90.9,0.8
2024-01-10,04:10,-4.9,90.8,0.9
2024-01-10,04:20,-4.5,90.9,1.1
2024-01-10,04:30,-4.2,90.4,0.8
2024-01-10,04:40,-4.4,90.6,0.8
2024-01-10,04:50,-4.5,91.4,0.3
2024-01-10,05:00,-5.0,91.7,0.7
2024-01-10,05:10,-5.4,91.9,0.5
2024-01-10,05:20,-5.7,92.4,0.7
2024-01-10,05:30,-5.9,92.2,0.8
2024-01-10,05:40,-6.1,92.1,0.9
2024-01-10,05:50,-5.9,92.1,1.1
2024-01-10,06:00,-5.8,91.7,0.9
2024-01-10,06:10,-6.0,91.8,0.8
2024-01-10,06:20,-5.8,92.1,0.9
2024-01-10,06:30,-5.9,91.9,0.8
2024-01-10,06:40,-5.9,92.0,1.0
2024-01-10,06:50,-5.8,92.1,0.9
2024-01-10,07:00,-6.1,92.2,0.5
2024-01-10,07:10,-6.3,92.9,0.7
2024-01-10,07:20,-6.3,93.0,0.7
2024-01-10,07:30,-6.3,93.0,0.8
2024-01-10,07:40,-6.1,93.1,0.9
2024-01-10,07:50,-6.2,92.4,0.8
2024-01-10,08:00,-6.4,92.2,0.9
2024-01-10,08:10,-6.4,92.1,0.9
2024-01-10,08:20,-6.2,91.3,0.8
2024-01-10,08:30,-6.1,90.5,1.0
2024-01-10,08:40,-6.2,90.0,0.7
2024-01-10,08:50,-6.4,90.2,0.3
2024-01-10,09:00,-6.6,90.4,0.3
2024-01-10,09:10,-6.8,90.4,0.8
2024-01-10,09:20,-6.8,90.4,0.9
2024-01-10,09:30,-6.6,90.0,0.6
2024-01-10,09:40,-6.3,89.5,0.3
2024-01-10,09:50,-6.1,88.9,0.4
2024-01-10,10:00,-6.0,89.0,0.2
2024-01-10,10:10,-5.7,88.4,0.4
2024-01-10,10:20,-5.2,87.8,0.5
2024-01-10,10:30,-4.9,87.6,0.5
2024-01-10,10:40,-4.1,86.2,0.3
2024-01-10,10:50,-3.4,82.9,0.4
2024-01-10,11:00,-3.2,82.0,0.5
2024-01-10,11:10,-2.9,81.6,0.4
2024-01-10,11:20,-2.3,81.7,0.4
2024-01-10,11:30,-1.8,80.6,0.4
2024-01-10,11:40,-1.5,78.3,0.4
2024-01-10,11:50,-1.3,77.0,0.7
2024-01-10,12:00,-0.9,76.2,0.6
2024-01-10,12:10,-0.3,75.9,0.6
2024-01-10,12:20,0.0,75.2,0.5
2024-01-10,12:30,0.3,75.0,0.7
2024-01-10,12:40,0.5,73.5,0.6
2024-01-10,12:50,1.0,72.7,0.5
2024-01-10,13:00,1.6,70.9,0.7
2024-01-10,13:10,1.7,69.6,0.8
2024-01-10,13:20,2.0,68.1,0.4
2024-01-10,13:30,2.4,66.9,0.7
2024-01-10,13:40,2.6,66.0,0.6
2024-01-10,13:50,3.0,65.3,0.7
