,도명,지점명1,지점명2,지점코드
0,경기도,가평군,가평읍,477802A001
1,경기도,고양시,구산동,411801A001
2,경기도,고양시,덕양구,412040A002
3,경기도,광주시,목현동,464030A001
4,경기도,김포시,월곶면,415743A001
5,경기도,남양주,진건읍,472830A001
6,경기도,시흥시,하중동,429843A001
7,경기도,안성시,보개면,456871A001
8,경기도,양주시,은현면,482841A001
9,경기도,양평군,양평읍,476801A001
10,경기도,여주시,상거동,469803A001
11,경기도,연천군,연천읍,486803A001
12,경기도,용인시,처인구,449872A001
13,경기도,이천시,중리동,467800A001
14,경기도,파주시,아동동,413813A001
15,경기도,평택시,오성면,451873A001
16,경기도,포천시,신북면,487915A001
17,경기도,화성시,장안면,445891A001
18,강원특별자치도,동해시,북평동,240813A001
19,강원특별자치도,삼척시,근덕면,245832A001
20,강원특별자치도,삼척시,미로면,245825A002
21,강원특별자치도,속초시,대포동,217060A001
22,강원특별자치도,양구군,만대리,255840A001
23,강원특별자치도,양구군,후리,255840A002
24,강원특별자치도,양양군,양양읍,215821A001
25,강원특별자치도,영월군,영월읍,230802A001
26,강원특별자치도,원주시,흥업면,220844A001
27,강원특별자치도,인제군,인제읍,252805A001
28,강원특별자치도,정선군,신동읍,026136A003
29,강원특별자치도,정선군,임계면,233852A002
30,강원특별자치도,정선군,정선읍,233852A001
31,강원특별자치도,철원군,동송읍,269811A001
32,강원특별자치도,춘천시,신북읍,200821A001
33,강원특별자치도,태백시,황지동,235802A001
34,강원특별자치도,평창군,여만리,232803A001
35,강원특별자치도,홍천군,화동리,250802A001
36,강원특별자치도,화천군,화천읍,209802A001
37,강원특별자치도,횡성군,공근면,225874A001
38,충청북도,영동군,심천면,370853A001
39,충청북도,옥천군,옥천읍,373805A001
40,충청북도,음성군,소이면,269804A001
41,충청북도,제천시,봉양읍,390874A001
42,충청북도,진천군,진천읍,365803A001
43,충청북도,청원군,오창읍,363883B001
44,충청북도,청주시,남일면,363844A001
45,충청북도,충주시,달천동,380959A001
46,충청남도,계룡시,두마면,321916A001
47,충청남도,공주시,우성면,032528A001
48,충청남도,금산군,금성면,312831A001
49,충청남도,논산시,광석면,320862A001
50,충청남도,당진시,당진읍,343808A001
51,충청남도,보령시,주교면,355831A001
52,충청남도,부여군,규암면,323814A001
53,충청남도,아산시,염치읍,336812A001
54,충청남도,예산군,신암면,340861A001
55,충청남도,천안시,목천읍,330846A001
56,충청남도,천안시,성환읍,031004A002
57,충청남도,청양군,청양읍,345802A001
58,충청남도,태안군,태안읍,357903A001
59,충청남도,홍성군,홍성읍,350808A001
60,전라북도,군산시,개정면,054065A001
61,전라북도,김제시,부량면,576040A001
62,전라북도,남원시,이백면,590823A001
63,전라북도,무주군,무주읍,588802A001
64,전라북도,순창군,구림면,595870A001
65,전라북도,완주군,고산면,565862A001
66,전라북도,익산시,함열읍,570802A001
67,전라북도,임실군,신평면,566822A001
68,전라북도,장수군,장수읍,597803A001
69,전라북도,정읍시,정우면,580813A001
70,전라북도,진안군,진안읍,567801A002
71,전라남도,강진군,군동면,059223A001
72,전라남도,고흥군,풍양면,548912A001
73,전라남도,곡성군,오곡면,516821A001
74,전라남도,구례군,구례읍,542805A001
75,전라남도,나주시,공산면,520892A001
76,전라남도,나주시,문평면,520943A002
77,전라남도,나주시,봉황면,520853A003
78,전라남도,나주시,산포면,535873B003
79,전라남도,무안군,현경면,534844A001
80,전라남도,보성군,보성읍,546804B001
81,전라남도,순천시,주암면,540814A001
82,전라남도,신안군,압해읍,535812A001
83,전라남도,여수시,주삼동,555130A001
84,전라남도,영광군,군서면,513842A001
85,전라남도,영암군,덕진면,526821A001
86,전라남도,완도군,완도읍,537807B004
87,전라남도,장성군,장성읍,515804A001
88,전라남도,장흥군,장흥읍,529805A001
89,전라남도,진도군,군내면,539823A001
90,전라남도,함평군,학교면,525811A001
91,전라남도,해남군,삼산면,536806A001
92,전라남도,해남군,옥천면,536824B002
93,전라남도,화순군,한천면,519822A001
94,경상북도,경산시,자인면,712851A001
95,경상북도,경주시,용강상리,780950A001
96,경상북도,구미시,선산읍,730802A001
97,경상북도,구미시,옥성면,039102B003
98,경상북도,군위군,효령면,716823A001
99,경상북도,대구시,북구,041404B001
100,경상북도,문경시,흥덕동,745230A001
101,경상북도,봉화군,봉성면,755851A002
102,경상북도,봉화군,석포면,755851A001
103,경상북도,봉화군,외삼리,036229B007
104,경상북도,상주시,공성면,037268B004
105,경상북도,상주시,초산동,742290A001
106,경상북도,성주군,대가면,719862A001
107,경상북도,성주군,대천리,040054B002
108,경상북도,안동시,북후면,036614B005
109,경상북도,안동시,송천동,760380A001
110,경상북도,영양군,대천리,036531B008
111,경상북도,영양군,영양읍,764803A001
112,경상북도,영주시,부석면,750823A005
113,경상북도,영주시,안정로,750873A001
114,경상북도,영주시,안풍리,750873A002
115,경상북도,영주시,용산리,036052B006
116,경상북도,영주시,평은면,750852A006
117,경상북도,영주시,풍기읍,750804A003
118,경상북도,영천시,오미동,770270A001
119,경상북도,예천군,예천읍,757802A001
120,경상북도,울진군,매화면,767862A001
121,경상북도,의성군,봉양면,769912A001
122,경상북도,의성군,의성읍,037339B009
123,경상북도,청도군,각북면,038303A002
124,경상북도,청도군,이서면,038315B010
125,경상북도,청도군,화양읍,714902A001
126,경상북도,청송군,청송읍,763803A001
127,경상북도,칠곡군,약목면,718814A001
128,경상북도,포항시,기북면,037524A002
129,경상북도,포항시,북구,791945A001
130,경상북도,포항시,죽장면,037506A003
131,경상남도,거제시,거제면,656933A001
132,경상남도,거창군,거창읍,670807A001
133,경상남도,고성군,고성읍,638802A001
134,경상남도,김해시,전하동,621100A001
135,경상남도,밀양시,상남면,627911A001
136,경상남도,사천시,용현면,664951A001
137,경상남도,진주시,초전동,660985B001
138,경상남도,창녕군,대지면,635821A001
139,경상남도,창원시,대산면,051394A001
140,경상남도,통영시,광도면,650821A001
141,경상남도,하동군,적량면,667831A001
142,경상남도,하동군,화개면,052304A001
143,경상남도,합천군,용주면,678806A001
144,제주도,서귀포,감산리,063531B010
145,제주도,서귀포,중문동,063550B007
146,제주도,서귀포,하례리,699946A001
147,제주도,제주시,곽지리,695913A001
148,제주도,제주시,김녕리,695971A001
149,제주도,제주시,상귀길,695909B001
150,제주도,제주시,세화리,063352B012
151,제주도,제주시,송당리,063355A013
152,제주도,제주시,애월읍,063057B009
153,제주도,제주시,월각로,695907A001
154,제주도,제주시,조천읍,063336B011
155,제주도,제주시,한동리,053359B008
156,제주도,제주시,한림읍,695923A001
157,서울,서울시,서초구,137180A001
158,부산,부산시,강서구,618803A001
159,인천,옹진군,백령면,409911A001
160,인천,옹진군,영흥면,409871A001
161,울산,울산시,청량면,689861A001
162,국립농업과학원,거창군,동변리,050124D004
163,국립농업과학원,남원시,운봉읍,590834E001
