기상모니터링 기상통계										
지역명 :	경기포천									
통계구분 :	기간									
기간 :	2021-06-01~2021-07-31									
일자	기온(Temperature)				습도	강우량	일사량	결로시간	풍속	
					(%)	(mm)	(MJ/m2)	(min)	(m/s)	
	평균	표준편차	최고	최저					평균	최대
2021-06-01	17.2	-	20.8	14	87.7	4.5	9.4	247	0.6	2.9
2021-06-02	20.3	-	28.4	13.9	74.2	0	21.5	0	0.5	3
2021-06-03	17.5	-	21.6	13.1	88.9	16.5	4.7	619	0.3	2.7
2021-06-04	17.5	-	23.7	11.6	69	0	25.4	226	1.9	5
2021-06-05	19.3	-	25.4	13.7	62	0	19.6	0	1.9	4.4
2021-06-06	20.2	-	27.3	12	73.7	0	24.9	0	0.9	3.3
2021-06-07	19.8	-	23.5	17.1	81.9	0	10.8	234	0.9	3.1
2021-06-08	19.4	-	26.2	15.8	83.9	2	11.2	511	0.1	1.6
2021-06-09	21.9	-	30	14.1	74.8	0	20.2	0	0.2	2.2
2021-06-10	22.4	-	29.3	17.2	81.5	4	14.2	292	0.4	3.6
2021-06-11	20.6	-	23.9	17.8	84.7	7.5	12.3	324	1.7	4.2
2021-06-12	22.4	-	30	16.8	79.1	0	20.6	0	0.4	2
2021-06-13	23.6	-	31.6	16.4	73.7	0	24.6	0	0.4	2.3
2021-06-14	23	-	30.3	16.8	74.2	0	20.2	0	0.4	2.1
2021-06-15	20.6	-	24.2	18.4	86.1	15	7.4	579	0.4	2.2
2021-06-16	22.1	-	27.6	16.7	67.7	0	22.7	0	1.5	4.8
2021-06-17	19.2	-	23.2	15.8	81.3	0	8.4	205	0.1	1.8
2021-06-18	20.2	-	24.5	18.3	90.7	8.5	10.7	801	1.2	2.6
2021-06-19	20.7	-	27	14.5	76.8	0	25.5	0	0.9	2.9
2021-06-20	20.7	-	28.9	13.2	79.9	0	23.3	228	1.1	4.1
2021-06-21	21.9	-	27.6	17.1	74.5	0	23	0	0.5	3.9
2021-06-22	20.3	-	27.6	15.1	78.3	0	19.2	0	0.7	3.5
2021-06-23	20.8	-	27.2	14.7	73.5	0	22.8	136	0.6	2.5
2021-06-24	21.7	-	28.2	15.6	76.1	0	23.1	0	0.6	2.7
2021-06-25	22.7	-	28.3	16.7	75.2	0	21.7	0	0.6	2.7
2021-06-26	20.2	-	22.4	18.7	91.4	4.5	6.1	1086	0.1	1.8
2021-06-27	21.7	-	29.7	16.3	83.7	9	18.1	887	0.4	2
2021-06-28	22.5	-	27.3	18.9	79.3	0	16.8	680	0.4	2.2
2021-06-29	22.8	-	28.3	17.7	80.2	0.5	21.1	163	0.6	2.5
2021-06-30	21.9	-	27.5	19.7	89.8	2	13.1	1157	0.3	2.4
2021-07-01	23.8	-	30.5	18.8	80.9	0	19.6	499	0.4	2.6
2021-07-02	24.1	-	30.3	20.5	76.7	0	16.3	0	0.7	3
2021-07-03	20.9	-	24.8	18.4	82.7	31.5	7.3	399	0.7	2.9
2021-07-04	20.4	-	23.1	18.9	98.3	30.5	5.1	1358	1.1	2.8
2021-07-05	21.3	-	26.1	18.7	87.7	0	12.1	462	0.9	2.6
2021-07-06	23.2	-	29.1	17.9	84.3	0	19.8	0	0.6	2.8
2021-07-07	24.8	-	29.9	20.1	84.3	0	17.8	7	0.3	1.5
2021-07-08	24.5	-	31.4	20.3	85.8	37.5	15.2	427	0.5	3.2
2021-07-09	23.9	-	28.8	20.1	86.7	0	18.2	538	0.5	2.5
2021-07-10	23.7	-	27.6	20.9	87	2.5	15.9	313	0.8	4.9
2021-07-11	23.5	-	27.2	20.4	94.2	18.5	8.3	542	0.5	2.9
2021-07-12	26.1	-	32	22.1	84.8	0	20	460	0.4	1.8
2021-07-13	26.4	-	32.7	21.6	85.1	0	21.2	80	0.6	3.5
2021-07-14	27.4	-	32.7	22.6	82.2	0	19.8	0	0.6	3
2021-07-15	26.8	-	34	21.2	83.1	1.5	20.1	699	0.4	3.7
2021-07-16	25.6	-	33	20.2	82.1	0	17.8	499	0.4	3.4
2021-07-17	25.8	-	30.9	20.1	78.7	0.5	20.4	55	0.4	2.2
2021-07-18	26.8	-	32.6	21.5	78	0.5	21.2	488	0.2	1.8
2021-07-19	25.7	-	31.7	22.3	84.5	6.5	17.2	945	0.3	3.9
2021-07-20	26.5	-	32.9	21.3	82.3	0	20.2	501	0.2	1.4
2021-07-21	28.6	-	35.6	22.3	76.3	0	23.3	121	0.3	1.8
2021-07-22	28	-	35.2	22.1	74.1	0	23.5	0	0.3	1.7
2021-07-23	28	-	35.5	21.3	75.1	0	23.6	56	0.3	2
2021-07-24	28.4	-	36.1	21.7	72.4	0	23.2	0	0.2	2
2021-07-25	28.5	-	35.9	22	73.2	0	23.4	0	0.4	2
2021-07-26	29.1	-	35.1	24.1	69.6	0	23.8	0	0.5	2.6
2021-07-27	29.3	-	35.8	24	69.8	0	22.6	40	0.6	2.4
2021-07-28	28.1	-	34.8	22.4	71.8	0	22.5	0	0.3	2.6
2021-07-29	27	-	32.9	21.4	79.6	0	14	0	0.2	2.1
2021-07-30	28.2	-	34.5	21.9	73.6	0	21.3	11	0.6	3.4
2021-07-31	28	-	33.1	24.5	77.6	1	18	337	0.6	2.7
