기상모니터링 기상통계										
지역명 :	경기포천									
통계구분 :	기간									
기간 :	2020-10-01~2020-11-30									
일자	기온(Temperature)				습도	강우량	일사량	결로시간	풍속	
					(%)	(mm)	(MJ/m2)	(min)	(m/s)	
	평균	표준편차	최고	최저					평균	최대
2020-10-01	17.3	-	22.8	12.5	78.5	0	13.6	12	0.3	3.1
2020-10-02	16.8	-	19.6	13.2	86.5	2	4.3	248	1	3.1
2020-10-03	17.6	-	22.4	14.5	78.7	0	14.8	0	0.5	3.2
2020-10-04	14.5	-	20.9	6	77.8	1.5	12.9	164	0.9	4.7
2020-10-05	9.6	-	17.2	2.8	72.9	0	19.1	0	0.8	3.9
2020-10-06	9.3	-	18.5	2	77.2	0	18.6	202	0.3	2.1
2020-10-07	11.3	-	21.6	3.7	74.1	0	16.2	0	0.4	2.7
2020-10-08	12.4	-	22.2	4.4	71.8	0	18	246	0.9	4.5
2020-10-09	14	-	21.8	6	63.7	0	17.9	0	0.9	3.7
2020-10-10	13.6	-	20.7	7.5	71.7	0	14.8	0	0.3	2.4
2020-10-11	13.1	-	21.2	6.3	79.8	0	13.7	0	0.2	2.2
2020-10-12	13	-	19.6	7.5	83.5	0	10.8	5	0.3	2.3
2020-10-13	9.7	-	18.6	4.1	79	0	13.6	202	0.2	2.2
2020-10-14	8.9	-	16.8	1.3	70.9	0	11.5	0	0.5	2.7
2020-10-15	6.4	-	17.2	-0.5	70	0	14.4	0	0.2	2
2020-10-16	7.3	-	12.3	2.1	86.8	0	3.3	52	0.1	1.2
2020-10-17	8.4	-	17.2	2.4	82.5	0	13.7	295	0.3	2
2020-10-18	8.5	-	18.8	-0.3	79.8	0	14.3	329	0.3	3.5
2020-10-19	10.6	-	20.8	4.2	79	0	14.5	147	0.2	2.3
2020-10-20	10.1	-	21.8	2	77.2	0	15.6	262	0.1	1.9
2020-10-21	9.1	-	16.3	4.3	85.7	0	4.5	453	0.1	2.5
2020-10-22	11.8	-	18.7	4.9	71.1	0	10.2	63	0.8	3
2020-10-23	6.1	-	12.5	-0.5	59.9	0	15.6	0	0.9	3.1
2020-10-24	4.7	-	13.4	-3.1	60	0	15.5	31	0.7	3.1
2020-10-25	6.7	-	17.5	-2.4	69.8	0	13.5	178	0.4	2.8
2020-10-26	8.6	-	18.4	0.2	78.8	0	13.2	262	0.3	3
2020-10-27	9.7	-	18.6	2.5	82.3	0	11.3	328	0.3	2.1
2020-10-28	10.3	-	17.7	1.8	66.4	0	13.2	209	0.6	2.8
2020-10-29	5.3	-	16.4	-2.9	62.2	0	14.3	141	0.1	1.7
2020-10-30	6.6	-	18.3	-2.1	63.9	0	13.8	190	0.2	2
2020-10-31	8.6	-	16.8	-0.7	73.4	0	9.2	353	0.7	3.2
2020-11-01	11.6	-	13.4	5.1	83.8	9	2.1	739	1.3	3.4
2020-11-02	6.6	-	14.3	-0.5	68.6	0.5	13.2	586	0.5	2.9
2020-11-03	3.2	-	7	-2.8	47.8	0	14.1	0	1.3	6
2020-11-04	1.9	-	9.8	-6	48.2	0	14	0	0.4	2.3
2020-11-05	7.3	-	15.1	-0.4	67.3	0	11.6	0	0.3	2.5
2020-11-06	10.6	-	16.6	5.5	71.1	0	7.7	0	0.5	3.3
2020-11-07	13.4	-	17.1	9	66.2	0	10.2	0	1.5	3.4
2020-11-08	6.6	-	11.7	-1.7	48.5	0	13.5	2	0.9	3.2
2020-11-09	1.3	-	9.3	-5.4	54.6	0	12	0	0.4	2.9
2020-11-10	2.4	-	12.3	-5.5	64.3	0	12.6	69	0.3	2.6
2020-11-11	3.8	-	15.6	-4.1	66.4	0	12.1	48	0	0
2020-11-12	5.7	-	16.7	-3.6	65.9	0	11.7	97	0.4	2.4
2020-11-13	8.7	-	17.4	2.2	69.4	0	10.5	0	0.2	2.5
2020-11-14	6.9	-	18.1	-1.5	73.7	0	11.3	344	0.2	2.5
2020-11-15	6.4	-	14.5	0.2	80.7	0	9.8	41	0.5	2.8
2020-11-16	7.6	-	17.9	0.2	79.1	0	10	76	0.1	2
2020-11-17	9.5	-	16.9	2.5	81.5	0	5.4	123	0	1.5
2020-11-18	15.4	-	19.4	10.9	89	17	2.6	1102	1	4.2
2020-11-19	14.1	-	19.8	6	87.9	62.5	0.8	520	3.1	5.8
2020-11-20	1.8	-	5.8	-2.1	77.4	0	2.9	437	1.3	5.1
2020-11-21	3.1	-	9.9	-3.4	78.2	0.5	9.3	168	0.1	2
2020-11-22	4.7	-	7.1	0	83	3.5	2.6	792	1	2.9
2020-11-23	-0.7	-	4.3	-4.2	74.3	0	11.2	4	0.6	2.9
2020-11-24	-0.7	-	4.9	-4.6	75.2	0	5.6	0	0	2
2020-11-25	-1.3	-	5.9	-5.3	85.3	0	4.2	27	0	0
2020-11-26	0.4	-	9.5	-4.8	82.2	0	10	121	0	0.4
2020-11-27	1.1	-	6.8	-2.3	74.7	0	7.6	69	0.7	3.4
2020-11-28	-2	-	2.1	-5.3	53.9	0	11	0	0.7	3.7
2020-11-29	-2.9	-	1.6	-8.2	64.4	0	8.2	0	0.8	3.3
2020-11-30	-4	-	3.1	-9.4	68.3	0	10.9	27	0.4	2.6
