station,year,dvr1,dvr2,cd,obj
Chungju,2010,1900-05-03,1900-04-23,1900-05-04,
Chungju,2011,1900-05-06,1900-04-26,1900-05-02,1900-05-05
Chungju,2012,1900-04-25,1900-04-28,1900-04-26,1900-05-01
Chungju,2013,1900-05-05,1900-04-28,1900-04-30,1900-05-06
Chungju,2014,1900-04-22,1900-04-13,1900-04-17,1900-04-22
Chungju,2015,1900-04-28,1900-04-18,1900-04-24,1900-04-28
Chungju,2016,1900-04-19,1900-04-13,1900-04-16,1900-04-21
Chungju,2017,1900-04-25,1900-04-25,1900-04-19,1900-04-23
Chungju,2018,1900-04-21,1900-04-14,1900-04-20,1900-04-28
Chungju,2019,1900-04-24,1900-04-20,1900-04-22,
Chungju,2020,1900-04-28,1900-04-11,1900-04-15,1900-05-01
Chungju,2021,1900-04-15,1900-04-07,1900-04-08,1900-04-21
Chungju,2022,1900-04-18,1900-04-15,1900-04-19,1900-04-23
Chungju,2023,1900-04-18,1900-04-14,1900-04-10,1900-04-17
Chungju,2024,1900-04-14,1900-04-09,1900-04-14,1900-04-19
