,cloud,date,rainfall,snow,tmin,day,tavg,tmax,humid,Date,sunshine,station_id,wind,year,month
0,2.6,20110101,0.0,0.0,-15.2,1,-7.9,-0.6,67.0,2011-01-01,7.7,127,0.0,2011,1
1,0.4,20110102,0.0,0.0,-12.7,2,-7.2,2.0,73.9,2011-01-02,7.1,127,0.0,2011,1
2,6.6,20110103,0.3,0.7,-12.6,3,-5.5,-0.9,78.0,2011-01-03,1.5,127,0.5,2011,1
3,6.1,20110104,0.0,0.0,-10.9,4,-4.3,-0.5,77.5,2011-01-04,2.0,127,0.8,2011,1
4,7.5,20110105,0.0,0.1,-5.0,5,-2.4,0.0,66.8,2011-01-05,0.9,127,2.4,2011,1
5,0.3,20110106,0.0,0.0,-11.9,6,-8.1,-2.9,61.5,2011-01-06,7.7,127,1.7,2011,1
6,0.0,20110107,0.0,0.0,-15.3,7,-9.6,-1.6,62.5,2011-01-07,8.0,127,1.1,2011,1
7,5.5,20110108,0.0,0.0,-14.6,8,-6.3,0.0,77.3,2011-01-08,2.8,127,0.7,2011,1
8,2.5,20110109,0.0,0.1,-12.6,9,-4.9,-1.1,54.8,2011-01-09,7.9,127,2.7,2011,1
9,1.3,20110110,0.0,0.0,-16.6,10,-10.0,-3.4,56.9,2011-01-10,7.0,127,1.3,2011,1
10,0.0,20110111,0.3,0.0,-13.2,11,-6.2,-0.4,64.3,2011-01-11,3.5,127,1.1,2011,1
11,0.0,20110112,0.0,0.0,-14.2,12,-8.8,-3.1,53.1,2011-01-12,8.2,127,2.2,2011,1
12,0.0,20110113,0.0,0.0,-16.9,13,-9.9,-1.2,55.9,2011-01-13,8.1,127,1.0,2011,1
13,0.0,20110114,0.1,0.0,-12.8,14,-6.5,-1.0,70.6,2011-01-14,0.4,127,0.9,2011,1
14,0.0,20110115,0.0,0.0,-15.5,15,-10.4,-3.7,38.6,2011-01-15,6.9,127,4.2,2011,1
15,0.0,20110116,0.0,0.0,-18.7,16,-13.7,-8.2,44.9,2011-01-16,8.3,127,2.5,2011,1
16,0.0,20110117,0.0,0.0,-19.3,17,-12.1,-3.9,56.4,2011-01-17,8.3,127,1.3,2011,1
17,0.0,20110118,0.0,0.0,-16.1,18,-8.5,-1.6,56.9,2011-01-18,7.2,127,1.5,2011,1
18,0.0,20110119,0.0,0.0,-13.2,19,-7.5,-1.7,55.6,2011-01-19,7.3,127,1.6,2011,1
19,0.0,20110120,0.0,0.0,-12.1,20,-8.0,-2.7,55.3,2011-01-20,8.2,127,1.4,2011,1
20,0.0,20110121,0.0,0.0,-12.9,21,-7.8,-1.7,54.0,2011-01-21,7.7,127,1.2,2011,1
21,0.0,20110122,0.2,0.0,-11.9,22,-6.5,0.7,65.9,2011-01-22,2.7,127,0.9,2011,1
22,0.0,20110123,1.8,0.0,-11.4,23,-4.9,0.6,75.9,2011-01-23,1.7,127,1.0,2011,1
23,0.0,20110124,0.0,0.0,-12.2,24,-7.4,-3.7,63.6,2011-01-24,6.1,127,2.4,2011,1
24,0.0,20110125,0.0,0.0,-15.8,25,-9.9,-3.1,69.1,2011-01-25,8.3,127,1.4,2011,1
25,0.0,20110126,0.0,0.0,-14.9,26,-9.3,-2.9,62.4,2011-01-26,8.6,127,1.7,2011,1
26,0.0,20110127,0.0,0.0,-15.8,27,-9.5,-2.8,53.3,2011-01-27,8.4,127,1.4,2011,1
27,0.0,20110128,0.0,0.0,-11.6,28,-7.0,-1.7,45.3,2011-01-28,8.0,127,1.3,2011,1
28,0.0,20110129,0.0,0.0,-14.7,29,-9.5,-4.1,46.8,2011-01-29,8.1,127,2.2,2011,1
29,0.0,20110130,0.0,0.0,-16.5,30,-9.3,-4.0,41.1,2011-01-30,8.9,127,2.6,2011,1
30,0.0,20110131,0.0,0.0,-16.8,31,-8.5,-1.5,60.0,2011-01-31,5.9,127,1.3,2011,1
31,0.0,20110201,0.0,0.0,-10.1,1,-3.1,5.5,69.5,2011-02-01,8.0,127,0.8,2011,2
32,0.0,20110202,0.0,0.0,-8.1,2,-1.5,7.5,63.9,2011-02-02,8.5,127,0.9,2011,2
33,0.0,20110203,0.0,0.0,-8.0,3,-1.5,6.8,68.5,2011-02-03,6.2,127,0.9,2011,2
34,0.0,20110204,0.0,0.0,-6.1,4,-1.3,5.0,78.4,2011-02-04,0.0,127,0.7,2011,2
35,0.0,20110205,0.0,0.0,-4.9,5,-0.4,7.2,71.1,2011-02-05,6.8,127,0.8,2011,2
36,0.0,20110206,0.0,0.0,-6.5,6,-1.0,2.6,74.3,2011-02-06,0.6,127,0.6,2011,2
37,0.0,20110207,0.0,0.0,-6.9,7,-1.4,4.1,78.8,2011-02-07,0.5,127,0.8,2011,2
38,0.0,20110208,0.0,0.0,-4.1,8,0.6,7.9,68.8,2011-02-08,0.6,127,0.8,2011,2
39,0.0,20110209,0.0,0.0,-6.3,9,-2.0,4.2,62.5,2011-02-09,4.4,127,1.8,2011,2
40,0.0,20110210,0.0,0.0,-8.5,10,-3.3,2.9,62.9,2011-02-10,1.6,127,0.9,2011,2
41,0.0,20110211,0.0,0.0,-9.0,11,-2.5,4.4,52.8,2011-02-11,8.6,127,1.5,2011,2
42,0.0,20110212,0.0,0.0,-9.5,12,-5.2,-0.1,43.6,2011-02-12,8.7,127,2.2,2011,2
43,0.0,20110213,0.0,0.0,-13.2,13,-5.7,1.6,52.9,2011-02-13,7.7,127,1.0,2011,2
44,0.0,20110214,0.4,0.0,-6.3,14,-3.7,-2.1,69.0,2011-02-14,0.0,127,0.8,2011,2
45,0.0,20110215,0.0,0.0,-8.8,15,-2.8,5.0,66.0,2011-02-15,9.1,127,1.2,2011,2
46,0.0,20110216,0.0,0.0,-10.2,16,-1.3,7.0,62.0,2011-02-16,4.1,127,0.8,2011,2
47,0.0,20110217,2.5,0.0,-4.2,17,-0.6,2.3,88.1,2011-02-17,0.0,127,0.7,2011,2
48,0.0,20110218,0.0,0.0,-7.4,18,-1.5,7.9,73.3,2011-02-18,6.7,127,0.9,2011,2
49,0.0,20110219,0.0,0.0,-7.2,19,0.0,8.7,60.8,2011-02-19,8.7,127,0.9,2011,2
50,0.0,20110220,0.0,0.0,-7.1,20,3.3,13.3,53.8,2011-02-20,9.0,127,1.9,2011,2
51,0.0,20110221,0.0,0.0,-1.8,21,3.3,12.5,52.9,2011-02-21,9.8,127,1.7,2011,2
52,0.0,20110222,0.0,0.0,-5.5,22,3.2,14.3,56.9,2011-02-22,9.4,127,0.9,2011,2
53,0.0,20110223,0.0,0.0,-4.1,23,3.9,14.4,57.6,2011-02-23,9.5,127,1.0,2011,2
54,0.0,20110224,0.0,0.0,-3.6,24,5.1,13.4,61.0,2011-02-24,8.3,127,1.3,2011,2
55,0.0,20110225,0.0,0.0,-3.1,25,3.7,9.7,49.9,2011-02-25,7.6,127,2.0,2011,2
56,0.0,20110226,0.0,0.0,-4.9,26,5.4,13.6,44.3,2011-02-26,9.4,127,2.2,2011,2
57,0.0,20110227,43.0,0.0,3.6,27,5.2,7.5,84.0,2011-02-27,0.0,127,3.2,2011,2
58,0.0,20110228,0.0,0.0,2.8,28,4.8,7.4,71.9,2011-02-28,0.0,127,2.6,2011,2
59,0.0,20110301,6.0,0.0,-0.9,1,1.6,4.3,85.4,2011-03-01,0.0,127,2.2,2011,3
60,0.0,20110302,0.0,0.0,-4.6,2,-1.4,2.6,47.4,2011-03-02,9.8,127,3.2,2011,3
61,0.0,20110303,0.0,0.0,-7.7,3,-2.3,3.2,47.8,2011-03-03,10.2,127,2.1,2011,3
62,0.0,20110304,0.0,0.0,-6.8,4,-0.7,5.9,52.5,2011-03-04,10.3,127,1.7,2011,3
63,0.0,20110305,0.0,0.0,-5.9,5,0.1,7.1,64.5,2011-03-05,7.0,127,1.1,2011,3
64,0.0,20110306,0.0,0.0,-3.6,6,3.1,9.6,59.4,2011-03-06,6.7,127,1.6,2011,3
65,0.0,20110307,0.0,0.0,-0.4,7,2.5,6.7,51.5,2011-03-07,7.4,127,3.4,2011,3
66,0.0,20110308,0.0,0.0,-5.3,8,1.4,8.4,45.6,2011-03-08,9.1,127,2.9,2011,3
67,0.0,20110309,0.0,0.0,-4.6,9,0.9,5.4,39.5,2011-03-09,8.1,127,3.3,2011,3
68,0.0,20110310,0.0,0.0,-5.8,10,1.3,8.0,50.6,2011-03-10,8.5,127,2.4,2011,3
