,Date,station_id,month,rainfall,tmax,date,year,cloud,sunshine,tavg,humid,snow,tmin,day,wind
0,2012-01-01,127,1,0.2,1.7,20120101,2012,0.0,0.1,-2.8,71.9,0.0,-9.4,1,1.5
1,2012-01-02,127,1,0.0,-1.0,20120102,2012,0.0,7.5,-6.5,74.9,0.0,-12.3,2,0.8
2,2012-01-03,127,1,0.0,1.3,20120103,2012,0.0,5.1,-4.3,67.6,0.0,-9.7,3,1.5
3,2012-01-04,127,1,0.0,-3.0,20120104,2012,0.0,6.1,-6.6,57.0,0.0,-10.6,4,2.3
4,2012-01-05,127,1,0.0,-0.9,20120105,2012,0.0,8.0,-7.5,61.5,0.0,-13.4,5,1.1
5,2012-01-06,127,1,0.0,2.3,20120106,2012,0.0,8.0,-5.2,62.3,0.0,-10.5,6,0.9
6,2012-01-07,127,1,0.0,1.9,20120107,2012,0.0,8.0,-6.6,67.1,0.0,-12.2,7,0.8
7,2012-01-08,127,1,0.0,2.3,20120108,2012,0.0,6.8,-4.8,62.1,0.0,-11.6,8,1.0
8,2012-01-09,127,1,0.0,3.3,20120109,2012,0.0,5.9,-2.0,69.3,0.0,-7.0,9,1.0
9,2012-01-10,127,1,0.0,2.5,20120110,2012,0.0,6.8,-2.6,63.4,0.0,-7.0,10,1.3
10,2012-01-11,127,1,0.0,-1.2,20120111,2012,0.0,8.1,-6.1,52.9,0.0,-10.7,11,1.7
11,2012-01-12,127,1,0.0,0.3,20120112,2012,0.0,7.5,-5.4,62.6,0.0,-12.9,12,1.0
12,2012-01-13,127,1,0.0,2.8,20120113,2012,0.0,1.7,-2.5,69.4,0.0,-7.5,13,0.9
13,2012-01-14,127,1,0.0,3.3,20120114,2012,0.0,8.3,-4.2,51.3,0.0,-11.1,14,1.3
14,2012-01-15,127,1,0.0,1.9,20120115,2012,0.0,5.4,-2.9,58.1,0.0,-5.6,15,0.7
15,2012-01-16,127,1,0.0,9.2,20120116,2012,0.0,7.3,-0.3,62.8,0.0,-8.7,16,1.0
16,2012-01-17,127,1,0.0,8.1,20120117,2012,0.0,2.2,1.8,79.4,0.0,-2.9,17,0.8
17,2012-01-18,127,1,0.0,6.2,20120118,2012,0.0,3.8,0.4,81.6,0.0,-2.7,18,0.8
18,2012-01-19,127,1,2.0,7.4,20120119,2012,0.0,0.0,4.0,77.0,0.0,-1.2,19,1.4
19,2012-01-20,127,1,0.0,9.1,20120120,2012,0.0,1.0,6.5,56.1,0.0,4.5,20,2.3
20,2012-01-21,127,1,1.0,5.1,20120121,2012,0.0,0.3,2.8,82.3,0.0,0.8,21,1.0
21,2012-01-22,127,1,0.0,2.3,20120122,2012,0.0,7.7,-3.6,48.3,0.0,-7.7,22,3.1
22,2012-01-23,127,1,0.0,-3.8,20120123,2012,0.0,8.7,-8.5,41.4,0.0,-12.5,23,2.4
23,2012-01-24,127,1,0.0,-2.5,20120124,2012,0.0,8.7,-8.1,45.0,0.0,-13.3,24,1.4
24,2012-01-25,127,1,0.4,-3.5,20120125,2012,0.0,8.8,-7.4,50.1,0.0,-11.2,25,2.7
25,2012-01-26,127,1,0.0,1.2,20120126,2012,0.0,6.8,-5.5,68.9,0.0,-12.8,26,1.2
26,2012-01-27,127,1,0.0,2.7,20120127,2012,0.0,1.4,-2.0,87.3,0.0,-6.6,27,0.6
27,2012-01-28,127,1,0.0,4.1,20120128,2012,0.0,7.7,-1.7,50.0,0.0,-6.6,28,0.8
28,2012-01-29,127,1,0.0,3.3,20120129,2012,0.0,7.9,-3.6,42.0,0.0,-8.7,29,1.3
29,2012-01-30,127,1,0.0,0.6,20120130,2012,0.0,8.8,-5.3,33.8,0.0,-11.2,30,1.5
30,2012-01-31,127,1,6.0,1.3,20120131,2012,0.0,3.6,-4.6,68.3,0.0,-12.3,31,1.5
31,2012-02-01,127,2,0.0,-3.8,20120201,2012,0.0,9.1,-11.0,56.4,0.0,-17.0,1,2.4
32,2012-02-02,127,2,0.0,-8.8,20120202,2012,0.0,9.2,-15.0,54.6,0.0,-20.0,2,1.5
33,2012-02-03,127,2,0.0,-4.0,20120203,2012,0.0,9.0,-11.9,60.1,0.0,-20.7,3,1.0
34,2012-02-04,127,2,0.1,2.1,20120204,2012,0.0,6.8,-4.1,61.1,0.0,-10.6,4,1.5
35,2012-02-05,127,2,0.0,4.8,20120205,2012,0.0,8.3,-2.5,55.4,0.0,-6.6,5,0.7
