,tmax,year,tmin,humid,cloud,sunshine,date,day,rainfall,station_id,Date,wind,month,tavg,snow
0,8.0,2014,-3.1,55.5,0.0,7.1,20140101,1,0.0,127,2014-01-01,2.4,1,3.1,0.0
1,7.3,2014,-4.1,53.1,0.0,8.1,20140102,2,0.0,127,2014-01-02,1.5,1,0.1,0.0
2,8.9,2014,-5.6,63.0,0.0,5.9,20140103,3,0.0,127,2014-01-03,0.8,1,0.1,0.0
3,4.8,2014,-3.9,72.5,0.0,6.0,20140104,4,0.0,127,2014-01-04,0.8,1,0.1,0.0
4,4.6,2014,-4.4,67.9,0.0,6.5,20140105,5,0.0,127,2014-01-05,0.9,1,-1.0,0.0
5,6.0,2014,-7.5,67.4,0.0,7.9,20140106,6,0.0,127,2014-01-06,0.9,1,-2.4,0.0
6,4.2,2014,-6.6,72.0,0.0,0.4,20140107,7,0.0,127,2014-01-07,0.6,1,-1.1,0.0
7,4.5,2014,-3.1,60.1,0.0,1.2,20140108,8,0.0,127,2014-01-08,1.5,1,1.0,0.0
8,-2.9,2014,-11.1,32.1,0.0,8.3,20140109,9,0.0,127,2014-01-09,3.2,1,-6.6,0.0
9,0.0,2014,-12.5,59.1,0.0,7.3,20140110,10,0.0,127,2014-01-10,1.2,1,-6.8,0.0
10,2.5,2014,-9.0,61.0,0.0,6.9,20140111,11,0.0,127,2014-01-11,0.8,1,-2.9,0.0
11,2.9,2014,-6.2,55.6,0.0,3.5,20140112,12,0.0,127,2014-01-12,1.9,1,-2.1,0.0
12,-0.8,2014,-12.6,44.6,0.0,8.4,20140113,13,0.0,127,2014-01-13,1.3,1,-7.6,0.0
13,1.3,2014,-13.0,50.3,0.0,8.3,20140114,14,0.0,127,2014-01-14,1.2,1,-6.6,0.0
14,1.9,2014,-11.9,56.5,0.0,8.2,20140115,15,0.0,127,2014-01-15,1.2,1,-5.5,0.0
15,2.1,2014,-9.6,71.1,0.0,0.4,20140116,16,0.0,127,2014-01-16,0.7,1,-3.5,0.0
16,4.2,2014,-7.9,72.3,0.0,4.8,20140117,17,0.0,127,2014-01-17,0.8,1,-3.0,0.0
17,2.6,2014,-8.1,54.3,0.0,6.8,20140118,18,0.0,127,2014-01-18,2.2,1,-3.0,0.0
18,2.3,2014,-11.7,51.1,0.0,7.1,20140119,19,0.0,127,2014-01-19,1.0,1,-4.4,0.0
19,3.0,2014,-3.9,79.9,0.0,0.0,20140120,20,6.3,127,2014-01-20,1.3,1,-1.4,0.0
20,-3.2,2014,-6.3,66.6,0.0,2.2,20140121,21,0.1,127,2014-01-21,1.8,1,-4.4,0.0
21,0.2,2014,-8.4,62.0,0.0,7.5,20140122,22,0.0,127,2014-01-22,1.3,1,-4.4,0.0
22,4.5,2014,-11.5,72.6,0.0,8.4,20140123,23,0.0,127,2014-01-23,0.8,1,-5.0,0.0
23,4.2,2014,-7.7,77.9,0.0,0.0,20140124,24,0.0,127,2014-01-24,0.5,1,-0.3,0.0
