,station_id,humid,month,tmin,Date,tmax,rainfall,sunshine,tavg,snow,wind,day,year,date,cloud
0,127,41.3,1,-9.8,2015-01-01,-4.2,0.0,8.1,-7.4,0.0,3.7,1,2015,20150101,0.0
1,127,48.5,1,-10.6,2015-01-02,-1.0,0.0,8.0,-6.1,0.0,2.2,2,2015,20150102,0.0
2,127,63.0,1,-13.8,2015-01-03,1.0,0.0,7.6,-6.2,0.0,0.8,3,2015,20150103,0.0
3,127,74.1,1,-3.9,2015-01-04,7.1,0.0,5.1,0.1,0.0,0.7,4,2015,20150104,0.0
4,127,85.9,1,-3.5,2015-01-05,7.9,0.3,3.3,1.0,0.0,0.8,5,2015,20150105,0.0
5,127,60.5,1,-6.0,2015-01-06,2.5,5.5,5.1,-0.9,0.0,3.1,6,2015,20150106,0.0
6,127,43.0,1,-9.5,2015-01-07,-1.4,0.0,8.2,-6.2,0.0,1.8,7,2015,20150107,0.0
7,127,58.9,1,-11.6,2015-01-08,0.5,0.0,8.2,-6.2,0.0,1.1,8,2015,20150108,0.0
8,127,70.5,1,-10.2,2015-01-09,2.3,0.0,5.2,-4.1,0.0,1.0,9,2015,20150109,0.0
9,127,62.4,1,-8.2,2015-01-10,5.0,0.0,8.2,-2.0,0.0,1.1,10,2015,20150110,0.0
10,127,62.6,1,-4.9,2015-01-11,3.2,0.8,7.5,-0.6,0.0,2.2,11,2015,20150111,0.0
11,127,59.4,1,-9.9,2015-01-12,3.3,0.0,8.3,-4.6,0.0,1.0,12,2015,20150112,0.0
12,127,68.3,1,-9.6,2015-01-13,6.0,0.0,6.7,-2.2,0.0,0.7,13,2015,20150113,0.0
13,127,73.0,1,-3.7,2015-01-14,3.7,0.0,0.0,0.2,0.0,0.6,14,2015,20150114,0.0
14,127,66.1,1,-2.1,2015-01-15,8.9,0.0,4.4,1.7,0.0,0.8,15,2015,20150115,0.0
15,127,81.0,1,-4.8,2015-01-16,1.5,1.2,0.0,-0.6,0.0,1.7,16,2015,20150116,0.0
16,127,49.4,1,-7.5,2015-01-17,1.0,0.0,8.6,-3.7,0.0,3.1,17,2015,20150117,0.0
