,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2016,2016-01-01,20160101,3.1,0.3,0.0,-5.9,0.0,4.1,127,-1.0,0.0,79.4,1
1,2,2016,2016-01-02,20160102,2.6,0.6,0.0,0.4,0.0,9.9,127,3.5,0.0,74.9,1
2,3,2016,2016-01-03,20160103,5.0,0.6,0.0,-1.6,0.0,11.4,127,3.6,0.0,81.0,1
3,4,2016,2016-01-04,20160104,6.4,2.2,0.0,-2.8,0.0,8.0,127,3.9,0.0,54.3,1
4,5,2016,2016-01-05,20160105,6.0,1.2,0.0,-6.1,0.0,2.7,127,-2.0,0.0,46.5,1
5,6,2016,2016-01-06,20160106,0.8,1.1,0.0,-7.8,0.0,2.7,127,-2.1,0.0,56.5,1
6,7,2016,2016-01-07,20160107,7.9,1.5,0.0,-7.6,0.0,2.5,127,-3.4,0.0,54.5,1
7,8,2016,2016-01-08,20160108,8.1,1.3,0.0,-8.9,0.0,2.2,127,-3.5,0.0,53.3,1
8,9,2016,2016-01-09,20160109,6.5,1.4,0.0,-4.6,0.0,3.6,127,-0.6,0.0,56.1,1
9,10,2016,2016-01-10,20160110,4.5,1.4,0.0,-3.8,0.0,5.2,127,0.5,0.0,48.6,1
10,11,2016,2016-01-11,20160111,8.1,1.2,0.0,-8.5,0.0,2.1,127,-4.4,0.0,44.8,1
11,12,2016,2016-01-12,20160112,7.9,1.2,0.0,-11.1,0.0,1.8,127,-5.1,0.0,53.4,1
12,13,2016,2016-01-13,20160113,4.2,2.1,0.0,-6.1,0.4,1.2,127,-2.4,0.0,64.5,1
13,14,2016,2016-01-14,20160114,7.4,1.2,0.0,-9.2,0.2,1.6,127,-2.9,0.0,51.4,1
14,15,2016,2016-01-15,20160115,5.1,0.7,0.0,-7.1,0.1,3.6,127,-2.6,0.0,75.3,1
15,16,2016,2016-01-16,20160116,6.1,0.7,0.0,-7.7,0.0,5.7,127,-2.1,0.0,70.5,1
16,17,2016,2016-01-17,20160117,0.0,0.9,0.0,-3.9,0.4,5.8,127,1.5,0.0,71.6,1
17,18,2016,2016-01-18,20160118,3.7,3.9,0.0,-10.0,0.6,2.3,127,-3.9,0.0,59.5,1
18,19,2016,2016-01-19,20160119,7.3,4.7,0.0,-13.1,0.0,-7.0,127,-10.3,0.0,41.8,1
19,20,2016,2016-01-20,20160120,5.4,0.7,0.0,-15.8,0.0,-5.9,127,-11.2,0.0,54.9,1
20,21,2016,2016-01-21,20160121,4.9,0.7,0.0,-12.7,0.0,-1.9,127,-7.9,0.0,55.0,1
21,22,2016,2016-01-22,20160122,6.3,0.9,0.0,-13.8,0.0,-1.3,127,-7.5,0.0,49.3,1
22,23,2016,2016-01-23,20160123,8.3,3.5,0.0,-12.2,0.0,-5.5,127,-8.6,0.0,28.1,1
23,24,2016,2016-01-24,20160124,8.4,2.6,0.0,-16.6,0.0,-8.9,127,-13.4,0.0,40.3,1
24,25,2016,2016-01-25,20160125,8.5,1.4,0.0,-17.0,0.0,-2.7,127,-9.7,0.0,52.6,1
25,26,2016,2016-01-26,20160126,3.2,0.7,0.0,-10.6,0.1,0.5,127,-5.0,0.0,73.8,1
26,27,2016,2016-01-27,20160127,8.2,1.0,0.0,-8.2,0.0,4.4,127,-2.8,0.0,63.8,1
27,28,2016,2016-01-28,20160128,0.4,0.6,0.0,-9.3,0.0,2.0,127,-2.2,0.0,63.6,1
28,29,2016,2016-01-29,20160129,0.0,2.1,0.0,-0.2,0.0,6.8,127,3.2,0.0,58.4,1
29,30,2016,2016-01-30,20160130,2.3,0.9,0.0,-3.5,0.0,8.3,127,1.4,0.0,65.5,1
