,year,station_id,month,sunshine,snow,tmin,tavg,Date,tmax,cloud,date,day,humid,rainfall,wind
0,2017,127,1,1.9,0.0,-3.3,1.2,2017-01-01,7.9,0.0,20170101,1,83.8,0.0,0.6
1,2017,127,1,0.9,0.0,-0.6,3.6,2017-01-02,8.8,0.0,20170102,2,79.6,0.1,0.8
2,2017,127,1,7.2,0.0,-3.4,0.9,2017-01-03,7.7,0.0,20170103,3,71.5,0.0,1.0
3,2017,127,1,4.4,0.0,-3.4,2.2,2017-01-04,9.9,0.0,20170104,4,71.9,0.0,0.7
4,2017,127,1,0.2,0.0,-3.2,3.7,2017-01-05,9.1,0.0,20170105,5,66.0,0.0,1.5
5,2017,127,1,7.6,0.0,-1.0,4.3,2017-01-06,10.8,0.0,20170106,6,62.6,0.0,1.6
6,2017,127,1,5.0,0.0,-4.0,2.0,2017-01-07,9.8,0.0,20170107,7,76.9,0.0,0.6
7,2017,127,1,5.2,0.0,1.2,6.7,2017-01-08,13.3,0.0,20170108,8,64.0,0.0,1.0
8,2017,127,1,5.1,0.0,-4.1,2.9,2017-01-09,7.1,0.0,20170109,9,64.9,0.0,2.9
9,2017,127,1,6.2,0.0,-4.7,-1.9,2017-01-10,2.2,0.0,20170110,10,50.8,0.0,2.7
10,2017,127,1,6.7,0.0,-11.0,-4.1,2017-01-11,0.9,0.0,20170111,11,48.0,0.0,1.9
11,2017,127,1,2.8,0.0,-4.2,-1.3,2017-01-12,2.7,0.0,20170112,12,63.1,2.0,1.9
12,2017,127,1,2.1,0.0,-9.8,-5.5,2017-01-13,-1.2,0.0,20170113,13,51.8,0.0,2.1
13,2017,127,1,8.3,0.0,-11.8,-8.0,2017-01-14,-4.3,0.0,20170114,14,39.3,0.0,3.0
14,2017,127,1,8.4,0.0,-14.7,-8.9,2017-01-15,-1.8,0.0,20170115,15,49.9,0.0,1.2
15,2017,127,1,8.5,0.0,-13.6,-7.0,2017-01-16,2.5,0.0,20170116,16,62.0,0.0,0.8
16,2017,127,1,7.6,0.0,-11.4,-5.2,2017-01-17,3.8,0.0,20170117,17,63.4,0.0,0.7
17,2017,127,1,4.2,0.0,-8.3,-1.9,2017-01-18,3.2,0.0,20170118,18,68.8,0.0,0.6
18,2017,127,1,6.4,0.0,-3.8,-0.7,2017-01-19,5.5,0.0,20170119,19,69.9,0.0,0.7
19,2017,127,1,0.0,0.0,-9.9,-4.3,2017-01-20,-2.0,0.0,20170120,20,73.8,2.1,2.0
20,2017,127,1,5.0,0.0,-12.5,-4.9,2017-01-21,0.4,0.0,20170121,21,73.9,0.7,0.6
21,2017,127,1,8.6,0.0,-10.2,-6.5,2017-01-22,-2.3,0.0,20170122,22,52.9,1.2,3.1
22,2017,127,1,8.6,0.0,-15.9,-10.2,2017-01-23,-4.1,0.0,20170123,23,59.0,0.0,1.5
23,2017,127,1,8.7,0.0,-16.0,-8.8,2017-01-24,-0.7,0.0,20170124,24,57.4,0.0,1.0
24,2017,127,1,8.7,0.0,-14.8,-7.7,2017-01-25,0.6,0.0,20170125,25,60.0,0.0,0.9
25,2017,127,1,7.0,0.0,-13.5,-4.5,2017-01-26,3.5,0.0,20170126,26,58.5,0.0,0.8
26,2017,127,1,8.5,0.0,-7.3,-1.0,2017-01-27,4.5,0.0,20170127,27,54.0,2.0,2.5
27,2017,127,1,7.4,0.0,-10.8,-2.4,2017-01-28,5.6,0.0,20170128,28,59.4,0.0,0.5
28,2017,127,1,0.0,0.0,-0.1,0.8,2017-01-29,1.9,0.0,20170129,29,78.8,7.9,0.3
29,2017,127,1,1.8,0.0,-9.6,-3.5,2017-01-30,0.3,0.0,20170130,30,73.0,2.0,2.5
30,2017,127,1,8.3,0.0,-12.9,-6.6,2017-01-31,0.4,0.0,20170131,31,65.3,0.0,0.9
31,2017,127,2,8.9,0.0,-9.8,-4.1,2017-02-01,2.0,0.0,20170201,1,55.1,0.0,1.8
32,2017,127,2,9.1,0.0,-11.9,-3.4,2017-02-02,2.9,0.0,20170202,2,53.5,0.0,1.3
