,station_id,month,tavg,date,snow,day,cloud,sunshine,tmax,wind,rainfall,year,Date,humid,tmin
0,127,1,-4.2,20190101,0.0,1,4.6,2.6,-0.3,1.7,0.0,2019,2019-01-01,60.3,-7.6
1,127,1,-6.6,20190102,0.0,2,0.4,8.0,0.7,1.1,0.0,2019,2019-01-02,57.9,-12.2
2,127,1,-6.5,20190103,0.0,3,0.1,8.0,3.1,0.8,0.0,2019,2019-01-03,54.9,-12.7
3,127,1,-4.1,20190104,0.0,4,4.6,5.3,3.5,0.6,0.0,2019,2019-01-04,58.3,-11.8
4,127,1,-2.8,20190105,0.0,5,0.7,7.6,3.2,1.1,0.0,2019,2019-01-05,52.1,-8.7
5,127,1,-4.9,20190106,0.0,6,3.3,7.6,3.6,0.9,0.0,2019,2019-01-06,51.8,-10.3
6,127,1,-4.4,20190107,0.0,7,2.5,6.5,3.9,1.0,0.0,2019,2019-01-07,62.8,-11.3
7,127,1,-4.1,20190108,0.0,8,1.6,8.0,2.5,2.1,0.0,2019,2019-01-08,50.9,-9.5
8,127,1,-6.7,20190109,0.0,9,6.5,7.8,2.0,0.9,0.0,2019,2019-01-09,48.3,-13.2
9,127,1,-2.4,20190110,0.0,10,6.1,3.7,3.1,1.1,0.0,2019,2019-01-10,56.4,-6.7
10,127,1,0.8,20190111,0.0,11,6.8,6.6,7.2,0.9,0.0,2019,2019-01-11,63.3,-3.9
11,127,1,1.8,20190112,0.0,12,5.5,3.4,8.4,0.8,0.0,2019,2019-01-12,61.8,-2.9
12,127,1,-1.6,20190113,0.0,13,0.0,7.6,7.7,0.8,0.0,2019,2019-01-13,70.9,-7.2
13,127,1,-2.7,20190114,0.0,14,5.5,3.9,3.8,0.7,0.0,2019,2019-01-14,77.3,-8.2
14,127,1,-1.4,20190115,0.0,15,5.6,1.4,2.3,2.4,0.1,2019,2019-01-15,65.9,-6.3
15,127,1,-5.8,20190116,0.0,16,3.5,7.1,-1.1,1.6,0.0,2019,2019-01-16,51.0,-12.5
16,127,1,-1.4,20190117,0.0,17,3.9,7.5,4.8,1.7,0.0,2019,2019-01-17,50.8,-6.2
17,127,1,-2.3,20190118,0.0,18,2.9,7.7,6.7,1.0,0.0,2019,2019-01-18,57.3,-10.0
18,127,1,0.1,20190119,0.0,19,5.5,7.9,8.6,0.8,0.0,2019,2019-01-19,63.3,-5.6
19,127,1,-0.5,20190120,0.0,20,2.8,8.2,3.2,2.7,0.0,2019,2019-01-20,45.6,-4.4
20,127,1,-2.1,20190121,0.0,21,4.1,3.2,4.4,1.5,0.0,2019,2019-01-21,54.3,-10.7
21,127,1,-0.2,20190122,0.0,22,1.0,7.2,6.8,1.2,0.0,2019,2019-01-22,65.0,-6.3
22,127,1,-0.1,20190123,0.0,23,1.9,7.4,7.9,1.6,0.0,2019,2019-01-23,59.8,-5.8
23,127,1,-2.4,20190124,0.0,24,1.0,8.6,6.9,1.0,0.0,2019,2019-01-24,45.6,-9.0
24,127,1,-3.1,20190125,0.0,25,2.3,8.2,4.4,1.9,0.0,2019,2019-01-25,44.6,-9.0
