,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
0,7.0,0.0,1,1,-1.7,0.2,20200101,0.0,127,-9.7,0.0,2020-01-01,2020,67.3,-3.8
1,0.0,0.0,2,1,2.7,0.4,20200102,0.0,127,-2.1,0.0,2020-01-02,2020,81.0,0.0
2,1.6,7.8,3,1,5.5,1.1,20200103,0.0,127,-4.2,0.0,2020-01-03,2020,70.1,-0.2
3,0.9,6.0,4,1,6.5,0.8,20200104,0.0,127,-7.1,0.0,2020-01-04,2020,77.0,-1.8
4,4.4,7.2,5,1,5.5,0.6,20200105,0.0,127,-7.5,0.0,2020-01-05,2020,73.9,-1.9
5,10.0,0.0,6,1,5.3,1.9,20200106,3.3,127,-3.8,0.0,2020-01-06,2020,82.8,2.0
6,9.8,0.0,7,1,13.8,1.9,20200107,48.0,127,5.0,0.0,2020-01-07,2020,96.1,8.0
7,8.5,0.0,8,1,12.3,3.1,20200108,3.2,127,1.3,0.0,2020-01-08,2020,88.8,3.8
8,3.4,5.1,9,1,3.3,2.2,20200109,0.0,127,-4.0,0.0,2020-01-09,2020,72.1,-0.2
9,5.3,5.3,10,1,4.1,0.6,20200110,0.0,127,-5.5,0.0,2020-01-10,2020,83.0,-2.0
10,4.8,6.8,11,1,4.7,0.6,20200111,0.0,127,-6.4,0.0,2020-01-11,2020,79.1,-1.4
11,4.1,4.2,12,1,2.7,1.7,20200112,0.0,127,-2.3,0.0,2020-01-12,2020,70.1,-0.2
12,3.8,5.6,13,1,2.0,2.1,20200113,0.0,127,-6.4,0.0,2020-01-13,2020,62.3,-1.6
13,2.9,8.0,14,1,2.9,0.8,20200114,0.0,127,-8.0,0.0,2020-01-14,2020,66.1,-3.4
14,1.1,8.2,15,1,2.7,1.1,20200115,0.0,127,-7.9,0.0,2020-01-15,2020,64.8,-3.6
15,6.1,7.2,16,1,3.2,0.6,20200116,0.0,127,-8.4,0.0,2020-01-16,2020,67.1,-3.3
16,5.1,7.0,17,1,4.6,0.5,20200117,0.0,127,-7.6,0.0,2020-01-17,2020,68.5,-2.6
17,4.1,8.4,18,1,6.0,0.8,20200118,0.0,127,-5.7,0.0,2020-01-18,2020,63.5,-1.2
18,6.8,1.3,19,1,5.9,0.8,20200119,0.0,127,-5.0,0.0,2020-01-19,2020,75.4,-0.3
19,3.9,6.5,20,1,5.8,2.1,20200120,0.0,127,-2.9,0.0,2020-01-20,2020,63.3,0.9
20,1.8,8.5,21,1,5.0,0.9,20200121,0.0,127,-8.4,0.0,2020-01-21,2020,53.9,-2.3
21,9.5,0.0,22,1,3.9,0.4,20200122,0.0,127,-3.0,0.0,2020-01-22,2020,63.6,0.7
