,wind,year,month,humid,tmax,sunshine,tmin,station_id,rainfall,snow,day,cloud,date,tavg,Date
0,1.0,2021,1,75.0,-0.5,6.3,-12.9,127,0.0,0.0,1,4.8,20210101,-6.0,2021-01-01
1,1.5,2021,1,60.1,-0.5,8.0,-10.7,127,0.0,0.0,2,0.0,20210102,-6.1,2021-01-02
2,0.9,2021,1,56.3,-1.1,5.4,-12.2,127,0.0,0.0,3,4.9,20210103,-6.5,2021-01-03
3,0.6,2021,1,57.5,1.5,7.2,-12.4,127,0.0,0.0,4,4.3,20210104,-5.0,2021-01-04
4,2.1,2021,1,53.0,-0.9,7.2,-11.4,127,0.2,0.0,5,1.9,20210105,-4.2,2021-01-05
5,1.2,2021,1,59.4,-3.2,8.0,-14.7,127,0.8,0.0,6,3.0,20210106,-8.4,2021-01-06
6,3.4,2021,1,40.4,-4.6,8.1,-18.5,127,0.7,0.0,7,1.6,20210107,-13.6,2021-01-07
7,1.9,2021,1,46.0,-10.0,8.0,-19.3,127,0.0,0.0,8,2.5,20210108,-14.5,2021-01-08
8,1.6,2021,1,53.6,-7.5,7.7,-19.6,127,0.0,0.0,9,1.4,20210109,-13.5,2021-01-09
9,0.9,2021,1,58.3,-3.7,7.7,-17.8,127,0.0,0.0,10,3.3,20210110,-10.7,2021-01-10
10,0.6,2021,1,72.1,-4.6,0.1,-14.4,127,0.0,0.0,11,8.3,20210111,-9.7,2021-01-11
11,0.8,2021,1,73.3,1.5,5.3,-14.2,127,0.0,0.0,12,5.0,20210112,-5.1,2021-01-12
12,1.2,2021,1,77.0,9.0,7.7,-6.5,127,0.0,0.0,13,1.8,20210113,1.5,2021-01-13
13,0.9,2021,1,65.6,9.0,8.1,-5.2,127,0.0,0.0,14,0.1,20210114,0.0,2021-01-14
14,1.5,2021,1,70.8,11.8,0.1,-4.0,127,0.0,0.0,15,8.9,20210115,3.6,2021-01-15
15,2.8,2021,1,61.4,1.7,5.2,-6.4,127,0.0,0.0,16,5.5,20210116,-2.9,2021-01-16
16,1.7,2021,1,52.5,-1.3,8.0,-12.9,127,0.1,0.0,17,4.5,20210117,-6.1,2021-01-17
17,1.9,2021,1,72.3,1.2,0.6,-10.1,127,3.1,0.0,18,5.9,20210118,-3.7,2021-01-18
18,0.8,2021,1,59.8,-1.8,8.2,-15.9,127,0.0,0.0,19,3.1,20210119,-9.3,2021-01-19
19,0.6,2021,1,66.9,5.5,8.4,-13.2,127,0.0,0.0,20,1.8,20210120,-5.2,2021-01-20
20,0.4,2021,1,75.9,6.6,2.3,-6.4,127,4.9,0.0,21,9.4,20210121,1.6,2021-01-21
21,0.3,2021,1,95.5,7.9,0.0,2.5,127,0.1,0.0,22,8.8,20210122,4.7,2021-01-22
22,2.0,2021,1,76.4,12.1,4.8,0.3,127,0.0,0.0,23,6.8,20210123,6.2,2021-01-23
23,1.1,2021,1,74.6,12.3,8.5,-1.7,127,0.0,0.0,24,3.4,20210124,4.0,2021-01-24
24,1.1,2021,1,73.8,13.3,7.6,-1.5,127,0.0,0.0,25,5.1,20210125,3.7,2021-01-25
25,0.9,2021,1,87.0,6.0,0.0,0.7,127,2.8,0.0,26,9.9,20210126,3.9,2021-01-26
26,1.2,2021,1,61.0,6.8,7.7,-2.1,127,0.0,0.0,27,6.3,20210127,1.6,2021-01-27
27,3.2,2021,1,57.4,3.6,3.0,-8.2,127,0.9,0.0,28,6.6,20210128,-2.8,2021-01-28
28,3.1,2021,1,36.5,-3.5,8.9,-11.4,127,0.0,0.0,29,0.0,20210129,-8.0,2021-01-29
