,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
0,0.0,6.6,1,1,2.7,0.9,20110101,0.0,278,-15.8,0.0,2011-01-01,2011,66.5,-6.9
1,0.0,6.8,2,1,5.1,0.6,20110102,0.0,278,-13.5,0.0,2011-01-02,2011,71.1,-5.8
2,0.0,2.5,3,1,1.1,0.5,20110103,0.0,278,-13.6,0.0,2011-01-03,2011,71.3,-5.0
3,0.0,7.2,4,1,2.7,1.5,20110104,0.0,278,-7.6,0.0,2011-01-04,2011,70.1,-2.9
4,0.0,3.5,5,1,3.3,2.2,20110105,0.0,278,-6.3,0.0,2011-01-05,2011,61.5,-1.5
5,0.0,8.2,6,1,0.1,1.6,20110106,0.0,278,-12.7,0.0,2011-01-06,2011,57.6,-5.7
6,0.0,8.3,7,1,1.0,1.0,20110107,0.0,278,-16.4,0.0,2011-01-07,2011,58.4,-8.9
7,0.0,7.5,8,1,5.1,1.2,20110108,0.0,278,-15.9,0.0,2011-01-08,2011,64.5,-5.2
8,0.0,7.9,9,1,1.4,2.1,20110109,0.0,278,-12.8,0.0,2011-01-09,2011,54.5,-4.4
9,0.0,8.0,10,1,0.2,1.1,20110110,0.0,278,-17.8,0.0,2011-01-10,2011,53.3,-9.3
10,0.0,6.6,11,1,2.5,1.1,20110111,0.0,278,-13.8,0.0,2011-01-11,2011,61.9,-6.0
11,0.0,8.4,12,1,-1.2,2.3,20110112,0.0,278,-14.1,0.0,2011-01-12,2011,42.5,-6.2
12,0.0,8.5,13,1,1.8,0.7,20110113,0.0,278,-17.7,0.0,2011-01-13,2011,52.6,-9.2
13,0.0,5.1,14,1,3.4,1.1,20110114,0.0,278,-15.7,0.0,2011-01-14,2011,55.4,-5.5
14,0.0,6.0,15,1,-1.3,4.3,20110115,0.0,278,-15.1,0.0,2011-01-15,2011,31.8,-7.8
15,0.0,8.5,16,1,-4.8,2.3,20110116,0.0,278,-21.1,0.0,2011-01-16,2011,46.6,-12.2
16,0.0,8.5,17,1,-0.1,1.3,20110117,0.0,278,-19.6,0.0,2011-01-17,2011,49.5,-10.4
17,0.0,4.5,18,1,0.5,1.4,20110118,0.0,278,-16.9,0.0,2011-01-18,2011,53.1,-7.7
18,0.0,7.9,19,1,1.0,1.4,20110119,0.0,278,-14.5,0.0,2011-01-19,2011,52.8,-6.6
19,0.0,8.0,20,1,0.4,1.2,20110120,0.0,278,-14.7,0.0,2011-01-20,2011,54.1,-8.5
20,0.0,7.3,21,1,1.6,1.2,20110121,0.0,278,-15.0,0.0,2011-01-21,2011,51.6,-8.0
21,0.0,6.6,22,1,3.1,1.2,20110122,0.0,278,-14.7,0.0,2011-01-22,2011,63.3,-6.9
22,0.0,1.6,23,1,3.1,0.7,20110123,0.3,278,-12.2,0.0,2011-01-23,2011,67.9,-4.1
23,0.0,7.0,24,1,-1.3,2.4,20110124,0.0,278,-13.0,0.0,2011-01-24,2011,55.8,-5.7
24,0.0,8.4,25,1,0.2,1.3,20110125,0.0,278,-16.9,0.0,2011-01-25,2011,61.9,-9.2
25,0.0,8.7,26,1,0.3,1.6,20110126,0.0,278,-16.8,0.0,2011-01-26,2011,57.1,-9.0
