,cloud,date,rainfall,snow,tmin,day,tavg,tmax,humid,Date,sunshine,station_id,wind,year,month
0,0.0,20120101,0.1,0.0,-8.3,1,-1.8,5.0,61.6,2012-01-01,2.4,278,1.6,2012,1
1,0.0,20120102,0.0,0.0,-13.4,2,-6.4,3.1,69.4,2012-01-02,8.2,278,0.8,2012,1
2,0.0,20120103,0.0,0.0,-12.2,3,-4.3,2.7,64.8,2012-01-03,2.1,278,1.0,2012,1
3,0.0,20120104,0.0,0.0,-11.8,4,-5.6,-0.4,53.1,2012-01-04,8.1,278,2.4,2012,1
4,0.0,20120105,0.0,0.0,-15.5,5,-7.9,1.5,61.6,2012-01-05,8.2,278,1.1,2012,1
5,0.0,20120106,0.0,0.0,-14.1,6,-6.6,4.5,63.0,2012-01-06,8.2,278,0.8,2012,1
6,0.0,20120107,0.0,0.0,-14.3,7,-6.8,5.2,64.0,2012-01-07,8.2,278,0.6,2012,1
7,0.0,20120108,0.0,0.0,-13.5,8,-4.0,6.0,53.6,2012-01-08,7.0,278,1.1,2012,1
8,0.0,20120109,0.0,0.0,-10.4,9,-3.7,5.7,68.4,2012-01-09,6.2,278,0.9,2012,1
9,0.0,20120110,0.0,0.0,-9.2,10,-3.7,4.8,60.9,2012-01-10,4.8,278,1.1,2012,1
10,0.0,20120111,0.0,0.0,-13.1,11,-5.9,1.5,51.5,2012-01-11,8.4,278,1.6,2012,1
11,0.0,20120112,0.0,0.0,-17.1,12,-7.2,2.8,59.8,2012-01-12,8.4,278,1.2,2012,1
12,0.0,20120113,0.0,0.0,-9.0,13,-3.7,5.4,68.4,2012-01-13,3.0,278,1.1,2012,1
13,0.0,20120114,0.0,0.0,-12.4,14,-4.5,5.9,50.8,2012-01-14,8.4,278,1.0,2012,1
14,0.0,20120115,0.0,0.0,-9.0,15,-3.2,5.2,54.0,2012-01-15,3.5,278,0.5,2012,1
15,0.0,20120116,0.0,0.0,-5.7,16,0.5,7.2,68.6,2012-01-16,0.0,278,0.8,2012,1
16,0.0,20120117,0.0,0.0,-3.3,17,1.8,8.4,81.9,2012-01-17,1.0,278,0.5,2012,1
17,0.0,20120118,0.0,0.0,-4.4,18,1.1,8.1,84.4,2012-01-18,2.2,278,0.6,2012,1
18,0.0,20120119,0.5,0.0,1.2,19,5.4,8.7,79.3,2012-01-19,0.0,278,1.8,2012,1
19,0.0,20120120,0.0,0.0,0.2,20,6.4,10.1,63.5,2012-01-20,0.5,278,2.3,2012,1
20,0.0,20120121,0.1,0.0,0.2,21,3.9,9.2,78.5,2012-01-21,0.8,278,0.7,2012,1
21,0.0,20120122,0.0,0.0,-6.1,22,-0.3,3.2,44.5,2012-01-22,6.7,278,2.7,2012,1
22,0.0,20120123,0.0,0.0,-13.3,23,-7.3,-2.2,36.8,2012-01-23,8.9,278,2.4,2012,1
23,0.0,20120124,0.0,0.0,-16.0,24,-8.9,0.1,52.3,2012-01-24,8.4,278,1.5,2012,1
24,0.0,20120125,0.0,0.0,-14.7,25,-8.9,-1.9,46.8,2012-01-25,8.9,278,2.3,2012,1
25,0.0,20120126,0.0,0.0,-16.5,26,-6.1,3.1,60.0,2012-01-26,6.3,278,1.0,2012,1
26,0.0,20120127,0.0,0.0,-10.3,27,-2.9,6.5,80.9,2012-01-27,3.3,278,0.8,2012,1
27,0.0,20120128,0.0,0.0,-6.1,28,-1.5,6.6,57.6,2012-01-28,7.3,278,0.7,2012,1
28,0.0,20120129,0.0,0.0,-11.5,29,-3.9,6.4,44.1,2012-01-29,8.7,278,1.3,2012,1
29,0.0,20120130,0.0,0.0,-12.9,30,-5.8,3.4,37.9,2012-01-30,9.0,278,1.3,2012,1
30,0.0,20120131,5.0,0.0,-15.2,31,-4.2,4.2,60.9,2012-01-31,5.1,278,1.3,2012,1
31,0.0,20120201,0.1,0.0,-15.6,1,-7.8,-0.1,54.3,2012-02-01,9.1,278,2.8,2012,2
32,0.0,20120202,0.0,0.0,-20.9,2,-13.8,-6.0,53.5,2012-02-02,9.1,278,1.9,2012,2
33,0.0,20120203,0.0,0.0,-22.1,3,-12.1,-1.8,63.5,2012-02-03,9.0,278,1.4,2012,2
34,0.0,20120204,0.0,0.0,-16.4,4,-6.4,3.4,65.4,2012-02-04,8.2,278,1.4,2012,2
35,0.0,20120205,0.0,0.0,-9.7,5,-3.1,7.2,56.9,2012-02-05,7.3,278,0.7,2012,2
36,0.0,20120206,0.0,0.0,-9.3,6,-1.1,6.5,61.0,2012-02-06,1.6,278,0.6,2012,2
37,0.0,20120207,0.0,0.0,-9.1,7,-3.3,2.7,40.3,2012-02-07,9.1,278,3.6,2012,2
38,0.0,20120208,0.0,0.0,-13.9,8,-7.7,-1.6,45.4,2012-02-08,7.7,278,2.5,2012,2
39,0.0,20120209,0.0,0.0,-14.0,9,-4.8,2.1,51.9,2012-02-09,8.9,278,1.5,2012,2
40,0.0,20120210,0.0,0.0,-10.6,10,-3.7,4.1,57.8,2012-02-10,7.8,278,1.3,2012,2
41,0.0,20120211,0.0,0.0,-12.9,11,-4.9,4.8,51.1,2012-02-11,9.6,278,1.3,2012,2
42,0.0,20120212,0.0,0.0,-12.7,12,-2.5,7.5,49.1,2012-02-12,9.2,278,0.8,2012,2
43,0.0,20120213,0.0,0.0,-5.5,13,-0.1,6.3,63.6,2012-02-13,1.5,278,0.6,2012,2
44,0.0,20120214,0.0,0.0,-5.6,14,1.4,11.5,64.6,2012-02-14,4.6,278,0.9,2012,2
45,0.0,20120215,0.0,0.0,-3.7,15,1.2,9.5,49.9,2012-02-15,5.3,278,1.0,2012,2
46,0.0,20120216,0.0,0.0,-6.7,16,0.7,5.7,28.8,2012-02-16,9.4,278,3.0,2012,2
47,0.0,20120217,0.0,0.0,-11.0,17,-4.3,0.9,35.8,2012-02-17,7.9,278,3.5,2012,2
48,0.0,20120218,0.0,0.0,-14.4,18,-5.7,0.9,40.3,2012-02-18,9.9,278,2.4,2012,2
49,0.0,20120219,0.0,0.0,-14.8,19,-5.9,3.4,47.9,2012-02-19,10.0,278,1.5,2012,2
50,0.0,20120220,0.0,0.0,-15.0,20,-3.8,8.1,47.6,2012-02-20,9.6,278,1.0,2012,2
51,0.0,20120221,0.0,0.0,-10.6,21,-0.9,7.8,59.6,2012-02-21,3.0,278,0.9,2012,2
52,0.0,20120222,0.0,0.0,-7.3,22,2.0,10.2,69.9,2012-02-22,1.8,278,0.7,2012,2
53,0.0,20120223,0.0,0.0,-0.9,23,4.7,12.7,61.4,2012-02-23,5.8,278,1.5,2012,2
54,0.0,20120224,0.0,0.0,-1.9,24,3.9,8.2,61.0,2012-02-24,0.1,278,1.1,2012,2
55,0.0,20120225,0.2,0.0,0.7,25,3.0,6.5,67.6,2012-02-25,0.0,278,1.3,2012,2
56,0.0,20120226,0.0,0.0,-6.6,26,-0.5,5.8,61.6,2012-02-26,1.4,278,0.9,2012,2
57,0.0,20120227,0.0,0.0,-11.0,27,-2.0,8.2,54.4,2012-02-27,10.0,278,1.0,2012,2
58,0.0,20120228,0.0,0.0,-7.4,28,0.4,7.8,67.5,2012-02-28,0.1,278,0.7,2012,2
59,0.0,20120229,0.0,0.0,-4.6,29,4.4,14.8,61.1,2012-02-29,9.6,278,0.8,2012,2
60,0.0,20120301,0.0,0.0,-0.8,1,6.9,17.2,59.4,2012-03-01,8.4,278,1.0,2012,3
61,0.0,20120302,1.0,0.0,0.7,2,5.7,9.6,80.6,2012-03-02,0.0,278,1.0,2012,3
62,0.0,20120303,0.0,0.0,-1.9,3,4.9,10.1,66.8,2012-03-03,1.2,278,1.6,2012,3
63,0.0,20120304,1.0,0.0,0.6,4,4.8,8.0,79.4,2012-03-04,0.0,278,1.9,2012,3
64,0.0,20120305,12.5,0.0,1.8,5,4.2,6.9,88.5,2012-03-05,0.0,278,1.2,2012,3
65,0.0,20120306,3.0,0.0,-1.5,6,4.2,8.7,78.0,2012-03-06,2.4,278,1.8,2012,3
66,0.0,20120307,0.0,0.0,-2.5,7,4.1,12.3,63.0,2012-03-07,7.7,278,1.2,2012,3
67,0.0,20120308,0.0,0.0,-3.7,8,2.9,11.7,59.1,2012-03-08,6.7,278,0.9,2012,3
68,0.0,20120309,0.0,0.0,-3.3,9,4.3,11.7,59.8,2012-03-09,5.2,278,1.8,2012,3
69,0.0,20120310,0.0,0.0,-1.2,10,5.0,11.7,59.4,2012-03-10,3.8,278,1.2,2012,3
70,0.0,20120311,0.0,0.0,-3.1,11,0.9,4.1,36.3,2012-03-11,9.5,278,4.4,2012,3
71,0.0,20120312,0.0,0.0,-9.7,12,-1.7,6.6,43.6,2012-03-12,10.4,278,2.1,2012,3
72,0.0,20120313,0.0,0.0,-10.0,13,-0.8,8.9,52.1,2012-03-13,10.1,278,1.5,2012,3
73,0.0,20120314,0.0,0.0,-8.7,14,2.8,13.4,57.3,2012-03-14,8.5,278,1.7,2012,3
74,0.0,20120315,0.0,0.0,-4.0,15,4.8,14.3,54.0,2012-03-15,9.9,278,1.0,2012,3
75,0.0,20120316,5.0,0.0,1.0,16,6.1,11.6,71.4,2012-03-16,0.1,278,0.9,2012,3
76,0.0,20120317,1.0,0.0,6.8,17,9.6,13.2,87.5,2012-03-17,0.0,278,0.7,2012,3
77,0.0,20120318,0.0,0.0,3.3,18,9.9,17.3,72.1,2012-03-18,3.8,278,1.9,2012,3
78,0.0,20120319,0.0,0.0,-2.3,19,4.2,11.4,58.5,2012-03-19,6.4,278,1.5,2012,3
79,0.0,20120320,0.0,0.0,-5.7,20,3.0,11.8,45.9,2012-03-20,10.4,278,1.9,2012,3
80,0.0,20120321,0.0,0.0,-7.0,21,3.2,14.4,46.4,2012-03-21,10.6,278,1.5,2012,3
81,0.0,20120322,2.0,0.0,-2.2,22,6.4,13.1,57.1,2012-03-22,1.8,278,1.1,2012,3
82,0.0,20120323,16.5,0.0,5.0,23,6.1,8.2,87.9,2012-03-23,0.0,278,1.5,2012,3
83,0.0,20120324,0.3,0.0,2.1,24,5.1,9.8,50.6,2012-03-24,4.6,278,4.6,2012,3
84,0.0,20120325,0.0,0.0,-3.6,25,3.2,9.6,43.4,2012-03-25,9.4,278,3.3,2012,3
85,0.0,20120326,0.0,0.0,-6.3,26,3.4,12.0,43.1,2012-03-26,10.8,278,2.3,2012,3
86,0.0,20120327,0.0,0.0,-5.8,27,7.3,18.2,42.0,2012-03-27,9.7,278,2.1,2012,3
87,0.0,20120328,0.0,0.0,-1.0,28,7.5,18.6,59.5,2012-03-28,8.0,278,1.2,2012,3
88,0.0,20120329,0.5,0.0,-3.4,29,9.9,20.0,57.6,2012-03-29,6.9,278,1.3,2012,3
89,0.0,20120330,14.0,0.0,8.8,30,11.7,14.4,84.5,2012-03-30,0.0,278,0.9,2012,3
90,0.0,20120331,0.0,0.0,3.3,31,7.6,13.0,40.3,2012-03-31,9.4,278,3.9,2012,3
91,0.0,20120401,0.0,0.0,-3.8,1,4.7,12.9,39.8,2012-04-01,10.1,278,2.0,2012,4
92,0.0,20120402,0.0,0.0,-2.3,2,10.9,21.2,49.6,2012-04-02,7.6,278,2.0,2012,4
93,0.0,20120403,9.0,0.0,2.7,3,7.6,15.8,67.6,2012-04-03,0.4,278,3.6,2012,4
94,0.0,20120404,0.0,0.0,-3.1,4,8.2,18.8,51.0,2012-04-04,10.2,278,3.2,2012,4
95,0.0,20120405,0.0,0.0,-0.8,5,8.7,15.8,36.0,2012-04-05,8.9,278,3.4,2012,4
96,0.0,20120406,0.0,0.0,-3.6,6,6.0,13.3,35.8,2012-04-06,10.3,278,3.6,2012,4
97,0.0,20120407,0.0,0.0,-4.3,7,5.3,15.2,43.1,2012-04-07,10.9,278,2.0,2012,4
98,0.0,20120408,0.0,0.0,-2.0,8,11.0,24.6,45.0,2012-04-08,10.8,278,2.0,2012,4
99,0.0,20120409,0.0,0.0,4.3,9,14.1,24.4,56.6,2012-04-09,8.3,278,1.2,2012,4
100,0.0,20120410,2.0,0.0,7.5,10,13.4,21.2,73.0,2012-04-10,0.2,278,1.2,2012,4
101,0.0,20120411,1.0,0.0,7.0,11,13.4,19.3,81.3,2012-04-11,1.2,278,1.4,2012,4
102,0.0,20120412,0.0,0.0,2.4,12,11.7,19.2,47.9,2012-04-12,9.3,278,2.5,2012,4
103,0.0,20120413,2.0,0.0,6.2,13,10.9,16.8,65.0,2012-04-13,0.6,278,1.0,2012,4
104,0.0,20120414,0.0,0.0,7.7,14,14.0,23.6,59.8,2012-04-14,9.8,278,1.2,2012,4
105,0.0,20120415,0.0,0.0,5.9,15,14.8,26.0,49.1,2012-04-15,10.2,278,1.0,2012,4
106,0.0,20120416,0.0,0.0,4.0,16,14.8,25.0,47.1,2012-04-16,10.8,278,1.7,2012,4
107,0.0,20120417,0.0,0.0,2.6,17,11.9,21.9,54.4,2012-04-17,10.6,278,1.4,2012,4
108,0.0,20120418,0.0,0.0,1.7,18,12.5,23.5,50.3,2012-04-18,8.8,278,1.2,2012,4
109,0.0,20120419,0.2,0.0,3.5,19,12.5,21.6,60.8,2012-04-19,2.7,278,1.3,2012,4
