,Date,station_id,month,rainfall,tmax,date,year,cloud,sunshine,tavg,humid,snow,tmin,day,wind
0,2013-01-01,278,1,1.0,-0.4,20130101,2013,0.0,2.8,-8.6,84.0,0.0,-16.7,1,0.5
1,2013-01-02,278,1,0.1,-3.2,20130102,2013,0.0,8.3,-8.2,54.0,0.0,-18.0,2,2.6
2,2013-01-03,278,1,0.0,-5.7,20130103,2013,0.0,8.3,-14.4,59.1,0.0,-21.1,3,1.5
3,2013-01-04,278,1,0.0,-2.7,20130104,2013,0.0,8.2,-14.4,63.9,0.0,-23.2,4,0.6
4,2013-01-05,278,1,0.0,0.9,20130105,2013,0.0,8.2,-10.3,65.9,0.0,-20.6,5,1.0
5,2013-01-06,278,1,0.0,2.8,20130106,2013,0.0,8.0,-8.5,69.3,0.0,-14.9,6,0.6
6,2013-01-07,278,1,0.0,2.0,20130107,2013,0.0,6.3,-8.4,62.9,0.0,-16.8,7,0.8
7,2013-01-08,278,1,0.0,3.2,20130108,2013,0.0,8.2,-7.1,65.3,0.0,-15.6,8,0.8
8,2013-01-09,278,1,0.0,-1.6,20130109,2013,0.0,8.4,-8.9,58.3,0.0,-15.3,9,1.8
9,2013-01-10,278,1,0.0,-0.8,20130110,2013,0.0,8.4,-11.4,58.3,0.0,-20.6,10,1.1
10,2013-01-11,278,1,0.0,3.7,20130111,2013,0.0,7.7,-8.0,65.9,0.0,-19.5,11,0.5
11,2013-01-12,278,1,0.0,6.7,20130112,2013,0.0,5.7,-3.1,74.0,0.0,-11.8,12,0.9
12,2013-01-13,278,1,0.0,4.1,20130113,2013,0.0,0.0,-3.1,81.3,0.0,-8.7,13,0.3
13,2013-01-14,278,1,0.0,6.4,20130114,2013,0.0,5.0,-3.0,77.6,0.0,-7.9,14,1.1
14,2013-01-15,278,1,0.0,6.1,20130115,2013,0.0,7.0,-4.4,75.8,0.0,-11.6,15,0.4
15,2013-01-16,278,1,0.0,4.3,20130116,2013,0.0,2.8,-2.6,71.5,0.0,-11.8,16,1.2
16,2013-01-17,278,1,0.0,1.7,20130117,2013,0.0,5.7,-2.9,60.9,0.0,-9.5,17,2.0
17,2013-01-18,278,1,0.0,2.9,20130118,2013,0.0,8.5,-6.9,63.0,0.0,-14.3,18,0.9
18,2013-01-19,278,1,0.0,5.5,20130119,2013,0.0,4.4,-4.0,71.4,0.0,-12.8,19,1.0
19,2013-01-20,278,1,0.0,7.8,20130120,2013,0.0,3.9,-1.4,75.0,0.0,-9.4,20,0.6
20,2013-01-21,278,1,13.5,3.5,20130121,2013,0.0,0.0,1.8,92.8,0.0,0.6,21,0.6
21,2013-01-22,278,1,2.0,7.2,20130122,2013,0.0,0.3,3.1,84.0,0.0,1.0,22,0.7
22,2013-01-23,278,1,1.0,3.8,20130123,2013,0.0,0.0,1.9,90.0,0.0,0.5,23,0.5
23,2013-01-24,278,1,0.0,4.5,20130124,2013,0.0,0.6,0.5,67.4,0.0,-3.6,24,2.2
