,tmax,year,tmin,humid,cloud,sunshine,date,day,rainfall,station_id,Date,wind,month,tavg,snow
0,-2.5,2015,-13.7,43.5,0.0,8.2,20150101,1,0.0,278,2015-01-01,2.9,1,-7.2,0.0
1,-0.1,2015,-14.2,59.8,0.0,8.2,20150102,2,0.0,278,2015-01-02,1.9,1,-7.5,0.0
2,2.8,2015,-16.3,66.8,0.0,8.1,20150103,3,0.0,278,2015-01-03,0.8,1,-7.1,0.0
3,9.7,2015,-7.0,76.4,0.0,4.6,20150104,4,0.0,278,2015-01-04,0.6,1,-1.3,0.0
4,8.2,2015,-8.0,79.6,0.0,4.1,20150105,5,0.5,278,2015-01-05,0.4,1,0.0,0.0
5,5.0,2015,-4.4,57.1,0.0,8.0,20150106,6,7.5,278,2015-01-06,2.5,1,1.0,0.0
6,0.9,2015,-10.7,40.9,0.0,8.2,20150107,7,0.0,278,2015-01-07,2.0,1,-5.3,0.0
7,3.1,2015,-14.2,61.8,0.0,8.2,20150108,8,0.0,278,2015-01-08,1.1,1,-6.5,0.0
8,4.8,2015,-12.0,69.6,0.0,6.9,20150109,9,0.0,278,2015-01-09,1.5,1,-4.2,0.0
9,6.3,2015,-10.5,65.6,0.0,8.3,20150110,10,0.0,278,2015-01-10,1.3,1,-3.3,0.0
10,5.4,2015,-9.1,62.6,0.0,7.9,20150111,11,0.0,278,2015-01-11,1.9,1,-2.7,0.0
11,5.5,2015,-11.5,67.3,0.0,8.4,20150112,12,0.0,278,2015-01-12,0.6,1,-4.9,0.0
12,7.8,2015,-12.2,67.4,0.0,7.0,20150113,13,0.0,278,2015-01-13,0.6,1,-2.9,0.0
13,4.9,2015,-2.8,68.3,0.0,0.0,20150114,14,0.0,278,2015-01-14,0.3,1,0.4,0.0
14,10.0,2015,-5.0,74.9,0.0,3.8,20150115,15,0.0,278,2015-01-15,0.6,1,0.3,0.0
15,6.0,2015,-7.6,73.9,0.0,2.0,20150116,16,0.0,278,2015-01-16,1.8,1,-0.6,0.0
16,3.3,2015,-9.7,40.9,0.0,8.4,20150117,17,0.0,278,2015-01-17,3.0,1,-2.3,0.0
