,year,station_id,month,sunshine,snow,tmin,tavg,Date,tmax,cloud,date,day,humid,rainfall,wind
0,2018,278,1,8.4,0.0,-10.8,-3.0,2018-01-01,5.8,0.0,20180101,1,52.5,0.0,1.5
1,2018,278,1,5.8,0.0,-10.5,-1.9,2018-01-02,7.0,0.0,20180102,2,59.4,0.0,1.4
2,2018,278,1,8.1,0.0,-10.3,-3.7,2018-01-03,4.6,0.0,20180103,3,45.5,0.0,1.4
3,2018,278,1,7.1,0.0,-10.4,-2.9,2018-01-04,4.3,0.0,20180104,4,50.9,0.0,0.6
4,2018,278,1,6.9,0.0,-6.1,-0.6,2018-01-05,6.3,0.0,20180105,5,46.4,0.0,1.1
5,2018,278,1,8.6,0.0,-10.9,-3.9,2018-01-06,7.2,0.0,20180106,6,53.3,0.0,1.0
6,2018,278,1,2.1,0.0,-11.9,-3.0,2018-01-07,4.3,0.0,20180107,7,53.3,0.0,0.5
7,2018,278,1,0.0,0.0,-3.4,0.4,2018-01-08,2.9,0.0,20180108,8,70.9,0.5,0.8
8,2018,278,1,4.4,0.0,-6.1,-1.4,2018-01-09,2.3,0.0,20180109,9,61.0,0.0,3.4
9,2018,278,1,6.3,0.0,-8.7,-4.3,2018-01-10,-0.3,0.0,20180110,10,54.9,1.0,2.6
10,2018,278,1,8.5,0.0,-17.0,-10.5,2018-01-11,-3.5,0.0,20180111,11,56.4,0.0,1.9
11,2018,278,1,8.5,0.0,-18.1,-11.8,2018-01-12,-3.5,0.0,20180112,12,56.5,0.0,1.4
12,2018,278,1,5.6,0.0,-14.2,-4.9,2018-01-13,3.5,0.0,20180113,13,66.9,0.0,1.0
13,2018,278,1,8.5,0.0,-11.7,-3.7,2018-01-14,7.2,0.0,20180114,14,69.9,0.0,0.6
14,2018,278,1,7.9,0.0,-5.8,1.4,2018-01-15,12.4,0.0,20180115,15,65.9,0.0,1.0
15,2018,278,1,1.6,0.0,-5.2,2.8,2018-01-16,12.1,0.0,20180116,16,73.5,2.5,0.7
16,2018,278,1,0.0,0.0,0.8,3.7,2018-01-17,5.9,0.0,20180117,17,94.0,10.0,0.6
17,2018,278,1,1.4,0.0,-1.8,2.8,2018-01-18,9.3,0.0,20180118,18,74.5,0.0,1.0
18,2018,278,1,6.9,0.0,-5.8,-1.2,2018-01-19,7.6,0.0,20180119,19,68.1,0.0,0.8
19,2018,278,1,7.9,0.0,-8.7,-2.0,2018-01-20,8.1,0.0,20180120,20,72.3,0.0,0.8
20,2018,278,1,7.5,0.0,-7.9,-0.4,2018-01-21,9.0,0.0,20180121,21,62.0,0.0,0.5
21,2018,278,1,2.0,0.0,-1.0,3.2,2018-01-22,8.5,0.0,20180122,22,53.9,0.0,1.1
22,2018,278,1,8.9,0.0,-9.6,-5.5,2018-01-23,2.8,0.0,20180123,23,31.1,0.0,4.6
23,2018,278,1,8.9,0.0,-14.6,-10.2,2018-01-24,-5.8,0.0,20180124,24,25.8,0.0,3.4
24,2018,278,1,8.1,0.0,-17.9,-10.7,2018-01-25,-4.0,0.0,20180125,25,37.1,0.0,2.1
25,2018,278,1,9.1,0.0,-16.6,-11.1,2018-01-26,-4.4,0.0,20180126,26,33.5,0.0,2.5
26,2018,278,1,8.8,0.0,-19.2,-9.6,2018-01-27,1.4,0.0,20180127,27,44.9,0.0,0.8
27,2018,278,1,8.2,0.0,-7.9,-2.6,2018-01-28,2.9,0.0,20180128,28,32.4,0.0,2.5
28,2018,278,1,9.0,0.0,-14.6,-7.9,2018-01-29,-1.0,0.0,20180129,29,41.0,0.0,2.5
29,2018,278,1,8.8,0.0,-16.8,-7.4,2018-01-30,2.6,0.0,20180130,30,51.9,0.0,1.4
30,2018,278,1,6.8,0.0,-11.2,-2.9,2018-01-31,5.7,0.0,20180131,31,49.9,0.0,1.2
31,2018,278,2,9.1,0.0,-11.8,-4.7,2018-02-01,6.3,0.0,20180201,1,43.3,0.0,0.7
32,2018,278,2,8.7,0.0,-14.0,-5.2,2018-02-02,5.9,0.0,20180202,2,43.4,0.0,0.9
33,2018,278,2,9.2,0.0,-12.9,-6.0,2018-02-03,-0.3,0.0,20180203,3,42.9,0.0,3.0
34,2018,278,2,9.4,0.0,-15.6,-8.1,2018-02-04,-2.1,0.0,20180204,4,34.8,0.0,2.8
35,2018,278,2,9.0,0.0,-18.1,-9.6,2018-02-05,-1.8,0.0,20180205,5,39.8,0.0,2.6
36,2018,278,2,9.6,0.0,-18.3,-10.0,2018-02-06,-2.4,0.0,20180206,6,41.1,0.0,2.2
37,2018,278,2,9.5,0.0,-18.5,-9.4,2018-02-07,0.9,0.0,20180207,7,42.0,0.0,1.2
38,2018,278,2,9.3,0.0,-16.7,-7.1,2018-02-08,5.6,0.0,20180208,8,41.4,0.0,0.7
39,2018,278,2,7.4,0.0,-12.0,-0.8,2018-02-09,10.7,0.0,20180209,9,42.5,0.0,0.8
40,2018,278,2,1.9,0.0,-5.1,0.8,2018-02-10,7.9,0.0,20180210,10,38.6,0.0,2.5
41,2018,278,2,7.9,0.0,-12.7,-4.5,2018-02-11,0.8,0.0,20180211,11,47.6,1.5,2.5
42,2018,278,2,6.2,0.0,-15.5,-6.4,2018-02-12,-0.6,0.0,20180212,12,61.0,0.0,2.3
43,2018,278,2,9.6,0.0,-12.0,-3.6,2018-02-13,5.9,0.0,20180213,13,56.6,0.0,1.6
44,2018,278,2,7.5,0.0,-11.0,2.0,2018-02-14,14.8,0.0,20180214,14,58.0,0.0,1.6
45,2018,278,2,8.3,0.0,-5.8,2.2,2018-02-15,10.4,0.0,20180215,15,36.1,0.0,1.2
46,2018,278,2,9.4,0.0,-9.0,-0.3,2018-02-16,9.8,0.0,20180216,16,33.0,0.0,1.6
47,2018,278,2,9.6,0.0,-7.0,-0.6,2018-02-17,6.3,0.0,20180217,17,25.4,0.0,2.4
48,2018,278,2,5.3,0.0,-6.8,-0.9,2018-02-18,7.2,0.0,20180218,18,31.5,0.0,0.7
49,2018,278,2,7.0,0.0,-6.4,1.5,2018-02-19,11.2,0.0,20180219,19,34.5,0.0,0.9
50,2018,278,2,8.0,0.0,-8.8,2.0,2018-02-20,11.0,0.0,20180220,20,35.6,0.0,1.6
51,2018,278,2,6.6,0.0,-8.1,-0.4,2018-02-21,7.2,0.0,20180221,21,29.1,0.0,1.3
52,2018,278,2,10.0,0.0,-11.9,-2.4,2018-02-22,8.7,0.0,20180222,22,40.5,0.0,1.2
53,2018,278,2,5.2,0.0,-8.3,1.2,2018-02-23,11.2,0.0,20180223,23,55.6,0.0,1.0
54,2018,278,2,4.6,0.0,-4.4,3.3,2018-02-24,13.0,0.0,20180224,24,58.0,0.0,0.9
55,2018,278,2,7.1,0.0,-3.8,3.7,2018-02-25,13.4,0.0,20180225,25,53.6,0.0,1.1
56,2018,278,2,10.1,0.0,-8.8,1.4,2018-02-26,13.6,0.0,20180226,26,39.8,0.0,0.8
57,2018,278,2,7.0,0.0,-6.2,4.3,2018-02-27,15.7,0.0,20180227,27,43.3,0.0,1.1
58,2018,278,2,0.0,0.0,0.3,5.3,2018-02-28,11.2,0.0,20180228,28,68.0,18.5,1.8
59,2018,278,3,9.1,0.0,-1.5,4.4,2018-03-01,8.4,0.0,20180301,1,45.1,0.5,4.3
60,2018,278,3,10.3,0.0,-7.5,0.8,2018-03-02,10.7,0.0,20180302,2,44.4,0.0,1.3
61,2018,278,3,10.1,0.0,-5.8,5.3,2018-03-03,19.5,0.0,20180303,3,49.5,0.0,0.8
62,2018,278,3,4.1,0.0,0.5,12.9,2018-03-04,22.5,0.0,20180304,4,62.1,20.0,1.1
63,2018,278,3,1.0,0.0,3.0,5.5,2018-03-05,13.7,0.0,20180305,5,68.1,14.0,2.7
64,2018,278,3,10.4,0.0,-2.1,4.4,2018-03-06,13.3,0.0,20180306,6,58.4,0.0,1.2
65,2018,278,3,0.0,0.0,-1.0,4.1,2018-03-07,8.2,0.0,20180307,7,71.9,3.5,1.3
66,2018,278,3,0.0,0.0,0.4,2.0,2018-03-08,3.9,0.0,20180308,8,94.0,22.0,0.4
67,2018,278,3,0.9,0.0,-0.9,2.7,2018-03-09,8.3,0.0,20180309,9,79.6,0.0,0.7
68,2018,278,3,10.0,0.0,-1.3,4.7,2018-03-10,13.3,0.0,20180310,10,64.0,0.0,1.3
69,2018,278,3,10.1,0.0,-2.7,5.5,2018-03-11,15.4,0.0,20180311,11,57.1,0.0,1.5
70,2018,278,3,10.1,0.0,-3.5,7.1,2018-03-12,19.8,0.0,20180312,12,55.5,0.0,0.9
71,2018,278,3,10.3,0.0,-1.6,10.1,2018-03-13,23.0,0.0,20180313,13,59.6,0.0,1.4
72,2018,278,3,10.3,0.0,2.0,13.2,2018-03-14,24.6,0.0,20180314,14,62.4,0.0,1.0
73,2018,278,3,0.0,0.0,8.0,13.0,2018-03-15,18.2,0.0,20180315,15,91.8,5.0,0.6
74,2018,278,3,3.8,0.0,-2.4,3.9,2018-03-16,10.6,0.0,20180316,16,58.6,1.0,2.9
75,2018,278,3,10.4,0.0,-5.2,3.7,2018-03-17,14.4,0.0,20180317,17,60.6,0.0,1.0
76,2018,278,3,3.2,0.0,-1.6,7.5,2018-03-18,15.1,0.0,20180318,18,64.8,2.5,0.8
77,2018,278,3,0.0,0.0,4.7,8.2,2018-03-19,11.9,0.0,20180319,19,80.4,31.0,2.2
78,2018,278,3,5.0,0.0,3.0,5.3,2018-03-20,8.4,0.0,20180320,20,44.4,0.1,4.3
79,2018,278,3,0.0,0.0,0.4,2.1,2018-03-21,4.6,0.0,20180321,21,87.3,12.0,1.7
