station,year,dvr1,dvr2,cd,obj
Hwaseong,2010,1900-05-01,1900-04-23,1900-05-04,
Hwaseong,2011,1900-05-08,1900-04-27,1900-05-07,
Hwaseong,2012,1900-04-26,1900-04-28,1900-04-30,
Hwaseong,2013,1900-05-04,1900-04-28,1900-05-06,
Hwaseong,2014,1900-04-19,1900-04-10,1900-04-18,
Hwaseong,2015,1900-04-27,1900-04-14,1900-04-23,
Hwaseong,2016,1900-04-20,1900-04-17,1900-04-18,1900-04-26
Hwaseong,2017,1900-04-25,1900-04-21,1900-04-20,1900-04-28
Hwaseong,2018,1900-04-20,1900-04-13,1900-04-20,1900-04-29
Hwaseong,2019,1900-04-24,1900-04-18,1900-04-21,
Hwaseong,2020,1900-04-19,1900-04-07,1900-04-19,
Hwaseong,2021,1900-04-09,1900-04-03,1900-04-09,
Hwaseong,2022,1900-04-21,1900-04-13,1900-04-21,
Hwaseong,2023,1900-04-17,1900-04-12,1900-04-14,1900-04-25
Hwaseong,2024,1900-04-18,1900-04-07,1900-04-16,1900-04-23
