,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
0,5.4,1.7,1,1,0.6,2.0,20120101,0.0,119,-6.7,0.0,2012-01-01,2012,72.3,-2.6
1,2.8,4.9,2,1,-0.7,1.1,20120102,0.0,119,-10.1,0.0,2012-01-02,2012,75.5,-4.8
2,7.5,2.5,3,1,0.9,1.4,20120103,0.6,119,-7.8,1.1,2012-01-03,2012,78.8,-4.6
3,1.8,8.3,4,1,-3.5,2.4,20120104,0.0,119,-8.6,0.0,2012-01-04,2012,63.1,-6.4
4,1.0,9.1,5,1,-1.0,0.9,20120105,0.0,119,-11.5,0.0,2012-01-05,2012,68.9,-6.3
5,2.4,7.7,6,1,1.9,1.3,20120106,0.0,119,-6.4,0.0,2012-01-06,2012,58.0,-2.8
6,0.0,8.8,7,1,2.1,0.7,20120107,0.0,119,-11.0,0.0,2012-01-07,2012,65.5,-5.3
7,5.8,3.6,8,1,1.3,0.8,20120108,0.0,119,-9.2,0.0,2012-01-08,2012,73.9,-3.5
8,6.0,1.5,9,1,3.0,0.9,20120109,0.0,119,-4.2,0.0,2012-01-09,2012,81.1,-0.8
9,0.8,7.8,10,1,2.2,1.6,20120110,0.0,119,-6.9,0.0,2012-01-10,2012,58.1,-1.8
10,0.0,8.9,11,1,-2.1,2.1,20120111,0.0,119,-7.7,0.0,2012-01-11,2012,49.9,-4.9
11,4.8,4.8,12,1,0.6,1.1,20120112,0.0,119,-11.7,0.0,2012-01-12,2012,70.1,-4.5
12,3.4,5.4,13,1,3.8,1.4,20120113,0.0,119,-4.9,0.0,2012-01-13,2012,64.3,-1.3
13,2.5,9.0,14,1,3.4,1.0,20120114,0.0,119,-8.9,0.0,2012-01-14,2012,64.1,-2.1
14,5.4,5.1,15,1,1.7,1.4,20120115,0.0,119,-4.4,0.0,2012-01-15,2012,50.0,-2.0
15,1.8,7.9,16,1,8.7,0.3,20120116,0.0,119,-7.3,0.0,2012-01-16,2012,64.9,-0.1
16,4.3,5.1,17,1,8.7,0.7,20120117,0.0,119,-2.8,0.0,2012-01-17,2012,74.6,1.6
17,4.3,6.3,18,1,6.8,0.6,20120118,0.0,119,-5.5,0.0,2012-01-18,2012,62.3,0.3
18,9.1,0.0,19,1,8.3,1.3,20120119,2.0,119,-0.7,0.0,2012-01-19,2012,74.3,4.5
19,9.4,0.0,20,1,8.5,1.6,20120120,1.5,119,3.7,0.0,2012-01-20,2012,76.9,5.4
20,7.5,0.0,21,1,5.3,1.3,20120121,1.0,119,-1.6,0.0,2012-01-21,2012,79.6,2.5
21,1.9,8.6,22,1,-1.6,3.0,20120122,0.0,119,-10.6,0.0,2012-01-22,2012,47.6,-6.3
22,0.0,9.6,23,1,-4.6,2.4,20120123,0.0,119,-11.5,0.0,2012-01-23,2012,43.6,-8.3
23,2.4,9.2,24,1,-2.0,1.3,20120124,1.0,119,-12.7,2.5,2012-01-24,2012,55.3,-7.0
24,0.0,9.7,25,1,-4.0,2.3,20120125,0.0,119,-10.2,0.0,2012-01-25,2012,52.6,-7.5
25,2.5,8.1,26,1,3.2,1.2,20120126,0.0,119,-9.8,0.0,2012-01-26,2012,68.3,-3.5
26,4.3,2.5,27,1,5.0,1.2,20120127,0.5,119,-7.0,1.0,2012-01-27,2012,78.3,-1.1
27,5.1,7.6,28,1,4.0,1.8,20120128,0.0,119,-5.2,0.0,2012-01-28,2012,30.8,-0.6
28,0.5,7.9,29,1,2.8,2.1,20120129,0.0,119,-7.2,0.0,2012-01-29,2012,30.6,-1.8
29,0.3,9.4,30,1,-0.4,1.8,20120130,0.0,119,-8.2,0.0,2012-01-30,2012,38.3,-5.2
30,6.9,0.9,31,1,1.1,2.2,20120131,3.3,119,-10.5,4.7,2012-01-31,2012,70.4,-4.3
31,0.0,9.7,1,2,-6.2,3.0,20120201,0.0,119,-14.4,0.0,2012-02-01,2012,56.1,-11.2
32,0.0,9.7,2,2,-8.1,2.1,20120202,0.0,119,-16.0,0.0,2012-02-02,2012,54.8,-12.9
33,3.3,9.2,3,2,-3.5,1.0,20120203,0.0,119,-16.2,0.0,2012-02-03,2012,66.0,-8.8
34,3.4,8.5,4,2,2.3,1.3,20120204,0.2,119,-6.6,0.3,2012-02-04,2012,63.6,-3.0
35,4.0,6.3,5,2,5.8,0.6,20120205,0.0,119,-4.9,0.0,2012-02-05,2012,51.5,-0.8
36,8.5,1.6,6,2,6.8,1.1,20120206,0.0,119,-4.9,0.0,2012-02-06,2012,59.6,1.2
37,0.0,9.4,7,2,1.0,3.8,20120207,0.0,119,-10.7,0.0,2012-02-07,2012,47.3,-7.5
38,2.4,8.9,8,2,-3.3,2.2,20120208,0.0,119,-11.9,0.0,2012-02-08,2012,52.8,-7.4
39,3.9,8.0,9,2,1.7,1.5,20120209,0.1,119,-10.7,0.1,2012-02-09,2012,67.3,-4.1
40,3.8,7.1,10,2,2.5,1.9,20120210,0.0,119,-7.0,0.0,2012-02-10,2012,57.0,-2.4
41,0.0,10.1,11,2,1.4,1.4,20120211,0.0,119,-10.7,0.0,2012-02-11,2012,51.8,-4.2
42,4.6,8.2,12,2,5.4,0.9,20120212,0.0,119,-6.4,0.0,2012-02-12,2012,54.9,-0.7
43,6.0,2.4,13,2,8.6,0.6,20120213,0.0,119,-2.0,0.0,2012-02-13,2012,48.1,2.3
44,3.6,7.6,14,2,8.9,1.8,20120214,0.0,119,-2.5,0.0,2012-02-14,2012,60.9,2.7
45,5.8,7.4,15,2,4.1,2.5,20120215,0.0,119,-3.0,0.0,2012-02-15,2012,38.8,-0.2
46,1.3,8.2,16,2,2.7,2.8,20120216,0.0,119,-7.7,0.0,2012-02-16,2012,44.0,-2.1
47,1.0,8.8,17,2,-1.5,3.1,20120217,0.0,119,-8.0,0.0,2012-02-17,2012,42.5,-5.1
48,0.9,10.2,18,2,-2.5,2.4,20120218,0.0,119,-10.5,0.0,2012-02-18,2012,48.1,-5.8
49,0.0,10.3,19,2,1.5,1.5,20120219,0.0,119,-11.5,0.0,2012-02-19,2012,49.4,-4.6
50,0.0,9.9,20,2,6.2,1.2,20120220,0.0,119,-8.4,0.0,2012-02-20,2012,65.0,-1.2
51,5.6,1.7,21,2,7.6,0.8,20120221,0.0,119,-3.6,0.0,2012-02-21,2012,65.8,1.8
52,6.0,9.2,22,2,12.2,1.5,20120222,0.0,119,-3.3,0.0,2012-02-22,2012,59.0,5.5
53,7.6,4.3,23,2,8.7,1.9,20120223,0.3,119,-0.6,0.0,2012-02-23,2012,75.0,4.2
54,7.0,4.4,24,2,10.1,1.7,20120224,0.1,119,-2.6,0.0,2012-02-24,2012,75.9,3.7
55,6.6,1.9,25,2,4.7,2.5,20120225,0.0,119,-1.8,0.0,2012-02-25,2012,65.4,1.6
56,4.1,5.1,26,2,3.5,2.1,20120226,0.0,119,-3.3,0.0,2012-02-26,2012,42.9,-1.0
57,0.0,10.6,27,2,5.4,1.6,20120227,0.0,119,-6.4,0.0,2012-02-27,2012,46.6,-0.9
58,5.5,2.9,28,2,8.5,1.0,20120228,0.0,119,-5.4,0.0,2012-02-28,2012,49.0,1.7
59,3.8,8.5,29,2,12.5,1.1,20120229,0.0,119,-3.1,0.0,2012-02-29,2012,48.8,5.1
60,6.5,6.9,1,3,14.8,1.1,20120301,0.0,119,0.9,0.0,2012-03-01,2012,41.9,7.4
61,8.5,1.1,2,3,8.6,1.3,20120302,0.1,119,4.3,0.0,2012-03-02,2012,64.3,6.4
62,5.4,5.6,3,3,13.2,2.5,20120303,0.0,119,3.0,0.0,2012-03-03,2012,57.9,7.8
63,8.4,1.4,4,3,10.1,4.1,20120304,0.0,119,3.7,0.0,2012-03-04,2012,58.1,6.9
64,10.0,0.0,5,3,7.7,4.1,20120305,12.0,119,3.9,0.0,2012-03-05,2012,81.6,5.4
65,9.5,0.0,6,3,5.2,3.6,20120306,4.0,119,2.2,0.0,2012-03-06,2012,88.5,3.6
66,5.9,5.6,7,3,9.0,2.1,20120307,0.0,119,0.5,0.0,2012-03-07,2012,71.3,3.4
67,6.1,2.6,8,3,6.6,2.2,20120308,0.0,119,-1.4,0.0,2012-03-08,2012,56.1,2.6
68,5.9,4.8,9,3,9.1,1.3,20120309,0.0,119,-3.0,0.0,2012-03-09,2012,63.9,3.0
69,6.4,6.6,10,3,7.9,1.8,20120310,0.0,119,0.1,0.0,2012-03-10,2012,69.6,3.3
70,1.6,10.6,11,3,2.4,4.3,20120311,0.0,119,-3.7,0.0,2012-03-11,2012,49.5,-1.1
71,0.0,11.2,12,3,4.2,2.3,20120312,0.0,119,-5.1,0.0,2012-03-12,2012,48.8,-1.0
72,0.9,10.2,13,3,7.0,1.4,20120313,0.0,119,-4.2,0.0,2012-03-13,2012,66.6,1.3
73,7.1,0.6,14,3,7.4,2.2,20120314,0.0,119,-0.1,0.0,2012-03-14,2012,79.0,3.3
74,2.6,10.2,15,3,12.9,0.9,20120315,0.0,119,-3.9,0.0,2012-03-15,2012,58.0,4.7
75,9.9,0.0,16,3,13.5,2.2,20120316,3.5,119,3.2,0.0,2012-03-16,2012,64.1,8.1
76,7.5,2.2,17,3,14.8,1.2,20120317,3.0,119,7.2,0.0,2012-03-17,2012,85.4,9.7
77,3.9,8.4,18,3,10.0,2.2,20120318,0.0,119,3.1,0.0,2012-03-18,2012,76.5,6.2
78,1.8,9.4,19,3,7.1,2.2,20120319,0.0,119,-0.5,0.0,2012-03-19,2012,52.9,3.1
79,0.3,11.1,20,3,8.2,3.0,20120320,0.0,119,-1.2,0.0,2012-03-20,2012,42.5,3.2
80,1.3,11.0,21,3,10.0,1.5,20120321,0.0,119,-2.2,0.0,2012-03-21,2012,49.5,4.1
81,9.4,0.8,22,3,11.5,1.3,20120322,0.0,119,2.7,0.0,2012-03-22,2012,71.1,7.0
82,10.0,0.0,23,3,9.4,2.5,20120323,18.0,119,3.0,0.0,2012-03-23,2012,90.3,5.6
83,4.5,9.3,24,3,7.8,4.6,20120324,2.0,119,2.3,0.0,2012-03-24,2012,64.4,4.1
84,1.5,9.9,25,3,7.3,3.4,20120325,0.0,119,0.4,0.0,2012-03-25,2012,52.1,4.0
85,0.0,11.5,26,3,8.2,2.2,20120326,0.0,119,-0.8,0.0,2012-03-26,2012,47.5,3.9
86,5.0,4.4,27,3,12.9,1.7,20120327,0.0,119,-1.4,0.0,2012-03-27,2012,64.9,6.5
87,4.0,7.3,28,3,16.0,1.2,20120328,0.0,119,5.0,0.0,2012-03-28,2012,71.1,9.5
88,7.0,5.4,29,3,17.7,2.1,20120329,0.0,119,2.5,0.0,2012-03-29,2012,70.4,11.7
89,8.9,0.0,30,3,13.3,2.0,20120330,0.5,119,5.8,0.0,2012-03-30,2012,87.5,8.7
90,2.5,9.9,31,3,10.7,2.9,20120331,0.0,119,2.3,0.0,2012-03-31,2012,51.1,6.2
91,0.0,11.0,1,4,9.2,2.2,20120401,0.0,119,0.8,0.0,2012-04-01,2012,36.4,4.7
92,9.1,0.5,2,4,16.8,2.0,20120402,16.5,119,1.8,0.0,2012-04-02,2012,64.6,9.5
93,6.4,3.4,3,4,11.3,4.1,20120403,45.5,119,2.4,0.0,2012-04-03,2012,72.5,5.8
94,0.3,10.5,4,4,14.8,2.7,20120404,0.0,119,0.8,0.0,2012-04-04,2012,73.3,6.7
