,wind,year,month,humid,tmax,sunshine,tmin,station_id,rainfall,snow,day,cloud,date,tavg,Date
0,1.9,2013,1,81.1,2.0,3.6,-8.9,119,5.1,6.5,1,7.3,20130101,-3.4,2013-01-01
1,2.8,2013,1,54.6,-3.4,9.1,-13.8,119,0.0,0.0,2,0.6,20130102,-10.4,2013-01-02
2,2.1,2013,1,51.4,-7.6,9.1,-16.1,119,0.0,0.0,3,0.0,20130103,-12.3,2013-01-03
3,0.8,2013,1,66.0,-3.7,9.1,-18.1,119,0.0,0.0,4,0.0,20130104,-11.8,2013-01-04
4,0.8,2013,1,78.1,0.9,8.4,-15.8,119,0.0,0.0,5,2.4,20130105,-7.6,2013-01-05
5,0.9,2013,1,72.4,-0.1,8.0,-11.3,119,0.0,0.0,6,1.3,20130106,-6.6,2013-01-06
6,0.7,2013,1,74.5,1.1,5.2,-11.8,119,0.0,0.0,7,5.4,20130107,-6.0,2013-01-07
7,1.1,2013,1,67.1,0.7,7.9,-9.6,119,0.0,0.0,8,2.0,20130108,-4.9,2013-01-08
8,1.7,2013,1,49.9,-5.2,9.3,-10.1,119,0.0,0.0,9,0.0,20130109,-7.8,2013-01-09
9,1.0,2013,1,56.1,-2.0,9.1,-14.5,119,0.0,0.0,10,0.0,20130110,-8.4,2013-01-10
10,1.2,2013,1,65.5,1.9,7.4,-11.0,119,0.0,0.0,11,5.6,20130111,-3.8,2013-01-11
11,1.0,2013,1,81.1,5.5,0.4,-4.7,119,0.5,0.7,12,6.0,20130112,-0.5,2013-01-12
12,0.4,2013,1,82.4,5.1,0.1,-5.9,119,0.0,0.0,13,6.1,20130113,-1.4,2013-01-13
13,1.2,2013,1,77.1,3.3,4.6,-8.2,119,0.0,0.0,14,1.0,20130114,-3.0,2013-01-14
14,0.7,2013,1,74.6,2.4,4.3,-8.8,119,0.0,0.0,15,4.0,20130115,-3.1,2013-01-15
15,1.2,2013,1,80.5,1.0,0.5,-5.6,119,0.3,0.3,16,8.5,20130116,-2.1,2013-01-16
16,1.5,2013,1,73.1,-1.4,7.2,-8.3,119,0.0,0.0,17,0.9,20130117,-5.4,2013-01-17
17,1.1,2013,1,69.4,1.0,9.3,-12.1,119,0.0,0.0,18,2.4,20130118,-4.9,2013-01-18
18,0.7,2013,1,74.6,5.5,5.8,-4.8,119,0.0,0.0,19,3.3,20130119,-0.4,2013-01-19
19,1.6,2013,1,72.9,4.8,0.3,-4.5,119,0.0,0.0,20,7.8,20130120,1.3,2013-01-20
20,2.3,2013,1,93.5,4.5,0.0,2.0,119,16.5,0.0,21,10.0,20130121,3.1,2013-01-21
21,0.5,2013,1,92.5,5.6,0.3,1.9,119,0.1,0.0,22,9.5,20130122,3.6,2013-01-22
22,1.7,2013,1,90.5,3.5,0.1,0.8,119,0.5,0.0,23,9.1,20130123,2.2,2013-01-23
23,2.6,2013,1,72.0,3.5,1.5,-5.2,119,0.1,0.0,24,6.0,20130124,-0.5,2013-01-24
24,3.1,2013,1,52.9,-4.8,9.5,-9.3,119,0.0,0.0,25,0.0,20130125,-7.8,2013-01-25
25,2.5,2013,1,48.0,-5.1,9.5,-11.0,119,0.0,0.0,26,0.0,20130126,-8.2,2013-01-26
26,1.6,2013,1,61.0,-2.3,9.2,-11.8,119,0.0,0.0,27,0.3,20130127,-6.7,2013-01-27
