,cloud,date,rainfall,snow,tmin,day,tavg,tmax,humid,Date,sunshine,station_id,wind,year,month
0,1.1,20140101,0.0,0.0,-2.7,1,3.4,9.3,71.3,2014-01-01,5.9,119,2.4,2014,1
1,0.8,20140102,0.0,0.0,-2.5,2,1.8,7.3,49.4,2014-01-02,8.7,119,1.2,2014,1
2,5.3,20140103,0.0,0.0,-2.8,3,2.6,9.0,64.5,2014-01-03,2.4,119,1.1,2014,1
3,0.0,20140104,0.0,0.0,-3.5,4,0.0,5.7,60.1,2014-01-04,7.9,119,1.4,2014,1
4,1.9,20140105,0.0,0.0,-5.8,5,-0.8,4.9,63.0,2014-01-05,7.9,119,1.1,2014,1
5,1.3,20140106,0.0,0.0,-5.3,6,-0.1,6.6,65.4,2014-01-06,7.8,119,0.8,2014,1
6,8.8,20140107,0.0,0.0,-2.7,7,1.8,5.2,65.0,2014-01-07,0.0,119,0.6,2014,1
7,7.3,20140108,0.0,0.0,-4.6,8,1.2,5.0,56.5,2014-01-08,3.9,119,2.7,2014,1
8,0.0,20140109,0.0,0.0,-9.1,9,-6.2,-2.9,30.1,2014-01-09,9.4,119,2.7,2014,1
9,4.1,20140110,0.0,0.0,-9.8,10,-4.7,-0.5,63.1,2014-01-10,4.1,119,1.0,2014,1
10,4.9,20140111,0.0,0.0,-7.4,11,-2.2,2.2,61.0,2014-01-11,4.1,119,0.8,2014,1
11,2.4,20140112,0.0,0.0,-7.0,12,-2.5,3.5,51.5,2014-01-12,5.4,119,2.2,2014,1
12,0.0,20140113,0.0,0.0,-9.1,13,-5.2,-0.2,31.6,2014-01-13,9.4,119,2.0,2014,1
13,0.0,20140114,0.0,0.0,-9.9,14,-4.1,2.4,49.5,2014-01-14,9.0,119,1.2,2014,1
14,0.3,20140115,0.0,0.0,-9.2,15,-3.5,3.3,62.5,2014-01-15,8.7,119,1.0,2014,1
15,5.8,20140116,0.0,0.0,-6.2,16,-0.8,4.0,74.0,2014-01-16,0.9,119,0.8,2014,1
16,3.6,20140117,0.0,0.0,-5.5,17,-0.4,5.5,71.1,2014-01-17,5.7,119,0.9,2014,1
17,1.3,20140118,0.0,0.0,-4.2,18,-0.9,2.9,47.0,2014-01-18,8.4,119,2.6,2014,1
18,4.3,20140119,0.0,0.0,-8.8,19,-2.7,2.1,57.4,2014-01-19,6.4,119,1.3,2014,1
19,8.9,20140120,4.3,3.0,-3.1,20,-0.8,2.9,85.9,2014-01-20,0.0,119,2.0,2014,1
20,5.4,20140121,0.0,0.0,-8.4,21,-4.9,-1.9,72.3,2014-01-21,1.5,119,1.9,2014,1
21,0.4,20140122,0.0,0.0,-10.8,22,-4.0,2.6,70.8,2014-01-22,9.4,119,1.0,2014,1
22,2.1,20140123,0.0,0.0,-6.7,23,-1.1,5.1,75.5,2014-01-23,7.5,119,0.9,2014,1
23,8.4,20140124,0.0,0.0,-2.4,24,3.7,7.7,70.6,2014-01-24,0.1,119,1.2,2014,1
24,7.4,20140125,1.9,0.0,-0.1,25,4.6,6.7,82.9,2014-01-25,0.0,119,1.1,2014,1
25,0.0,20140126,0.0,0.0,-4.8,26,-1.9,3.2,52.8,2014-01-26,9.7,119,2.1,2014,1
26,1.8,20140127,0.0,0.0,-7.5,27,-0.3,7.2,58.4,2014-01-27,9.3,119,1.2,2014,1
27,3.6,20140128,0.4,0.0,-4.2,28,1.1,5.5,62.3,2014-01-28,7.4,119,1.7,2014,1
28,3.9,20140129,0.0,0.0,-7.4,29,1.8,8.6,47.5,2014-01-29,6.9,119,0.9,2014,1
29,6.3,20140130,3.3,0.0,-2.1,30,3.3,6.5,71.6,2014-01-30,0.7,119,1.4,2014,1
30,1.6,20140131,0.0,0.0,-5.0,31,1.8,8.4,41.1,2014-01-31,9.2,119,1.1,2014,1
31,9.8,20140201,10.5,0.0,4.4,1,5.6,7.1,73.5,2014-02-01,0.0,119,1.7,2014,2
32,8.9,20140202,1.3,0.0,3.6,2,5.8,7.3,97.0,2014-02-02,0.0,119,1.4,2014,2
33,3.0,20140203,0.0,0.0,-7.3,3,-2.4,3.6,43.6,2014-02-03,5.4,119,3.7,2014,2
34,1.0,20140204,0.0,0.0,-9.6,4,-6.4,-2.7,31.8,2014-02-04,9.7,119,3.2,2014,2
35,5.0,20140205,0.0,0.0,-7.9,5,-4.2,0.7,36.8,2014-02-05,6.0,119,1.5,2014,2
36,4.8,20140206,0.0,0.0,-5.4,6,-0.9,5.5,38.8,2014-02-06,7.2,119,0.8,2014,2
37,8.1,20140207,0.0,0.0,-3.5,7,3.3,8.3,50.5,2014-02-07,4.7,119,3.2,2014,2
38,9.6,20140208,4.4,2.3,-0.7,8,1.5,3.6,81.9,2014-02-08,0.0,119,2.8,2014,2
39,7.8,20140209,0.0,0.0,-2.9,9,-0.8,1.8,78.6,2014-02-09,1.8,119,2.2,2014,2
40,5.6,20140210,0.3,0.2,-1.9,10,0.4,4.6,63.4,2014-02-10,5.8,119,1.7,2014,2
41,1.3,20140211,0.0,0.0,-3.3,11,0.7,5.1,48.3,2014-02-11,10.1,119,2.4,2014,2
42,5.3,20140212,0.0,0.0,-0.5,12,2.3,6.9,52.9,2014-02-12,7.1,119,2.2,2014,2
43,5.4,20140213,0.0,0.0,-1.9,13,2.2,6.8,57.3,2014-02-13,5.5,119,1.1,2014,2
44,4.0,20140214,0.0,0.0,-1.3,14,2.6,8.0,54.5,2014-02-14,8.0,119,2.0,2014,2
45,0.3,20140215,0.0,0.0,-3.5,15,2.5,9.2,63.6,2014-02-15,10.0,119,1.5,2014,2
46,5.0,20140216,0.0,0.0,-2.9,16,2.9,10.1,65.9,2014-02-16,6.4,119,1.1,2014,2
47,7.4,20140217,0.0,0.0,-0.1,17,5.0,10.8,51.4,2014-02-17,4.1,119,1.4,2014,2
48,5.5,20140218,0.0,0.0,0.6,18,3.1,6.2,49.8,2014-02-18,2.5,119,2.5,2014,2
49,3.4,20140219,0.0,0.0,-1.2,19,2.2,6.8,54.4,2014-02-19,8.4,119,2.2,2014,2
50,1.9,20140220,0.0,0.0,-2.9,20,0.4,4.9,72.3,2014-02-20,6.4,119,1.7,2014,2
51,0.0,20140221,0.0,0.0,-5.4,21,0.8,7.6,58.1,2014-02-21,10.2,119,1.6,2014,2
52,0.4,20140222,0.0,0.0,-3.4,22,1.5,7.8,69.6,2014-02-22,8.5,119,1.4,2014,2
53,0.0,20140223,0.0,0.0,-3.1,23,2.4,9.4,69.3,2014-02-23,7.1,119,1.1,2014,2
54,0.0,20140224,0.0,0.0,-2.1,24,3.8,10.8,70.6,2014-02-24,6.6,119,1.4,2014,2
55,2.5,20140225,0.0,0.0,-3.1,25,4.0,13.1,75.0,2014-02-25,7.7,119,1.1,2014,2
56,2.0,20140226,0.0,0.0,-1.0,26,7.1,16.0,62.6,2014-02-26,6.8,119,1.1,2014,2
57,5.3,20140227,0.0,0.0,1.3,27,6.7,13.8,69.8,2014-02-27,5.4,119,1.6,2014,2
58,6.9,20140228,0.0,0.0,0.0,28,6.2,13.3,67.9,2014-02-28,5.2,119,1.4,2014,2
59,7.9,20140301,0.0,0.0,1.6,1,5.7,10.4,68.6,2014-03-01,2.0,119,1.7,2014,3
60,1.1,20140302,0.0,0.0,-0.6,2,4.7,11.4,57.6,2014-03-02,10.5,119,2.4,2014,3
61,0.0,20140303,0.0,0.0,-2.2,3,4.4,12.1,47.0,2014-03-03,10.4,119,1.3,2014,3
62,5.3,20140304,0.0,0.0,-1.0,4,5.4,12.2,55.5,2014-03-04,7.1,119,1.7,2014,3
63,0.8,20140305,0.0,0.0,-0.7,5,2.3,6.3,38.4,2014-03-05,10.9,119,3.9,2014,3
64,1.4,20140306,0.0,0.0,-2.9,6,1.3,6.0,39.7,2014-03-06,10.5,119,3.0,2014,3
65,1.6,20140307,0.0,0.0,-3.8,7,0.0,5.6,40.3,2014-03-07,10.6,119,2.8,2014,3
66,5.1,20140308,0.0,0.0,-3.5,8,1.5,7.5,56.0,2014-03-08,7.7,119,1.8,2014,3
67,3.5,20140309,5.6,5.0,-0.8,9,1.8,6.3,58.4,2014-03-09,9.7,119,2.9,2014,3
68,0.0,20140310,0.0,0.0,-4.2,10,1.5,7.1,52.1,2014-03-10,11.2,119,2.0,2014,3
69,1.4,20140311,0.0,0.0,-2.2,11,4.4,12.6,56.4,2014-03-11,8.6,119,1.7,2014,3
70,8.6,20140312,3.0,0.0,0.8,12,5.9,8.6,82.5,2014-03-12,1.4,119,0.9,2014,3
71,8.3,20140313,0.0,0.0,2.3,13,5.6,8.0,56.3,2014-03-13,0.0,119,2.8,2014,3
72,1.6,20140314,0.0,0.0,-0.8,14,3.5,9.5,57.3,2014-03-14,10.6,119,2.2,2014,3
73,0.6,20140315,0.0,0.0,-1.3,15,6.4,14.7,69.9,2014-03-15,8.7,119,2.4,2014,3
74,1.6,20140316,0.0,0.0,3.1,16,10.1,17.3,73.1,2014-03-16,7.3,119,1.5,2014,3
75,6.6,20140317,0.0,0.0,4.2,17,12.7,21.0,76.9,2014-03-17,4.4,119,2.1,2014,3
76,6.8,20140318,0.0,0.0,6.1,18,9.6,15.0,76.1,2014-03-18,6.1,119,2.7,2014,3
77,8.8,20140319,0.0,0.0,5.7,19,8.9,11.5,66.0,2014-03-19,0.0,119,2.2,2014,3
78,7.8,20140320,0.6,0.0,2.8,20,6.9,12.1,68.5,2014-03-20,4.4,119,2.9,2014,3
79,0.4,20140321,0.0,0.0,1.3,21,5.8,12.1,55.9,2014-03-21,11.5,119,2.7,2014,3
80,0.0,20140322,0.0,0.0,0.4,22,8.2,16.8,60.6,2014-03-22,10.8,119,1.7,2014,3
81,0.0,20140323,0.0,0.0,2.6,23,9.3,17.8,63.5,2014-03-23,10.2,119,1.7,2014,3
82,4.9,20140324,0.0,0.0,2.4,24,10.7,16.9,59.8,2014-03-24,8.5,119,1.7,2014,3
83,10.0,20140325,0.3,0.0,12.2,25,14.4,18.6,73.3,2014-03-25,0.4,119,1.3,2014,3
84,5.6,20140326,1.4,0.0,7.1,26,14.0,21.3,76.3,2014-03-26,6.3,119,1.7,2014,3
85,1.6,20140327,0.0,0.0,4.3,27,11.4,20.3,71.6,2014-03-27,9.1,119,1.4,2014,3
86,6.6,20140328,0.0,0.0,10.5,28,16.4,24.7,55.4,2014-03-28,7.9,119,1.8,2014,3
87,9.3,20140329,0.0,0.0,12.3,29,14.7,17.8,71.6,2014-03-29,0.0,119,2.2,2014,3
88,2.6,20140330,0.0,0.0,9.0,30,14.2,20.8,62.6,2014-03-30,10.8,119,2.3,2014,3
89,3.3,20140331,0.0,0.0,5.1,31,12.7,20.7,54.9,2014-03-31,8.6,119,1.6,2014,3
90,1.9,20140401,0.0,0.0,5.4,1,14.0,23.8,41.3,2014-04-01,10.2,119,1.5,2014,4
91,3.9,20140402,0.0,0.0,6.3,2,14.9,23.2,32.1,2014-04-02,10.0,119,1.6,2014,4
92,7.5,20140403,1.0,0.0,4.6,3,9.3,14.8,66.3,2014-04-03,0.0,119,1.8,2014,4
93,2.6,20140404,0.0,0.0,2.7,4,6.8,11.2,50.9,2014-04-04,11.4,119,2.8,2014,4
94,2.4,20140405,0.2,0.0,1.4,5,6.2,11.5,60.4,2014-04-05,9.8,119,2.4,2014,4
95,0.4,20140406,0.0,0.0,3.3,6,7.8,12.9,45.1,2014-04-06,11.9,119,3.1,2014,4
96,3.4,20140407,0.0,0.0,3.9,7,9.6,16.9,62.5,2014-04-07,9.1,119,2.1,2014,4
97,1.3,20140408,0.0,0.0,2.5,8,10.8,20.3,63.9,2014-04-08,11.7,119,1.6,2014,4
98,6.0,20140409,0.0,0.0,5.9,9,9.1,15.0,88.4,2014-04-09,5.0,119,1.6,2014,4
99,5.9,20140410,0.0,0.0,7.5,10,11.6,19.3,72.3,2014-04-10,6.8,119,1.5,2014,4
100,6.4,20140411,0.0,0.0,7.3,11,12.5,17.6,73.4,2014-04-11,0.0,119,1.5,2014,4
101,9.1,20140412,0.2,0.0,9.5,12,13.3,16.2,77.6,2014-04-12,0.0,119,0.8,2014,4
102,5.6,20140413,0.1,0.0,11.4,13,15.9,23.4,63.3,2014-04-13,6.2,119,1.4,2014,4
103,0.0,20140414,0.0,0.0,9.3,14,14.9,22.1,58.9,2014-04-14,10.7,119,2.0,2014,4
104,4.1,20140415,0.0,0.0,7.2,15,12.8,18.8,78.6,2014-04-15,5.7,119,1.6,2014,4
105,6.6,20140416,0.0,0.0,9.3,16,13.7,21.4,80.5,2014-04-16,4.3,119,1.4,2014,4
106,6.6,20140417,4.9,0.0,6.6,17,14.3,21.9,67.3,2014-04-17,4.7,119,1.2,2014,4
107,4.3,20140418,0.0,0.0,10.4,18,15.3,23.5,62.8,2014-04-18,8.1,119,1.7,2014,4
108,7.3,20140419,0.0,0.0,10.4,19,14.5,19.2,57.6,2014-04-19,2.3,119,3.4,2014,4
109,3.3,20140420,0.0,0.0,9.7,20,14.0,21.5,50.0,2014-04-20,11.2,119,3.0,2014,4
110,3.9,20140421,0.0,0.0,9.3,21,14.5,21.5,58.9,2014-04-21,9.9,119,2.0,2014,4
111,2.1,20140422,0.0,0.0,6.7,22,14.9,23.4,49.4,2014-04-22,10.2,119,1.9,2014,4
112,0.0,20140423,0.0,0.0,7.6,23,15.7,25.0,58.0,2014-04-23,11.8,119,1.6,2014,4
113,1.3,20140424,0.0,0.0,9.9,24,17.4,25.9,57.5,2014-04-24,10.3,119,1.3,2014,4
114,0.0,20140425,0.0,0.0,9.7,25,17.7,26.3,46.4,2014-04-25,11.3,119,1.4,2014,4
115,8.3,20140426,0.0,0.0,10.5,26,17.7,25.2,46.5,2014-04-26,3.1,119,1.4,2014,4
116,10.0,20140427,11.1,0.0,13.6,27,15.3,18.1,88.1,2014-04-27,0.0,119,1.8,2014,4
117,9.9,20140428,27.3,0.0,12.5,28,13.4,15.0,90.6,2014-04-28,0.0,119,3.3,2014,4
118,8.7,20140429,10.9,0.0,11.6,29,15.7,20.0,65.6,2014-04-29,3.0,119,3.2,2014,4
119,5.4,20140430,0.0,0.0,12.0,30,16.1,21.6,59.6,2014-04-30,6.3,119,1.8,2014,4
120,0.0,20140501,0.0,0.0,8.7,1,15.2,21.9,65.6,2014-05-01,12.2,119,1.8,2014,5
