,Date,station_id,month,rainfall,tmax,date,year,cloud,sunshine,tavg,humid,snow,tmin,day,wind
0,2016-01-01,119,1,0.0,5.7,20160101,2016,5.4,1.6,1.6,80.1,0.0,-4.2,1,0.8
1,2016-01-02,119,1,0.0,10.3,20160102,2016,6.4,1.9,5.8,83.1,0.0,1.2,2,1.0
2,2016-01-03,119,1,0.0,10.7,20160103,2016,7.5,1.1,6.0,92.1,0.0,2.7,3,0.6
3,2016-01-04,119,1,0.0,7.5,20160104,2016,4.5,8.2,3.7,54.4,0.0,-1.0,4,2.3
4,2016-01-05,119,1,0.0,2.6,20160105,2016,3.3,6.4,-1.1,39.6,0.0,-3.4,5,2.2
5,2016-01-06,119,1,0.0,3.7,20160106,2016,5.5,1.8,-0.7,57.9,0.0,-4.6,6,1.4
6,2016-01-07,119,1,0.0,3.0,20160107,2016,1.4,9.1,-1.8,52.6,0.0,-5.6,7,1.8
7,2016-01-08,119,1,0.0,3.1,20160108,2016,2.0,9.3,-1.5,54.0,0.0,-7.3,8,1.4
8,2016-01-09,119,1,0.0,4.0,20160109,2016,4.4,6.7,0.2,56.6,0.0,-3.6,9,1.7
9,2016-01-10,119,1,0.0,6.7,20160110,2016,3.1,6.8,1.5,45.0,0.0,-1.8,10,1.7
10,2016-01-11,119,1,0.0,2.8,20160111,2016,1.5,9.3,-2.0,36.6,0.0,-5.0,11,1.8
11,2016-01-12,119,1,0.0,1.7,20160112,2016,1.6,9.0,-3.8,50.6,0.0,-8.0,12,1.8
12,2016-01-13,119,1,2.7,1.8,20160113,2016,5.3,4.9,-2.9,66.8,3.7,-7.3,13,1.5
13,2016-01-14,119,1,0.8,1.1,20160114,2016,3.5,7.2,-3.5,65.4,2.3,-10.2,14,0.9
14,2016-01-15,119,1,0.2,5.0,20160115,2016,2.5,7.5,-0.3,73.4,0.3,-4.2,15,0.8
15,2016-01-16,119,1,0.2,4.9,20160116,2016,7.4,1.2,1.7,69.5,0.1,-2.3,16,1.5
16,2016-01-17,119,1,0.0,6.5,20160117,2016,6.5,0.0,2.5,68.4,0.0,-1.5,17,1.3
17,2016-01-18,119,1,0.0,1.8,20160118,2016,5.1,6.0,-4.7,60.6,0.0,-10.2,18,4.2
18,2016-01-19,119,1,0.0,-6.8,20160119,2016,0.4,9.3,-10.5,49.6,0.0,-12.9,19,4.2
19,2016-01-20,119,1,0.0,-5.0,20160120,2016,2.6,7.5,-9.0,49.5,0.0,-12.6,20,1.4
20,2016-01-21,119,1,0.0,-1.4,20160121,2016,4.3,6.5,-5.8,53.4,0.0,-9.8,21,1.5
21,2016-01-22,119,1,0.0,-1.5,20160122,2016,5.1,7.7,-5.8,38.4,0.0,-10.6,22,2.0
22,2016-01-23,119,1,0.0,-6.1,20160123,2016,4.1,8.3,-9.5,37.4,0.0,-14.3,23,4.1
23,2016-01-24,119,1,0.0,-8.5,20160124,2016,0.0,9.3,-12.6,48.6,0.0,-16.2,24,2.8
24,2016-01-25,119,1,0.0,-2.4,20160125,2016,1.0,9.5,-8.2,55.6,0.0,-14.4,25,1.4
25,2016-01-26,119,1,0.7,3.3,20160126,2016,5.5,3.8,-2.8,75.5,1.0,-6.5,26,1.2
26,2016-01-27,119,1,0.0,4.8,20160127,2016,2.6,8.5,-0.7,68.8,0.0,-5.5,27,1.2
27,2016-01-28,119,1,0.0,5.2,20160128,2016,6.9,1.7,0.2,59.3,0.0,-6.8,28,0.8
28,2016-01-29,119,1,0.0,6.5,20160129,2016,7.0,0.0,2.0,52.6,0.0,-1.6,29,1.1
29,2016-01-30,119,1,0.0,7.5,20160130,2016,3.3,5.9,0.6,71.4,0.0,-4.1,30,1.2
30,2016-01-31,119,1,0.0,0.7,20160131,2016,4.0,7.8,-2.6,48.4,0.0,-4.9,31,2.2
31,2016-02-01,119,2,0.0,-0.4,20160201,2016,0.9,9.0,-4.9,40.4,0.0,-8.0,1,2.1
32,2016-02-02,119,2,0.0,2.3,20160202,2016,0.0,9.8,-4.7,47.8,0.0,-10.5,2,1.3
33,2016-02-03,119,2,0.0,5.4,20160203,2016,2.3,8.1,-2.7,61.9,0.0,-9.1,3,0.9
34,2016-02-04,119,2,0.0,6.2,20160204,2016,3.8,8.9,0.0,60.6,0.0,-4.6,4,2.0
35,2016-02-05,119,2,0.0,4.2,20160205,2016,2.8,8.5,-1.7,45.8,0.0,-7.4,5,1.7
36,2016-02-06,119,2,0.3,2.8,20160206,2016,0.0,9.9,-2.3,44.6,0.5,-7.7,6,2.0
37,2016-02-07,119,2,0.0,3.9,20160207,2016,1.1,9.8,-2.9,56.5,0.0,-9.5,7,1.2
38,2016-02-08,119,2,0.0,7.3,20160208,2016,6.1,3.9,2.0,63.3,0.0,-5.0,8,2.7
