,tmax,year,tmin,humid,cloud,sunshine,date,day,rainfall,station_id,Date,wind,month,tavg,snow
0,4.7,2018,-6.9,56.5,0.9,8.3,20180101,1,0.0,119,2018-01-01,1.0,1,-1.7,0.0
1,3.3,2018,-5.7,53.9,4.1,6.0,20180102,2,0.0,119,2018-01-02,1.6,1,-1.7,0.0
2,1.6,2018,-6.9,44.4,2.3,9.0,20180103,3,0.0,119,2018-01-03,2.2,1,-3.5,0.0
3,-0.3,2018,-7.8,48.6,6.0,5.5,20180104,4,0.0,119,2018-01-04,1.2,1,-3.9,0.0
4,2.5,2018,-6.4,66.8,2.5,7.1,20180105,5,0.0,119,2018-01-05,1.5,1,-3.1,0.0
5,3.9,2018,-8.4,61.3,0.0,9.3,20180106,6,0.0,119,2018-01-06,1.3,1,-2.7,0.0
6,3.1,2018,-7.6,57.0,7.1,2.8,20180107,7,0.0,119,2018-01-07,0.8,1,-0.9,0.0
7,4.0,2018,-1.1,63.6,9.8,0.4,20180108,8,2.0,119,2018-01-08,1.9,1,1.4,0.8
8,0.4,2018,-5.4,65.9,5.3,7.3,20180109,9,1.1,119,2018-01-09,2.8,1,-3.0,0.7
9,-2.5,2018,-10.2,55.4,1.4,9.1,20180110,10,0.5,119,2018-01-10,3.0,1,-6.5,0.5
10,-5.8,2018,-13.2,52.9,0.6,9.0,20180111,11,0.0,119,2018-01-11,2.8,1,-10.1,0.0
11,-4.7,2018,-14.3,44.8,2.5,9.2,20180112,12,0.0,119,2018-01-12,1.5,1,-9.2,0.0
12,-0.6,2018,-7.4,86.0,7.1,0.6,20180113,13,0.7,119,2018-01-13,1.4,1,-4.1,2.8
13,5.2,2018,-5.7,73.5,5.1,7.0,20180114,14,0.0,119,2018-01-14,1.6,1,0.4,0.0
14,8.9,2018,-1.3,77.4,5.3,7.6,20180115,15,0.4,119,2018-01-15,1.1,1,3.3,0.0
15,6.9,2018,-2.5,73.3,9.5,0.1,20180116,16,0.0,119,2018-01-16,0.7,1,3.0,0.0
16,8.1,2018,0.6,83.9,8.3,2.1,20180117,17,0.6,119,2018-01-17,0.9,1,3.4,0.0
17,6.8,2018,-0.6,62.8,7.6,1.7,20180118,18,0.0,119,2018-01-18,1.7,1,2.3,0.0
18,7.1,2018,-2.9,45.9,3.4,8.9,20180119,19,0.0,119,2018-01-19,1.4,1,0.9,0.0
19,7.2,2018,-3.6,70.6,4.9,3.7,20180120,20,0.0,119,2018-01-20,1.2,1,0.7,0.0
20,6.1,2018,-5.7,55.0,2.1,7.9,20180121,21,0.0,119,2018-01-21,0.9,1,-0.3,0.0
21,6.2,2018,-4.1,64.8,8.3,1.2,20180122,22,2.1,119,2018-01-22,1.8,1,0.7,0.0
22,-4.1,2018,-13.7,41.0,0.1,9.2,20180123,23,0.0,119,2018-01-23,3.9,1,-10.0,0.0
23,-8.4,2018,-14.8,32.1,0.0,9.6,20180124,24,0.0,119,2018-01-24,3.8,1,-12.7,0.0
24,-7.9,2018,-15.2,34.4,3.0,8.5,20180125,25,0.0,119,2018-01-25,3.0,1,-12.6,0.0
25,-9.0,2018,-16.8,36.6,0.0,9.7,20180126,26,0.0,119,2018-01-26,2.7,1,-13.5,0.0
26,-1.8,2018,-16.0,43.8,1.6,9.5,20180127,27,0.0,119,2018-01-27,1.4,1,-9.0,0.0
27,0.3,2018,-8.0,36.5,3.5,8.0,20180128,28,0.0,119,2018-01-28,2.3,1,-4.9,0.0
28,-3.4,2018,-10.6,39.4,0.5,9.2,20180129,29,0.0,119,2018-01-29,2.6,1,-7.5,0.0
29,0.0,2018,-13.0,68.4,4.5,5.1,20180130,30,0.5,119,2018-01-30,1.2,1,-5.4,1.0
30,1.4,2018,-6.1,60.1,7.1,1.5,20180131,31,0.0,119,2018-01-31,1.3,1,-2.3,0.0
31,3.6,2018,-9.3,48.6,0.0,9.9,20180201,1,0.0,119,2018-02-01,1.4,2,-3.4,0.0
32,4.4,2018,-9.5,61.3,1.9,8.8,20180202,2,0.0,119,2018-02-02,1.3,2,-3.1,0.0
33,-2.8,2018,-10.0,52.3,1.5,9.8,20180203,3,0.4,119,2018-02-03,3.4,2,-6.4,0.7
34,-4.6,2018,-11.8,42.8,0.0,9.9,20180204,4,0.0,119,2018-02-04,2.7,2,-8.5,0.0
35,-4.0,2018,-11.7,39.9,0.0,10.1,20180205,5,0.0,119,2018-02-05,2.9,2,-8.4,0.0
36,-4.8,2018,-12.9,39.3,0.8,9.4,20180206,6,0.0,119,2018-02-06,2.9,2,-9.2,0.0
37,-1.2,2018,-14.6,49.6,1.0,9.9,20180207,7,0.0,119,2018-02-07,1.4,2,-7.9,0.0
38,3.4,2018,-11.2,56.0,0.1,9.6,20180208,8,0.0,119,2018-02-08,0.8,2,-4.6,0.0
39,6.2,2018,-6.9,49.4,6.9,1.7,20180209,9,0.0,119,2018-02-09,1.1,2,0.5,0.0
40,5.9,2018,-6.5,50.9,6.5,5.9,20180210,10,0.0,119,2018-02-10,2.7,2,-0.3,0.0
41,-0.4,2018,-8.3,56.1,3.8,6.6,20180211,11,1.9,119,2018-02-11,2.3,2,-5.5,2.5
42,-1.6,2018,-12.9,65.5,3.1,8.3,20180212,12,1.0,119,2018-02-12,2.0,2,-6.3,2.3
43,5.3,2018,-11.3,74.6,1.5,9.6,20180213,13,0.0,119,2018-02-13,1.8,2,-2.6,0.0
44,9.1,2018,-4.0,61.6,6.3,3.2,20180214,14,0.0,119,2018-02-14,2.3,2,2.6,0.0
45,5.9,2018,-4.0,37.4,3.8,9.8,20180215,15,0.0,119,2018-02-15,2.3,2,-0.1,0.0
46,6.0,2018,-7.2,53.0,3.5,9.5,20180216,16,0.0,119,2018-02-16,1.6,2,-1.0,0.0
47,2.4,2018,-6.2,35.1,1.8,9.4,20180217,17,0.0,119,2018-02-17,2.6,2,-2.4,0.0
48,5.8,2018,-5.2,35.3,6.4,5.0,20180218,18,0.0,119,2018-02-18,1.1,2,-0.6,0.0
49,7.4,2018,-4.2,62.8,5.8,4.4,20180219,19,0.0,119,2018-02-19,1.1,2,0.7,0.0
50,7.5,2018,-4.2,56.5,5.8,5.7,20180220,20,0.1,119,2018-02-20,1.7,2,0.7,0.0
51,5.4,2018,-4.4,36.0,2.5,10.2,20180221,21,0.0,119,2018-02-21,2.4,2,-0.6,0.0
52,5.9,2018,-5.3,61.5,4.9,4.7,20180222,22,0.0,119,2018-02-22,2.0,2,0.7,0.0
53,10.3,2018,-0.7,82.4,7.9,2.8,20180223,23,2.8,119,2018-02-23,2.3,2,4.9,1.7
54,8.3,2018,-1.9,62.1,6.3,7.8,20180224,24,0.0,119,2018-02-24,2.0,2,2.6,0.0
55,8.8,2018,-2.5,48.8,2.6,8.9,20180225,25,0.0,119,2018-02-25,1.5,2,1.6,0.0
56,11.1,2018,-4.2,59.1,0.8,10.4,20180226,26,0.0,119,2018-02-26,1.2,2,1.9,0.0
57,7.7,2018,-2.7,59.4,7.5,0.0,20180227,27,0.0,119,2018-02-27,0.8,2,3.4,0.0
58,8.8,2018,2.4,76.8,10.0,0.0,20180228,28,22.9,119,2018-02-28,3.1,2,5.2,0.0
59,3.8,2018,-3.7,68.3,5.5,8.6,20180301,1,2.9,119,2018-03-01,4.3,3,0.2,0.0
60,6.3,2018,-6.2,38.3,2.3,10.7,20180302,2,0.0,119,2018-03-02,1.5,3,-0.1,0.0
61,16.8,2018,-1.0,42.9,4.3,10.5,20180303,3,0.0,119,2018-03-03,1.7,3,8.3,0.0
62,13.9,2018,7.6,90.0,9.9,0.1,20180304,4,13.1,119,2018-03-04,1.4,3,10.6,0.0
63,11.3,2018,2.1,68.3,5.8,7.2,20180305,5,7.2,119,2018-03-05,3.7,3,6.0,0.0
64,11.9,2018,-2.0,61.8,2.4,10.9,20180306,6,0.0,119,2018-03-06,1.3,3,4.0,0.0
65,12.2,2018,0.1,60.1,8.0,4.2,20180307,7,2.5,119,2018-03-07,3.0,3,6.5,0.0
66,9.3,2018,1.4,85.0,7.3,3.1,20180308,8,6.9,119,2018-03-08,2.3,3,4.3,0.0
67,10.0,2018,1.0,74.1,5.9,6.8,20180309,9,0.0,119,2018-03-09,1.4,3,4.3,0.0
68,10.8,2018,-1.5,75.1,2.5,8.4,20180310,10,0.0,119,2018-03-10,1.7,3,3.9,0.0
69,13.4,2018,1.3,66.3,2.1,10.1,20180311,11,0.0,119,2018-03-11,1.4,3,6.2,0.0
