,day,year,Date,date,sunshine,wind,snow,tmin,rainfall,tmax,station_id,tavg,cloud,humid,month
0,1,2020,2020-01-01,20200101,0.0,1.2,0.0,-6.3,0.0,0.3,119,-2.2,8.8,79.3,1
1,2,2020,2020-01-02,20200102,0.0,0.7,0.0,-0.3,0.0,3.2,119,1.3,8.3,83.3,1
2,3,2020,2020-01-03,20200103,8.9,1.3,0.0,-3.9,0.0,5.2,119,-0.1,0.6,80.5,1
3,4,2020,2020-01-04,20200104,7.4,1.3,0.0,-4.9,0.0,7.6,119,1.3,2.5,76.1,1
4,5,2020,2020-01-05,20200105,6.6,0.9,0.0,-5.9,0.0,6.3,119,0.1,4.6,72.4,1
5,6,2020,2020-01-06,20200106,0.0,2.1,0.0,-1.8,3.9,4.9,119,3.5,9.9,80.8,1
6,7,2020,2020-01-07,20200107,0.0,2.0,0.0,4.9,50.8,12.2,119,7.7,10.0,100.0,1
7,8,2020,2020-01-08,20200108,0.0,4.1,0.0,0.1,4.4,11.7,119,2.9,9.9,94.9,1
8,9,2020,2020-01-09,20200109,8.3,2.1,0.0,-3.1,0.0,3.1,119,-0.3,2.1,81.8,1
9,10,2020,2020-01-10,20200110,8.1,1.0,0.0,-4.6,0.0,4.5,119,-0.7,2.0,85.4,1
10,11,2020,2020-01-11,20200111,7.9,1.4,0.0,-3.8,0.0,4.5,119,-0.2,4.0,84.6,1
11,12,2020,2020-01-12,20200112,8.3,1.9,0.0,-3.9,0.0,2.4,119,-0.5,5.3,77.8,1
12,13,2020,2020-01-13,20200113,8.2,2.1,0.0,-4.6,0.0,0.6,119,-2.0,2.8,73.0,1
13,14,2020,2020-01-14,20200114,8.6,1.2,0.0,-6.1,0.0,3.2,119,-2.0,1.8,71.6,1
14,15,2020,2020-01-15,20200115,9.3,1.6,0.0,-7.0,0.0,2.3,119,-2.5,0.3,72.0,1
15,16,2020,2020-01-16,20200116,7.6,1.5,0.0,-6.9,0.0,4.1,119,-2.0,5.6,73.0,1
16,17,2020,2020-01-17,20200117,7.2,1.0,0.0,-5.6,0.0,4.8,119,-1.1,4.4,74.1,1
17,18,2020,2020-01-18,20200118,8.8,1.1,0.0,-5.3,0.0,5.6,119,-0.5,0.8,72.8,1
18,19,2020,2020-01-19,20200119,4.4,2.0,0.0,-2.1,0.4,5.9,119,1.7,5.6,81.0,1
19,20,2020,2020-01-20,20200120,7.4,2.5,0.0,-2.8,0.0,5.7,119,1.2,3.8,68.5,1
20,21,2020,2020-01-21,20200121,9.3,1.0,0.0,-5.9,0.0,5.4,119,-0.7,3.3,61.4,1
21,22,2020,2020-01-22,20200122,0.2,1.1,0.0,-1.3,0.0,5.1,119,2.1,9.3,72.4,1
22,23,2020,2020-01-23,20200123,8.4,1.5,0.0,-1.4,0.0,10.7,119,4.1,3.9,71.6,1
23,24,2020,2020-01-24,20200124,8.5,1.4,0.0,-2.2,0.0,9.2,119,2.4,3.1,85.0,1
24,25,2020,2020-01-25,20200125,2.9,0.9,0.0,-2.2,0.0,9.1,119,2.8,7.3,90.8,1
25,26,2020,2020-01-26,20200126,7.4,2.0,0.0,-2.7,0.0,11.9,119,5.3,6.5,74.3,1
26,27,2020,2020-01-27,20200127,0.0,2.8,0.0,3.5,1.4,8.1,119,5.9,9.8,71.5,1
27,28,2020,2020-01-28,20200128,0.9,1.7,0.0,3.9,0.1,11.0,119,7.4,7.9,70.4,1
28,29,2020,2020-01-29,20200129,6.9,1.2,0.0,1.0,0.0,11.4,119,6.2,6.3,68.0,1
29,30,2020,2020-01-30,20200130,6.5,1.5,0.0,0.7,0.0,10.5,119,5.3,6.0,71.6,1
30,31,2020,2020-01-31,20200131,3.8,1.6,0.0,-0.5,0.0,7.5,119,2.9,4.0,89.5,1
31,1,2020,2020-02-01,20200201,4.4,1.6,0.0,-2.2,0.0,7.7,119,1.9,3.4,91.3,2
32,2,2020,2020-02-02,20200202,6.8,1.2,0.0,-3.5,0.0,5.8,119,1.0,5.4,79.8,2
33,3,2020,2020-02-03,20200203,9.6,2.6,0.4,-2.9,0.1,3.0,119,-0.1,2.0,70.8,2
34,4,2020,2020-02-04,20200204,7.6,2.4,0.6,-7.0,1.1,5.1,119,-1.0,3.4,82.0,2
35,5,2020,2020-02-05,20200205,10.2,3.4,6.0,-9.9,0.0,-2.4,119,-7.2,0.0,58.9,2
36,6,2020,2020-02-06,20200206,9.6,1.2,0.0,-11.9,0.0,0.2,119,-6.3,1.4,63.6,2
37,7,2020,2020-02-07,20200207,6.4,1.4,0.0,-7.9,0.0,2.8,119,-1.5,6.8,72.8,2
38,8,2020,2020-02-08,20200208,9.8,2.8,0.0,-2.2,0.0,4.6,119,0.4,2.0,67.6,2
39,9,2020,2020-02-09,20200209,9.8,1.6,0.0,-7.0,0.0,3.9,119,-0.9,2.0,76.1,2
40,10,2020,2020-02-10,20200210,9.5,1.2,0.0,-1.9,0.0,10.5,119,3.2,2.0,72.5,2
41,11,2020,2020-02-11,20200211,9.7,1.1,0.0,-2.9,0.0,14.5,119,5.9,2.8,64.0,2
42,12,2020,2020-02-12,20200212,0.0,1.3,0.0,5.3,10.5,8.4,119,7.3,9.8,90.4,2
43,13,2020,2020-02-13,20200213,0.0,1.2,0.0,3.6,0.0,7.6,119,5.9,8.9,98.9,2
44,14,2020,2020-02-14,20200214,8.2,1.0,0.0,2.0,0.0,13.3,119,6.5,2.5,93.8,2
45,15,2020,2020-02-15,20200215,5.0,1.9,0.0,3.0,1.7,15.3,119,8.7,6.1,85.1,2
46,16,2020,2020-02-16,20200216,0.6,3.9,2.5,-3.7,8.0,5.0,119,-1.1,9.4,97.8,2
47,17,2020,2020-02-17,20200217,7.2,3.7,3.7,-6.6,0.4,-3.1,119,-4.8,6.0,84.3,2
48,18,2020,2020-02-18,20200218,10.4,1.9,0.7,-7.9,0.0,1.5,119,-3.6,0.0,68.9,2
49,19,2020,2020-02-19,20200219,1.7,0.9,0.0,-4.7,0.0,6.3,119,1.1,6.9,80.0,2
50,20,2020,2020-02-20,20200220,9.5,1.1,0.0,-0.5,0.0,11.6,119,4.4,3.3,85.6,2
51,21,2020,2020-02-21,20200221,1.4,1.4,0.0,0.4,5.1,11.9,119,6.5,9.6,88.5,2
52,22,2020,2020-02-22,20200222,7.8,4.7,0.0,0.4,4.5,8.0,119,4.4,4.6,82.8,2
53,23,2020,2020-02-23,20200223,10.4,1.7,0.0,-3.5,0.0,7.8,119,2.2,0.0,76.5,2
54,24,2020,2020-02-24,20200224,9.3,1.1,0.0,-0.7,0.0,13.7,119,7.0,5.3,70.6,2
55,25,2020,2020-02-25,20200225,0.0,2.2,0.0,5.6,22.6,8.3,119,6.8,8.4,92.8,2
56,26,2020,2020-02-26,20200226,10.0,1.7,0.0,1.1,0.0,11.4,119,5.6,3.4,87.5,2
57,27,2020,2020-02-27,20200227,9.9,1.3,0.0,0.2,0.0,11.6,119,5.5,4.1,80.4,2
