,year,station_id,month,sunshine,snow,tmin,tavg,Date,tmax,cloud,date,day,humid,rainfall,wind
0,2021,119,1,4.8,0.0,-10.4,-4.6,2021-01-01,0.0,4.8,20210101,1,83.3,0.0,1.3
1,2021,119,1,8.9,0.0,-8.4,-4.5,2021-01-02,-0.8,0.0,20210102,2,47.8,0.0,2.3
2,2021,119,1,5.4,0.0,-10.1,-5.5,2021-01-03,-0.4,2.8,20210103,3,57.1,0.0,1.7
3,2021,119,1,3.0,0.1,-10.4,-3.6,2021-01-04,0.6,5.3,20210104,4,68.0,0.0,1.2
4,2021,119,1,9.0,0.1,-9.3,-4.9,2021-01-05,-0.8,2.4,20210105,5,56.9,0.0,2.8
5,2021,119,1,9.1,9.4,-12.4,-7.2,2021-01-06,-1.9,2.5,20210106,6,61.8,5.7,2.2
6,2021,119,1,9.4,8.5,-15.9,-13.8,2021-01-07,-8.3,0.3,20210107,7,54.3,0.0,4.0
7,2021,119,1,9.3,3.6,-18.4,-14.4,2021-01-08,-10.7,0.0,20210108,8,51.5,0.0,2.6
8,2021,119,1,9.3,2.5,-18.6,-12.7,2021-01-09,-7.7,0.9,20210109,9,60.1,0.0,1.6
9,2021,119,1,7.8,2.3,-16.8,-8.9,2021-01-10,-2.7,2.4,20210110,10,68.0,0.0,1.0
10,2021,119,1,0.1,0.0,-12.5,-7.6,2021-01-11,-3.6,7.4,20210111,11,77.5,0.0,0.8
11,2021,119,1,4.5,5.3,-11.0,-3.9,2021-01-12,0.7,5.0,20210112,12,88.1,1.5,1.3
12,2021,119,1,7.0,5.3,-4.9,1.7,2021-01-13,8.7,0.9,20210113,13,87.8,0.0,1.8
13,2021,119,1,8.3,0.0,-5.3,1.5,2021-01-14,7.6,0.0,20210114,14,54.0,0.0,1.5
14,2021,119,1,0.9,0.0,-1.6,4.0,2021-01-15,11.3,8.6,20210115,15,74.3,0.0,2.5
15,2021,119,1,7.8,0.0,-7.3,-4.2,2021-01-16,-0.7,3.0,20210116,16,67.9,0.0,3.1
16,2021,119,1,7.3,2.8,-11.1,-5.3,2021-01-17,-1.4,3.9,20210117,17,65.4,1.1,1.9
17,2021,119,1,3.5,3.5,-8.2,-3.2,2021-01-18,1.6,5.0,20210118,18,75.5,0.3,3.0
