,year,station_id,month,sunshine,snow,tmin,tavg,Date,tmax,cloud,date,day,humid,rainfall,wind
0,2012,98,1,2.7,0.0,-8.9,-4.3,2012-01-01,-0.3,0.0,20120101,1,71.6,0.0,1.8
1,2012,98,1,5.9,0.0,-11.7,-6.8,2012-01-02,-0.8,0.0,20120102,2,75.8,0.0,1.0
2,2012,98,1,3.1,0.0,-10.4,-6.6,2012-01-03,-0.4,0.0,20120103,3,81.1,0.0,1.7
3,2012,98,1,7.8,0.0,-11.7,-8.3,2012-01-04,-3.6,0.0,20120104,4,64.9,0.0,2.0
4,2012,98,1,8.7,0.0,-14.1,-7.8,2012-01-05,-0.3,0.0,20120105,5,61.8,0.0,1.0
5,2012,98,1,8.2,0.0,-8.5,-4.4,2012-01-06,2.4,0.0,20120106,6,54.5,0.0,1.2
6,2012,98,1,8.5,0.0,-12.7,-6.1,2012-01-07,2.5,0.0,20120107,7,59.8,0.0,1.0
7,2012,98,1,2.8,0.0,-9.7,-4.1,2012-01-08,1.6,0.0,20120108,8,60.0,0.0,1.3
8,2012,98,1,4.5,0.0,-5.7,-2.0,2012-01-09,3.2,0.0,20120109,9,67.5,0.0,1.0
9,2012,98,1,8.4,0.0,-10.4,-4.7,2012-01-10,2.3,0.0,20120110,10,61.5,0.0,1.4
10,2012,98,1,8.7,0.0,-11.4,-7.1,2012-01-11,-1.9,0.0,20120111,11,50.4,0.0,1.7
11,2012,98,1,5.1,0.0,-14.7,-6.9,2012-01-12,-0.8,0.0,20120112,12,71.4,0.0,1.2
12,2012,98,1,6.8,0.0,-6.2,-2.7,2012-01-13,3.7,0.0,20120113,13,59.0,0.0,1.7
13,2012,98,1,8.5,0.0,-10.6,-3.7,2012-01-14,3.2,0.0,20120114,14,59.1,0.0,1.5
14,2012,98,1,6.4,0.0,-8.8,-4.4,2012-01-15,1.3,0.0,20120115,15,57.1,0.0,1.1
15,2012,98,1,9.0,0.0,-11.1,-2.6,2012-01-16,8.7,0.0,20120116,16,58.9,0.0,1.3
16,2012,98,1,4.7,0.0,-3.8,0.3,2012-01-17,8.3,0.0,20120117,17,58.6,0.0,1.2
17,2012,98,1,6.5,0.0,-7.6,-1.5,2012-01-18,5.4,0.0,20120118,18,54.9,0.0,1.1
18,2012,98,1,0.0,0.0,-3.3,2.6,2012-01-19,7.3,0.0,20120119,19,63.3,0.0,1.5
19,2012,98,1,0.9,0.0,2.5,4.5,2012-01-20,8.4,0.0,20120120,20,60.5,0.0,1.5
20,2012,98,1,0.0,0.0,-3.5,1.4,2012-01-21,6.1,0.0,20120121,21,65.8,0.0,1.8
21,2012,98,1,8.9,0.0,-12.3,-7.8,2012-01-22,-2.2,0.0,20120122,22,38.3,0.0,2.3
22,2012,98,1,9.4,0.0,-15.6,-10.3,2012-01-23,-3.9,0.0,20120123,23,41.6,0.0,1.6
23,2012,98,1,9.0,0.0,-15.5,-9.0,2012-01-24,-2.1,0.0,20120124,24,46.6,0.1,1.2
24,2012,98,1,9.4,0.0,-12.7,-8.8,2012-01-25,-3.6,0.0,20120125,25,43.9,0.0,2.4
25,2012,98,1,6.2,0.0,-12.3,-4.2,2012-01-26,2.4,0.0,20120126,26,59.9,0.2,1.5
26,2012,98,1,3.8,0.0,-8.5,-2.8,2012-01-27,4.2,0.0,20120127,27,67.0,0.0,1.2
27,2012,98,1,8.4,0.0,-10.6,-4.1,2012-01-28,2.5,0.0,20120128,28,35.6,0.0,1.3
28,2012,98,1,9.1,0.0,-9.2,-3.8,2012-01-29,2.4,0.0,20120129,29,26.9,0.0,2.2
29,2012,98,1,9.3,0.0,-12.4,-6.9,2012-01-30,0.4,0.0,20120130,30,31.1,0.0,1.6
30,2012,98,1,1.9,0.0,-12.8,-7.1,2012-01-31,-2.1,0.0,20120131,31,57.3,5.3,2.3
31,2012,98,2,9.3,0.0,-16.4,-13.2,2012-02-01,-8.2,0.0,20120201,1,51.5,0.0,2.7
32,2012,98,2,9.5,0.0,-18.1,-14.4,2012-02-02,-8.0,0.0,20120202,2,50.3,0.0,1.6
