,cloud,sunshine,day,month,tmax,wind,date,rainfall,station_id,tmin,snow,Date,year,humid,tavg
0,0.0,3.6,1,1,1.9,1.3,20130101,4.5,98,-13.3,0.0,2013-01-01,2013,76.5,-5.8
1,0.0,8.8,2,1,-5.9,2.9,20130102,0.0,98,-16.4,0.0,2013-01-02,2013,47.9,-12.4
2,0.0,8.8,3,1,-7.9,1.5,20130103,0.0,98,-20.7,0.0,2013-01-03,2013,53.8,-14.4
3,0.0,8.8,4,1,-5.0,1.0,20130104,0.0,98,-19.7,0.0,2013-01-04,2013,60.8,-13.6
4,0.0,4.6,5,1,-0.7,0.7,20130105,0.0,98,-17.6,0.0,2013-01-05,2013,74.3,-10.4
5,0.0,8.3,6,1,-0.2,0.9,20130106,0.0,98,-15.4,0.0,2013-01-06,2013,71.5,-9.3
6,0.0,5.3,7,1,0.2,0.9,20130107,0.0,98,-14.5,0.0,2013-01-07,2013,68.0,-8.0
7,0.0,7.9,8,1,-0.3,1.4,20130108,0.0,98,-12.8,0.0,2013-01-08,2013,65.6,-7.2
8,0.0,8.9,9,1,-4.8,1.4,20130109,0.0,98,-15.1,0.0,2013-01-09,2013,60.3,-10.8
9,0.0,8.6,10,1,-2.0,0.9,20130110,0.0,98,-17.5,0.0,2013-01-10,2013,58.0,-10.5
10,0.0,4.8,11,1,1.9,0.9,20130111,0.0,98,-11.0,0.0,2013-01-11,2013,65.1,-4.9
11,0.0,0.0,12,1,4.3,1.0,20130112,0.1,98,-4.6,0.0,2013-01-12,2013,77.9,-0.8
12,0.0,1.4,13,1,3.1,0.9,20130113,0.0,98,-7.1,0.0,2013-01-13,2013,82.5,-3.7
13,0.0,4.5,14,1,4.1,1.3,20130114,0.0,98,-9.9,0.0,2013-01-14,2013,74.0,-4.7
14,0.0,2.3,15,1,3.4,1.0,20130115,0.0,98,-10.8,0.0,2013-01-15,2013,72.8,-4.7
15,0.0,3.4,16,1,2.6,1.3,20130116,0.0,98,-6.5,0.0,2013-01-16,2013,71.8,-3.3
16,0.0,6.3,17,1,-1.4,1.3,20130117,0.0,98,-10.4,0.0,2013-01-17,2013,74.1,-6.8
17,0.0,9.1,18,1,1.2,1.2,20130118,0.0,98,-13.7,0.0,2013-01-18,2013,61.6,-6.5
18,0.0,5.4,19,1,6.1,0.9,20130119,0.0,98,-6.7,0.0,2013-01-19,2013,70.8,-1.4
19,0.0,1.5,20,1,5.2,0.8,20130120,0.0,98,-6.2,0.0,2013-01-20,2013,70.9,-0.4
20,0.0,0.0,21,1,3.5,1.8,20130121,12.5,98,1.1,0.0,2013-01-21,2013,89.1,1.6
21,0.0,0.0,22,1,5.5,1.2,20130122,0.0,98,1.4,0.0,2013-01-22,2013,81.4,3.1
22,0.0,0.0,23,1,2.5,1.3,20130123,1.0,98,0.7,0.0,2013-01-23,2013,89.4,1.4
23,0.0,0.6,24,1,2.0,3.6,20130124,1.0,98,-7.6,0.0,2013-01-24,2013,64.1,-1.5
24,0.0,9.4,25,1,-5.2,3.7,20130125,0.0,98,-12.0,0.0,2013-01-25,2013,44.1,-9.6
25,0.0,9.3,26,1,-4.2,1.9,20130126,0.0,98,-15.0,0.0,2013-01-26,2013,49.3,-9.9
26,0.0,9.3,27,1,-2.8,1.4,20130127,0.0,98,-14.0,0.0,2013-01-27,2013,59.0,-8.7
27,0.0,2.7,28,1,0.1,1.0,20130128,0.0,98,-12.5,0.0,2013-01-28,2013,65.3,-5.0
28,0.0,0.0,29,1,3.2,0.3,20130129,0.0,98,-0.6,0.0,2013-01-29,2013,79.5,1.7
29,0.0,0.0,30,1,8.0,0.5,20130130,0.0,98,1.6,0.0,2013-01-30,2013,80.4,4.3
30,0.0,7.1,31,1,13.9,1.2,20130131,0.0,98,1.7,0.0,2013-01-31,2013,66.6,7.0
31,0.0,0.0,1,2,8.9,1.2,20130201,35.5,98,4.7,0.0,2013-02-01,2013,90.5,6.8
32,0.0,9.2,2,2,5.0,3.0,20130202,0.0,98,-5.1,0.0,2013-02-02,2013,61.0,-0.7
33,0.0,0.0,3,2,-0.5,0.7,20130203,8.5,98,-7.9,0.0,2013-02-03,2013,73.5,-4.0
34,0.0,7.3,4,2,4.7,2.2,20130204,2.0,98,-5.4,0.0,2013-02-04,2013,77.4,-1.0
35,0.0,0.1,5,2,3.8,0.9,20130205,3.0,98,-7.9,0.0,2013-02-05,2013,82.6,-2.0
36,0.0,4.0,6,2,1.7,1.8,20130206,1.0,98,-5.0,0.0,2013-02-06,2013,80.6,-1.6
37,0.0,9.1,7,2,-3.6,3.9,20130207,0.0,98,-15.1,0.0,2013-02-07,2013,49.6,-11.3
38,0.0,9.5,8,2,-5.1,2.0,20130208,0.0,98,-17.0,0.0,2013-02-08,2013,47.3,-12.0
39,0.0,9.0,9,2,-0.3,1.1,20130209,0.0,98,-17.1,0.0,2013-02-09,2013,65.6,-8.7
40,0.0,9.2,10,2,1.6,2.2,20130210,0.0,98,-9.2,0.0,2013-02-10,2013,56.8,-4.7
41,0.0,9.4,11,2,0.6,1.0,20130211,0.0,98,-13.9,0.0,2013-02-11,2013,54.0,-6.6
42,0.0,0.0,12,2,-0.4,1.3,20130212,0.0,98,-7.5,0.0,2013-02-12,2013,70.4,-4.9
43,0.0,8.9,13,2,5.2,1.2,20130213,0.0,98,-9.6,0.0,2013-02-13,2013,67.9,-2.8
44,0.0,6.8,14,2,7.8,0.9,20130214,0.0,98,-5.6,0.0,2013-02-14,2013,70.4,0.2
45,0.0,9.9,15,2,2.9,2.6,20130215,0.0,98,-5.8,0.0,2013-02-15,2013,50.1,-1.2
46,0.0,9.7,16,2,3.5,1.0,20130216,0.0,98,-10.2,0.0,2013-02-16,2013,49.9,-3.4
47,0.0,2.9,17,2,7.3,1.1,20130217,0.0,98,-4.5,0.0,2013-02-17,2013,58.6,0.9
48,0.0,3.9,18,2,4.9,2.1,20130218,0.0,98,-2.6,0.0,2013-02-18,2013,54.8,0.7
49,0.0,10.1,19,2,2.7,3.1,20130219,0.0,98,-7.6,0.0,2013-02-19,2013,30.6,-2.9
50,0.0,9.7,20,2,1.4,1.8,20130220,0.0,98,-11.1,0.0,2013-02-20,2013,44.0,-5.0
51,0.0,9.1,21,2,3.7,1.5,20130221,0.0,98,-6.7,0.0,2013-02-21,2013,54.5,-2.5
52,0.0,8.1,22,2,5.6,2.8,20130222,0.2,98,-5.1,0.0,2013-02-22,2013,56.9,-0.2
53,0.0,9.4,23,2,3.5,2.2,20130223,0.0,98,-8.1,0.0,2013-02-23,2013,55.0,-1.6
54,0.0,8.6,24,2,5.9,1.3,20130224,0.0,98,-6.4,0.0,2013-02-24,2013,49.9,-0.3
55,0.0,7.5,25,2,8.8,1.0,20130225,0.0,98,-3.7,0.0,2013-02-25,2013,53.1,1.8
56,0.0,0.0,26,2,6.9,0.9,20130226,0.0,98,-1.1,0.0,2013-02-26,2013,76.3,2.6
57,0.0,7.5,27,2,11.4,1.6,20130227,0.0,98,-0.9,0.0,2013-02-27,2013,73.8,3.6
58,0.0,4.8,28,2,13.2,1.6,20130228,0.5,98,-2.4,0.0,2013-02-28,2013,63.9,5.1
59,0.0,9.7,1,3,6.9,4.1,20130301,2.5,98,-2.2,0.0,2013-03-01,2013,57.9,1.4
60,0.0,9.6,2,3,6.3,2.3,20130302,0.0,98,-4.8,0.0,2013-03-02,2013,44.8,-0.5
61,0.0,9.9,3,3,7.0,1.8,20130303,0.0,98,-4.6,0.0,2013-03-03,2013,56.1,0.3
62,0.0,6.1,4,3,9.9,1.5,20130304,0.0,98,-2.9,0.0,2013-03-04,2013,58.8,2.8
63,0.0,10.5,5,3,11.2,1.8,20130305,0.0,98,-3.7,0.0,2013-03-05,2013,58.8,2.8
64,0.0,6.8,6,3,15.1,1.5,20130306,0.0,98,-1.7,0.0,2013-03-06,2013,50.8,6.9
65,0.0,2.9,7,3,13.4,2.6,20130307,0.5,98,4.5,0.0,2013-03-07,2013,70.9,9.2
66,0.0,4.8,8,3,15.6,1.7,20130308,0.0,98,3.7,0.0,2013-03-08,2013,68.8,8.0
67,0.0,9.0,9,3,24.7,2.7,20130309,0.0,98,1.2,0.0,2013-03-09,2013,58.8,11.8
68,0.0,10.9,10,3,8.4,3.9,20130310,0.0,98,-2.1,0.0,2013-03-10,2013,35.1,1.8
69,0.0,11.0,11,3,14.4,1.3,20130311,0.0,98,-5.5,0.0,2013-03-11,2013,41.8,3.8
70,0.0,4.0,12,3,12.9,1.3,20130312,5.5,98,-2.3,0.0,2013-03-12,2013,70.6,6.0
71,0.0,4.3,13,3,9.4,3.1,20130313,12.0,98,1.4,0.0,2013-03-13,2013,69.5,5.2
72,0.0,11.1,14,3,11.2,2.1,20130314,0.0,98,-2.1,0.0,2013-03-14,2013,54.4,3.5
73,0.0,9.8,15,3,12.0,1.6,20130315,0.0,98,-3.4,0.0,2013-03-15,2013,55.4,3.7
74,0.0,10.8,16,3,16.1,1.3,20130316,0.0,98,-1.7,0.0,2013-03-16,2013,57.4,5.9
75,0.0,6.2,17,3,16.4,1.7,20130317,2.0,98,-1.1,0.0,2013-03-17,2013,62.1,6.9
76,0.0,8.3,18,3,16.4,2.5,20130318,0.5,98,3.1,0.0,2013-03-18,2013,73.4,8.0
77,0.0,3.5,19,3,13.8,1.9,20130319,0.0,98,3.5,0.0,2013-03-19,2013,59.8,7.7
78,0.0,5.2,20,3,7.4,3.7,20130320,1.5,98,-3.3,0.0,2013-03-20,2013,66.4,1.9
79,0.0,11.2,21,3,8.8,1.8,20130321,0.0,98,-6.2,0.0,2013-03-21,2013,42.6,0.8
80,0.0,2.7,22,3,8.3,1.6,20130322,0.0,98,-2.3,0.0,2013-03-22,2013,63.0,2.4
81,0.0,11.0,23,3,14.6,1.6,20130323,0.0,98,-3.2,0.0,2013-03-23,2013,45.8,5.1
82,0.0,10.9,24,3,13.3,2.3,20130324,0.0,98,0.1,0.0,2013-03-24,2013,43.4,5.7
83,0.0,11.2,25,3,10.4,2.2,20130325,0.0,98,-2.1,0.0,2013-03-25,2013,44.4,3.1
84,0.0,11.3,26,3,12.4,1.6,20130326,0.0,98,-3.5,0.0,2013-03-26,2013,47.4,3.9
85,0.0,11.1,27,3,16.8,2.1,20130327,0.0,98,-2.9,0.0,2013-03-27,2013,41.0,6.3
86,0.0,5.3,28,3,14.0,2.1,20130328,0.0,98,0.8,0.0,2013-03-28,2013,40.8,6.8
87,0.0,11.5,29,3,13.2,2.5,20130329,0.0,98,-0.8,0.0,2013-03-29,2013,31.0,5.4
88,0.0,5.3,30,3,11.8,1.5,20130330,0.0,98,0.3,0.0,2013-03-30,2013,47.3,4.4
89,0.0,11.0,31,3,15.5,1.6,20130331,0.0,98,-2.0,0.0,2013-03-31,2013,49.9,5.7
90,0.0,0.9,1,4,14.9,1.2,20130401,0.5,98,-0.1,0.0,2013-04-01,2013,52.5,7.7
91,0.0,1.3,2,4,11.0,1.5,20130402,10.5,98,2.9,0.0,2013-04-02,2013,83.9,6.8
92,0.0,8.1,3,4,15.7,1.7,20130403,0.0,98,1.2,0.0,2013-04-03,2013,66.5,7.6
93,0.0,10.6,4,4,21.5,1.2,20130404,0.0,98,2.3,0.0,2013-04-04,2013,53.9,11.1
94,0.0,1.4,5,4,22.1,1.3,20130405,0.0,98,6.2,0.0,2013-04-05,2013,49.5,13.6
95,0.0,0.0,6,4,12.8,2.3,20130406,15.5,98,2.3,0.0,2013-04-06,2013,87.3,6.9
96,0.0,8.0,7,4,12.1,3.1,20130407,0.5,98,2.2,0.0,2013-04-07,2013,61.8,5.3
97,0.0,6.7,8,4,14.5,3.1,20130408,1.5,98,-0.6,0.0,2013-04-08,2013,59.8,7.1
98,0.0,8.8,9,4,10.8,4.3,20130409,1.5,98,2.2,0.0,2013-04-09,2013,56.4,5.7
99,0.0,8.8,10,4,10.4,3.1,20130410,0.1,98,-1.1,0.0,2013-04-10,2013,60.8,4.4
100,0.0,8.6,11,4,11.2,3.6,20130411,0.3,98,2.1,0.0,2013-04-11,2013,49.6,5.9
101,0.0,11.3,12,4,14.1,2.7,20130412,0.0,98,-0.9,0.0,2013-04-12,2013,47.4,6.3
102,0.0,9.5,13,4,19.4,3.3,20130413,0.0,98,1.0,0.0,2013-04-13,2013,42.8,11.1
103,0.0,9.4,14,4,12.6,4.1,20130414,3.0,98,2.7,0.0,2013-04-14,2013,44.9,8.3
104,0.0,3.3,15,4,14.1,1.2,20130415,0.0,98,-0.3,0.0,2013-04-15,2013,38.0,6.7
105,0.0,2.7,16,4,20.5,2.7,20130416,0.0,98,5.5,0.0,2013-04-16,2013,60.9,12.5
106,0.0,9.7,17,4,23.1,2.4,20130417,0.0,98,8.0,0.0,2013-04-17,2013,59.3,14.5
107,0.0,8.5,18,4,19.3,3.1,20130418,0.0,98,7.8,0.0,2013-04-18,2013,38.8,12.5
108,0.0,8.2,19,4,17.1,2.0,20130419,0.0,98,2.9,0.0,2013-04-19,2013,30.8,10.0
109,0.0,0.0,20,4,9.1,1.3,20130420,6.5,98,4.0,0.0,2013-04-20,2013,76.8,6.3
110,0.0,10.3,21,4,17.7,2.2,20130421,0.0,98,4.2,0.0,2013-04-21,2013,59.3,9.5
111,0.0,10.5,22,4,20.1,1.9,20130422,0.0,98,3.5,0.0,2013-04-22,2013,46.3,11.7
112,0.0,0.0,23,4,17.6,1.3,20130423,4.0,98,8.4,0.0,2013-04-23,2013,62.1,10.9
113,0.0,11.9,24,4,21.9,2.6,20130424,0.3,98,8.3,0.0,2013-04-24,2013,65.9,13.2
114,0.0,1.9,25,4,13.8,2.3,20130425,8.0,98,6.8,0.0,2013-04-25,2013,83.9,8.6
115,0.0,9.1,26,4,17.0,2.1,20130426,2.5,98,5.1,0.0,2013-04-26,2013,62.5,10.9
116,0.0,12.0,27,4,21.0,1.9,20130427,0.0,98,4.8,0.0,2013-04-27,2013,56.9,11.8
117,0.0,2.2,28,4,21.4,1.6,20130428,0.1,98,5.6,0.0,2013-04-28,2013,60.1,14.5
118,0.0,7.1,29,4,19.2,4.2,20130429,20.0,98,8.7,0.0,2013-04-29,2013,66.6,14.3
119,0.0,9.8,30,4,22.1,2.0,20130430,0.0,98,5.7,0.0,2013-04-30,2013,52.1,13.4
120,0.0,9.2,1,5,20.2,2.0,20130501,0.0,98,7.3,0.0,2013-05-01,2013,54.6,13.6
121,0.0,5.2,2,5,21.1,1.3,20130502,11.5,98,6.7,0.0,2013-05-02,2013,75.3,11.7
122,0.0,6.8,3,5,21.7,1.8,20130503,0.5,98,7.7,0.0,2013-05-03,2013,70.5,12.9
123,0.0,11.3,4,5,22.6,1.7,20130504,0.0,98,6.1,0.0,2013-05-04,2013,61.0,13.7
124,0.0,12.3,5,5,23.4,2.2,20130505,0.0,98,7.3,0.0,2013-05-05,2013,51.4,14.5
125,0.0,10.8,6,5,24.3,1.7,20130506,0.0,98,6.3,0.0,2013-05-06,2013,59.3,14.8
126,0.0,11.0,7,5,28.7,1.4,20130507,0.0,98,9.3,0.0,2013-05-07,2013,56.8,18.5
127,0.0,11.4,8,5,28.4,1.4,20130508,0.0,98,10.8,0.0,2013-05-08,2013,42.5,19.1
128,0.0,4.4,9,5,25.3,1.2,20130509,2.5,98,11.3,0.0,2013-05-09,2013,65.8,16.7
129,0.0,1.0,10,5,17.8,2.6,20130510,14.5,98,11.2,0.0,2013-05-10,2013,88.0,14.9
130,0.0,11.0,11,5,26.3,2.4,20130511,0.0,98,11.3,0.0,2013-05-11,2013,56.5,18.6
131,0.0,5.2,12,5,23.6,3.3,20130512,0.5,98,16.2,0.0,2013-05-12,2013,65.9,18.7
132,0.0,10.3,13,5,28.3,2.6,20130513,0.0,98,15.5,0.0,2013-05-13,2013,53.0,20.9
133,0.0,1.7,14,5,25.4,1.3,20130514,0.0,98,12.9,0.0,2013-05-14,2013,61.1,18.5
134,0.0,11.4,15,5,26.9,2.0,20130515,0.0,98,15.5,0.0,2013-05-15,2013,57.8,20.0
135,0.0,13.1,16,5,29.7,1.8,20130516,0.0,98,12.3,0.0,2013-05-16,2013,39.3,21.2
136,0.0,12.2,17,5,28.1,1.5,20130517,0.0,98,11.4,0.0,2013-05-17,2013,42.6,19.7
137,0.0,0.0,18,5,23.2,1.0,20130518,8.5,98,13.0,0.0,2013-05-18,2013,67.4,16.8
138,0.0,2.5,19,5,24.5,1.7,20130519,15.5,98,13.8,0.0,2013-05-19,2013,79.1,17.4
139,0.0,5.4,20,5,20.6,2.5,20130520,0.0,98,10.9,0.0,2013-05-20,2013,78.1,14.4
140,0.0,11.6,21,5,25.6,1.5,20130521,0.0,98,7.0,0.0,2013-05-21,2013,52.0,16.3
141,0.0,5.9,22,5,27.2,1.0,20130522,0.0,98,10.3,0.0,2013-05-22,2013,58.1,18.4
142,0.0,11.7,23,5,32.4,1.2,20130523,0.0,98,13.0,0.0,2013-05-23,2013,64.5,21.7
143,0.0,9.2,24,5,28.9,1.5,20130524,0.0,98,15.0,0.0,2013-05-24,2013,64.9,21.3
144,0.0,9.9,25,5,32.8,1.2,20130525,0.0,98,16.4,0.0,2013-05-25,2013,55.6,24.2
145,0.0,6.3,26,5,29.9,1.2,20130526,0.0,98,19.6,0.0,2013-05-26,2013,53.1,23.4
146,0.0,0.0,27,5,21.6,1.7,20130527,47.5,98,17.6,0.0,2013-05-27,2013,79.0,19.0
147,0.0,0.0,28,5,20.7,1.1,20130528,13.0,98,17.3,0.0,2013-05-28,2013,92.1,18.8
148,0.0,0.0,29,5,17.4,1.8,20130529,3.5,98,14.8,0.0,2013-05-29,2013,90.8,16.1
149,0.0,12.2,30,5,25.9,2.0,20130530,0.0,98,13.3,0.0,2013-05-30,2013,66.0,18.7
150,0.0,11.8,31,5,28.4,1.1,20130531,0.0,98,10.9,0.0,2013-05-31,2013,53.1,20.1
151,0.0,10.4,1,6,29.1,1.4,20130601,0.0,98,14.6,0.0,2013-06-01,2013,54.9,20.9
152,0.0,12.6,2,6,31.7,1.3,20130602,0.0,98,13.5,0.0,2013-06-02,2013,56.9,22.4
153,0.0,11.8,3,6,27.8,1.8,20130603,0.0,98,15.1,0.0,2013-06-03,2013,65.5,20.7
154,0.0,10.3,4,6,29.3,1.4,20130604,0.4,98,14.7,0.0,2013-06-04,2013,64.6,21.3
155,0.0,10.2,5,6,31.4,1.4,20130605,0.0,98,15.4,0.0,2013-06-05,2013,60.8,23.3
156,0.0,7.7,6,6,31.1,1.1,20130606,0.0,98,19.6,0.0,2013-06-06,2013,62.9,23.9
157,0.0,10.2,7,6,31.1,1.3,20130607,0.0,98,18.3,0.0,2013-06-07,2013,63.3,24.2
158,0.0,10.4,8,6,31.9,1.2,20130608,0.0,98,18.0,0.0,2013-06-08,2013,58.9,25.6
159,0.0,12.7,9,6,34.3,1.1,20130609,0.0,98,19.7,0.0,2013-06-09,2013,45.6,26.6
160,0.0,12.8,10,6,33.7,1.1,20130610,0.0,98,17.9,0.0,2013-06-10,2013,44.9,26.1
161,0.0,0.0,11,6,25.5,1.3,20130611,2.0,98,19.2,0.0,2013-06-11,2013,64.0,22.2
162,0.0,0.0,12,6,22.3,1.1,20130612,6.0,98,19.0,0.0,2013-06-12,2013,88.6,20.1
163,0.0,8.2,13,6,28.4,1.0,20130613,0.0,98,17.7,0.0,2013-06-13,2013,71.9,22.4
164,0.0,10.7,14,6,30.0,1.6,20130614,0.0,98,18.3,0.0,2013-06-14,2013,64.6,23.8
165,0.0,9.3,15,6,30.4,1.5,20130615,0.0,98,19.0,0.0,2013-06-15,2013,66.0,23.8
166,0.0,8.0,16,6,28.4,1.7,20130616,0.0,98,17.5,0.0,2013-06-16,2013,72.9,22.0
167,0.0,0.4,17,6,25.1,1.4,20130617,0.2,98,19.1,0.0,2013-06-17,2013,78.5,21.7
168,0.0,0.0,18,6,23.4,0.7,20130618,9.0,98,19.6,0.0,2013-06-18,2013,90.5,21.1
169,0.0,6.6,19,6,30.0,1.1,20130619,0.0,98,20.2,0.0,2013-06-19,2013,75.6,24.2
170,0.0,7.1,20,6,30.3,1.3,20130620,0.0,98,18.8,0.0,2013-06-20,2013,68.4,24.7
171,0.0,4.6,21,6,32.1,1.2,20130621,0.0,98,20.3,0.0,2013-06-21,2013,64.6,25.0
172,0.0,7.7,22,6,30.7,1.6,20130622,0.0,98,19.2,0.0,2013-06-22,2013,69.1,24.5
173,0.0,6.5,23,6,27.1,1.8,20130623,0.0,98,19.5,0.0,2013-06-23,2013,72.9,22.6
174,0.0,8.8,24,6,30.3,1.4,20130624,0.0,98,17.9,0.0,2013-06-24,2013,67.1,23.2
175,0.0,5.6,25,6,30.6,1.4,20130625,0.2,98,19.1,0.0,2013-06-25,2013,69.1,23.8
176,0.0,10.5,26,6,31.6,1.8,20130626,0.0,98,19.8,0.0,2013-06-26,2013,65.4,24.5
177,0.0,9.7,27,6,31.7,1.5,20130627,0.0,98,18.8,0.0,2013-06-27,2013,65.9,24.8
178,0.0,9.7,28,6,30.6,1.8,20130628,1.0,98,20.3,0.0,2013-06-28,2013,66.6,24.6
