,wind,year,month,humid,tmax,sunshine,tmin,station_id,rainfall,snow,day,cloud,date,tavg,Date
0,2.6,2014,1,62.6,7.1,6.0,-2.7,98,0.0,0.0,1,0.0,20140101,2.7,2014-01-01
1,1.2,2014,1,42.3,6.5,8.6,-4.3,98,0.0,0.0,2,0.0,20140102,0.4,2014-01-02
2,1.0,2014,1,70.9,5.8,1.9,-4.2,98,0.0,0.0,3,0.0,20140103,0.1,2014-01-03
3,1.7,2014,1,55.4,4.6,8.0,-5.5,98,0.0,0.0,4,0.0,20140104,-1.1,2014-01-04
4,1.1,2014,1,55.6,4.0,7.3,-6.5,98,0.0,0.0,5,0.0,20140105,-2.0,2014-01-05
5,1.0,2014,1,64.1,6.4,7.9,-7.5,98,0.0,0.0,6,0.0,20140106,-1.2,2014-01-06
6,0.7,2014,1,71.9,5.8,0.0,-2.0,98,0.0,0.0,7,0.0,20140107,1.6,2014-01-07
7,2.5,2014,1,63.5,4.0,2.5,-6.4,98,0.3,0.0,8,0.0,20140108,-0.2,2014-01-08
8,3.1,2014,1,33.9,-3.1,9.2,-11.4,98,0.0,0.0,9,0.0,20140109,-8.2,2014-01-09
9,1.0,2014,1,59.3,0.8,7.0,-12.2,98,0.0,0.0,10,0.0,20140110,-7.0,2014-01-10
10,1.2,2014,1,53.6,3.5,6.5,-9.0,98,0.0,0.0,11,0.0,20140111,-3.4,2014-01-11
11,2.3,2014,1,47.5,3.6,7.0,-8.4,98,0.0,0.0,12,0.0,20140112,-4.0,2014-01-12
12,1.2,2014,1,39.8,-0.4,9.2,-13.3,98,0.0,0.0,13,0.0,20140113,-7.6,2014-01-13
13,1.3,2014,1,47.4,1.5,9.1,-12.8,98,0.0,0.0,14,0.0,20140114,-6.1,2014-01-14
14,1.3,2014,1,56.3,2.7,9.0,-11.4,98,0.0,0.0,15,0.0,20140115,-5.0,2014-01-15
15,0.6,2014,1,72.5,2.6,0.5,-5.9,98,0.0,0.0,16,0.0,20140116,-1.9,2014-01-16
16,0.8,2014,1,67.6,3.5,5.9,-7.6,98,0.0,0.0,17,0.0,20140117,-2.6,2014-01-17
17,2.5,2014,1,49.1,2.1,8.6,-6.4,98,0.0,0.0,18,0.0,20140118,-3.1,2014-01-18
18,1.2,2014,1,50.8,2.7,6.2,-10.9,98,0.0,0.0,19,0.0,20140119,-3.8,2014-01-19
19,1.9,2014,1,81.5,1.8,0.0,-4.4,98,4.3,0.0,20,0.0,20140120,-1.8,2014-01-20
20,1.3,2014,1,72.3,-2.8,2.4,-10.1,98,0.0,0.0,21,0.0,20140121,-6.6,2014-01-21
21,1.0,2014,1,66.6,1.5,8.6,-13.6,98,0.0,0.0,22,0.0,20140122,-5.5,2014-01-22
