,tmax,year,tmin,humid,cloud,sunshine,date,day,rainfall,station_id,Date,wind,month,tavg,snow
0,0.2,2019,-13.0,48.1,3.5,7.5,20190101,1,0.0,98,2019-01-01,1.7,1,-7.0,0.0
1,1.6,2019,-13.0,46.1,0.1,8.7,20190102,2,0.0,98,2019-01-02,1.0,1,-6.7,0.0
2,3.2,2019,-12.7,41.8,0.6,8.7,20190103,3,0.0,98,2019-01-03,0.8,1,-5.3,0.0
3,4.9,2019,-10.8,56.5,4.5,6.3,20190104,4,0.0,98,2019-01-04,1.1,1,-2.7,0.0
4,2.8,2019,-7.9,37.3,1.1,8.6,20190105,5,0.0,98,2019-01-05,1.3,1,-3.4,0.0
5,3.6,2019,-9.1,35.5,3.4,7.8,20190106,6,0.0,98,2019-01-06,1.1,1,-4.4,0.0
6,4.0,2019,-10.4,44.6,3.1,6.2,20190107,7,0.0,98,2019-01-07,1.1,1,-3.9,0.0
7,2.3,2019,-9.4,32.3,0.0,8.7,20190108,8,0.0,98,2019-01-08,2.4,1,-4.5,0.0
8,0.0,2019,-12.1,32.0,7.8,6.1,20190109,9,0.0,98,2019-01-09,1.0,1,-6.3,0.0
9,3.9,2019,-7.1,46.5,5.3,2.8,20190110,10,0.0,98,2019-01-10,1.3,1,-1.8,0.0
10,7.8,2019,-3.9,57.5,5.6,7.6,20190111,11,0.0,98,2019-01-11,0.8,1,0.6,0.0
11,9.1,2019,-3.3,49.0,5.8,6.0,20190112,12,0.0,98,2019-01-12,1.2,1,1.5,0.0
12,9.8,2019,-7.1,51.1,0.0,8.6,20190113,13,0.0,98,2019-01-13,1.1,1,-0.7,0.0
13,5.6,2019,-6.2,69.1,6.5,0.0,20190114,14,0.0,98,2019-01-14,0.7,1,-0.8,0.0
14,3.3,2019,-8.7,56.6,3.5,3.8,20190115,15,0.0,98,2019-01-15,2.4,1,-2.9,0.0
15,0.0,2019,-12.8,44.6,4.6,8.3,20190116,16,0.0,98,2019-01-16,1.4,1,-6.1,0.0
16,5.7,2019,-6.5,44.1,1.3,9.0,20190117,17,0.0,98,2019-01-17,1.4,1,-1.5,0.0
17,7.1,2019,-8.9,44.9,3.4,8.7,20190118,18,0.0,98,2019-01-18,1.2,1,-1.5,0.0
18,7.2,2019,-2.8,65.4,6.8,0.3,20190119,19,0.0,98,2019-01-19,0.6,1,0.8,0.0
19,3.4,2019,-6.6,38.8,1.9,8.9,20190120,20,0.0,98,2019-01-20,2.9,1,-1.6,0.0
20,4.0,2019,-10.6,60.0,3.9,0.4,20190121,21,0.0,98,2019-01-21,1.2,1,-3.1,0.0
21,8.0,2019,-7.9,63.8,1.3,7.3,20190122,22,0.0,98,2019-01-22,1.5,1,-1.2,0.0
22,8.5,2019,-5.8,48.1,0.5,8.5,20190123,23,0.0,98,2019-01-23,1.9,1,0.2,0.0
23,8.2,2019,-8.4,32.0,3.9,9.1,20190124,24,0.0,98,2019-01-24,1.2,1,-1.2,0.0
24,4.4,2019,-8.3,31.0,0.8,9.0,20190125,25,0.0,98,2019-01-25,2.0,1,-2.7,0.0
25,3.9,2019,-7.7,29.0,0.0,9.3,20190126,26,0.0,98,2019-01-26,1.6,1,-3.1,0.0
26,6.2,2019,-10.7,50.3,5.5,6.9,20190127,27,0.0,98,2019-01-27,1.5,1,-1.5,0.0
27,5.8,2019,-4.5,39.5,2.4,8.8,20190128,28,0.4,98,2019-01-28,2.9,1,0.6,0.0
28,7.2,2019,-9.1,35.8,4.8,9.0,20190129,29,0.0,98,2019-01-29,1.2,1,-1.3,0.0
29,8.2,2019,-5.7,50.3,6.9,8.3,20190130,30,0.0,98,2019-01-30,1.1,1,0.4,0.0
30,2.0,2019,-7.3,24.6,7.3,3.5,20190131,31,0.0,98,2019-01-31,1.8,1,-2.3,0.0
31,4.2,2019,-11.3,47.0,3.1,7.5,20190201,1,0.0,98,2019-02-01,1.7,2,-3.2,0.0
32,7.1,2019,-6.2,58.8,7.5,1.4,20190202,2,0.0,98,2019-02-02,1.4,2,0.7,0.0
33,4.1,2019,1.2,78.0,8.8,0.0,20190203,3,17.9,98,2019-02-03,1.0,2,2.5,0.0
34,3.2,2019,-4.2,39.9,2.6,8.8,20190204,4,0.0,98,2019-02-04,2.1,2,-1.0,0.0
35,10.5,2019,-5.9,43.6,4.5,7.3,20190205,5,0.0,98,2019-02-05,1.3,2,1.3,0.0
36,10.2,2019,-3.3,56.8,6.5,4.4,20190206,6,0.0,98,2019-02-06,1.2,2,3.6,0.0
37,5.5,2019,-9.0,41.8,5.7,9.3,20190207,7,0.6,98,2019-02-07,3.4,2,-1.9,0.0
38,0.3,2019,-11.2,29.8,6.1,8.4,20190208,8,0.0,98,2019-02-08,1.7,2,-6.7,0.0
39,0.6,2019,-9.8,27.9,4.3,8.7,20190209,9,0.0,98,2019-02-09,2.0,2,-5.6,0.0
40,-0.6,2019,-10.9,32.6,7.9,3.4,20190210,10,0.0,98,2019-02-10,1.2,2,-5.6,0.0
41,3.9,2019,-9.5,32.8,2.3,9.5,20190211,11,0.0,98,2019-02-11,1.7,2,-3.1,0.0
42,4.3,2019,-6.2,38.4,3.8,9.2,20190212,12,0.0,98,2019-02-12,1.2,2,-1.8,0.0
