,cloud,date,rainfall,snow,tmin,day,tavg,tmax,humid,Date,sunshine,station_id,wind,year,month
0,3.4,20210101,0.0,0.0,-13.8,1,-6.3,0.8,67.5,2021-01-01,8.2,98,1.1,2021,1
1,0.0,20210102,0.0,0.0,-11.0,2,-6.3,-0.8,40.0,2021-01-02,8.6,98,1.8,2021,1
2,1.0,20210103,0.0,0.0,-12.7,3,-7.7,-1.5,50.3,2021-01-03,7.2,98,1.1,2021,1
3,4.6,20210104,0.5,0.0,-12.9,4,-5.7,0.6,58.0,2021-01-04,6.5,98,0.9,2021,1
4,0.9,20210105,0.0,0.0,-11.5,5,-6.7,-2.3,55.5,2021-01-05,8.7,98,1.8,2021,1
5,4.6,20210106,1.9,0.0,-16.0,6,-9.2,-2.8,60.9,2021-01-06,8.3,98,1.5,2021,1
6,0.6,20210107,0.0,0.0,-18.7,7,-15.7,-8.9,53.5,2021-01-07,8.7,98,3.4,2021,1
7,0.1,20210108,0.0,0.0,-20.2,8,-16.1,-11.1,44.0,2021-01-08,8.8,98,2.0,2021,1
8,1.4,20210109,0.0,0.0,-19.7,9,-13.8,-7.4,53.3,2021-01-09,8.6,98,1.3,2021,1
9,3.3,20210110,0.0,0.0,-17.4,10,-10.3,-3.5,63.6,2021-01-10,7.2,98,0.6,2021,1
10,7.9,20210111,0.0,0.0,-13.9,11,-9.1,-4.5,70.8,2021-01-11,1.0,98,0.6,2021,1
11,5.1,20210112,1.9,0.0,-13.2,12,-6.6,1.2,85.5,2021-01-12,2.6,98,1.0,2021,1
12,2.5,20210113,0.0,0.0,-6.2,13,0.6,7.8,86.1,2021-01-13,4.5,98,1.5,2021,1
13,1.3,20210114,0.0,0.0,-6.9,14,-1.0,6.8,59.3,2021-01-14,8.3,98,0.7,2021,1
14,8.0,20210115,0.6,0.0,-3.3,15,3.3,9.8,72.9,2021-01-15,0.0,98,2.6,2021,1
15,0.8,20210116,0.0,0.0,-9.7,16,-5.7,-1.1,61.6,2021-01-16,8.5,98,2.0,2021,1
16,2.4,20210117,0.0,0.0,-13.9,17,-7.5,-0.8,62.1,2021-01-17,8.3,98,1.1,2021,1
17,6.1,20210118,1.8,0.0,-10.8,18,-5.5,-0.5,71.9,2021-01-18,2.9,98,2.6,2021,1
18,2.5,20210119,0.0,0.0,-14.9,19,-8.8,-1.9,50.5,2021-01-19,8.8,98,0.8,2021,1
19,3.0,20210120,0.0,0.0,-12.2,20,-3.3,7.3,54.6,2021-01-20,8.8,98,1.0,2021,1
20,9.6,20210121,4.7,0.0,-1.2,21,2.9,8.0,73.8,2021-01-21,0.1,98,0.6,2021,1
21,7.4,20210122,0.0,0.0,2.2,22,4.0,6.5,98.4,2021-01-22,0.0,98,0.6,2021,1
