,Date,station_id,month,rainfall,tmax,date,year,cloud,sunshine,tavg,humid,snow,tmin,day,wind
0,2022-01-01,98,1,0.0,1.4,20220101,2022,2.8,8.2,-6.4,52.6,0.0,-13.9,1,0.7
1,2022-01-02,98,1,0.3,3.7,20220102,2022,4.3,5.5,-2.1,57.3,0.0,-8.0,2,1.3
2,2022-01-03,98,1,0.0,3.0,20220103,2022,6.5,6.7,-4.0,61.4,0.0,-11.9,3,1.0
3,2022-01-04,98,1,0.0,1.4,20220104,2022,0.0,8.6,-3.9,52.9,0.0,-8.0,4,1.2
4,2022-01-05,98,1,0.0,1.9,20220105,2022,5.9,5.3,-5.1,56.8,0.0,-12.2,5,0.7
5,2022-01-06,98,1,0.0,3.9,20220106,2022,0.0,8.6,-3.4,49.4,0.0,-9.2,6,0.8
6,2022-01-07,98,1,0.0,4.9,20220107,2022,0.0,8.6,-3.8,52.4,0.0,-10.7,7,0.8
7,2022-01-08,98,1,0.0,3.0,20220108,2022,6.6,0.0,-2.0,71.1,0.0,-9.0,8,0.7
8,2022-01-09,98,1,0.0,6.1,20220109,2022,0.5,7.9,0.1,70.5,0.0,-4.0,9,0.8
9,2022-01-10,98,1,0.8,4.7,20220110,2022,8.5,5.8,-1.1,70.6,0.0,-7.4,10,1.1
10,2022-01-11,98,1,0.4,-1.8,20220111,2022,0.0,8.7,-8.0,59.5,0.0,-12.0,11,2.7
11,2022-01-12,98,1,0.0,-2.7,20220112,2022,3.1,8.1,-9.4,57.1,0.0,-15.0,12,1.0
12,2022-01-13,98,1,0.0,-2.3,20220113,2022,1.1,8.7,-7.7,49.5,0.0,-11.4,13,2.3
13,2022-01-14,98,1,0.0,0.6,20220114,2022,4.5,8.7,-7.0,48.1,0.0,-13.9,14,0.6
14,2022-01-15,98,1,0.0,1.2,20220115,2022,8.1,0.1,-2.7,57.8,0.0,-8.5,15,0.6
15,2022-01-16,98,1,0.0,1.5,20220116,2022,1.8,8.7,-2.9,52.8,0.0,-8.5,16,2.2
16,2022-01-17,98,1,0.2,-0.9,20220117,2022,2.8,4.9,-7.5,62.9,0.0,-13.1,17,1.3
17,2022-01-18,98,1,0.0,0.2,20220118,2022,1.8,8.7,-7.2,53.1,0.0,-13.5,18,0.9
18,2022-01-19,98,1,2.8,-2.8,20220119,2022,6.8,0.9,-7.2,78.1,0.0,-10.4,19,0.9
19,2022-01-20,98,1,0.0,0.8,20220120,2022,3.6,8.9,-7.8,71.4,0.0,-15.1,20,0.9
20,2022-01-21,98,1,0.0,3.7,20220121,2022,2.3,8.9,-6.1,66.5,0.0,-14.4,21,0.9
21,2022-01-22,98,1,0.0,6.2,20220122,2022,5.5,8.3,-2.7,61.6,0.0,-10.4,22,0.8
22,2022-01-23,98,1,0.0,6.8,20220123,2022,3.8,8.2,0.8,58.8,0.0,-3.5,23,1.0
23,2022-01-24,98,1,0.0,7.8,20220124,2022,4.9,4.6,2.1,65.1,0.0,-2.9,24,1.2
24,2022-01-25,98,1,0.0,3.9,20220125,2022,6.0,0.0,2.2,83.1,0.0,1.1,25,1.0
25,2022-01-26,98,1,0.0,7.0,20220126,2022,2.0,8.6,0.1,61.9,0.0,-4.0,26,1.3
26,2022-01-27,98,1,0.0,4.5,20220127,2022,2.0,8.7,-1.9,52.9,0.0,-6.9,27,1.1
27,2022-01-28,98,1,0.0,3.4,20220128,2022,3.1,8.9,-4.1,55.5,0.0,-9.6,28,1.3
28,2022-01-29,98,1,0.0,2.1,20220129,2022,1.3,9.2,-4.7,50.1,0.0,-10.5,29,1.3
29,2022-01-30,98,1,0.0,3.6,20220130,2022,0.6,9.3,-4.7,49.8,0.0,-12.0,30,1.2
30,2022-01-31,98,1,2.0,5.3,20220131,2022,2.9,8.4,-2.6,63.3,0.0,-10.9,31,1.2
