year,station,내생휴면 해제일,예상 만개일
2004,Cheonan,2004-02-20,2004-04-25
2005,Cheonan,2005-03-08,2005-04-30
2006,Cheonan,2006-02-24,2006-05-05
2007,Cheonan,2007-02-19,2007-04-30
2008,Cheonan,2008-03-09,2008-04-27
2009,Cheonan,2009-02-12,2009-04-27
2010,Cheonan,2010-03-08,2010-05-09
2011,Cheonan,2011-03-06,2011-05-07
2012,Cheonan,2012-03-06,2012-05-01
2013,Cheonan,2013-03-06,2013-05-08
2014,Cheonan,2014-02-19,2014-04-20
2015,Cheonan,2015-02-24,2015-04-27
2016,Cheonan,2016-03-02,2016-04-22
2017,Cheonan,2017-02-25,2017-04-27
2018,Cheonan,2018-03-05,2018-04-26
2019,Cheonan,2019-02-26,2019-05-04
2020,Cheonan,2020-02-11,2020-05-01
2021,Cheonan,2021-02-13,2021-04-21
2022,Cheonan,2022-03-03,2022-04-25
2023,Cheonan,2023-02-23,2023-04-19
2024,Cheonan,2024-02-15,2024-04-19
