year,station,내생휴면 해제일,예상 만개일
2004,Icheon,2004-02-20,2004-04-23
2005,Icheon,2005-03-11,2005-04-30
2006,Icheon,2006-02-22,2006-05-01
2007,Icheon,2007-02-18,2007-05-02
2008,Icheon,2008-03-09,2008-04-28
2009,Icheon,2009-02-24,2009-04-29
2010,Icheon,2010-03-12,2010-05-10
2011,Icheon,2011-03-08,2011-05-08
2012,Icheon,2012-03-04,2012-05-02
2013,Icheon,2013-03-09,2013-05-09
2014,Icheon,2014-02-26,2014-04-21
2015,Icheon,2015-02-28,2015-04-28
2016,Icheon,2016-03-04,2016-04-23
2017,Icheon,2017-02-26,2017-04-26
2018,Icheon,2018-03-06,2018-04-26
2019,Icheon,2019-02-26,2019-05-01
2020,Icheon,2020-02-11,2020-04-28
2021,Icheon,2021-02-14,2021-04-19
2022,Icheon,2022-03-03,2022-04-23
2023,Icheon,2023-02-23,2023-04-18
2024,Icheon,2024-02-16,2024-04-18
