year,station,내생휴면 해제일,예상 만개일
2004,Yeongcheon,2004-02-13,2004-04-18
2005,Yeongcheon,2005-02-12,2005-04-27
2006,Yeongcheon,2006-02-15,2006-04-28
2007,Yeongcheon,2007-01-31,2007-04-21
2008,Yeongcheon,2008-02-21,2008-04-25
2009,Yeongcheon,2009-02-08,2009-04-18
2010,Yeongcheon,2010-02-23,2010-05-04
2011,Yeongcheon,2011-02-24,2011-05-01
2012,Yeongcheon,2012-02-28,2012-04-26
2013,Yeongcheon,2013-02-24,2013-04-28
2014,Yeongcheon,2014-02-01,2014-04-17
2015,Yeongcheon,2015-02-06,2015-04-24
2016,Yeongcheon,2016-02-11,2016-04-17
2017,Yeongcheon,2017-02-04,2017-04-19
2018,Yeongcheon,2018-02-19,2018-04-18
2019,Yeongcheon,2019-01-31,2019-04-18
2020,Yeongcheon,2020-01-31,2020-04-21
2021,Yeongcheon,2021-02-10,2021-04-17
2022,Yeongcheon,2022-02-12,2022-04-19
2023,Yeongcheon,2023-02-08,2023-04-12
2024,Yeongcheon,2024-02-08,2024-04-16
