지점,station,Date,tavg,tmin,tmax,year
710,나주,2010-01-01,-6.4,-12.8,0.1,2010
710,나주,2010-01-02,0.1,-7.9,5.8,2010
710,나주,2010-01-03,-0.5,-4.4,3.7,2010
710,나주,2010-01-04,-0.6,-5.0,5.9,2010
710,나주,2010-01-05,-3.1,-5.2,0.6,2010
710,나주,2010-01-06,-4.4,-7.3,0.1,2010
710,나주,2010-01-07,-3.7,-6.2,0.9,2010
710,나주,2010-01-08,-2.7,-7.1,3.9,2010
710,나주,2010-01-09,-2.4,-7.5,1.7,2010
710,나주,2010-01-10,0.8,-0.6,3.1,2010
710,나주,2010-01-11,0.5,-0.3,3.7,2010
710,나주,2010-01-12,-2.5,-4.5,0.7,2010
710,나주,2010-01-13,-6.6,-9.7,-3.3,2010
710,나주,2010-01-14,-5.3,-11.4,0.4,2010
710,나주,2010-01-15,-1.4,-6.1,5.1,2010
710,나주,2010-01-16,-3.2,-7.3,3.2,2010
710,나주,2010-01-17,-2.9,-9.7,5.9,2010
710,나주,2010-01-18,-0.6,-7.4,9.2,2010
710,나주,2010-01-19,5.1,-5.1,15.4,2010
710,나주,2010-01-20,9.7,6.9,13.2,2010
710,나주,2010-01-21,0.9,-1.5,7.8,2010
710,나주,2010-01-22,-1.4,-3.3,2.5,2010
710,나주,2010-01-23,-1.7,-5.0,1.8,2010
710,나주,2010-01-24,-0.3,-6.2,6.5,2010
710,나주,2010-01-25,-0.7,-3.8,4.7,2010
710,나주,2010-01-26,-1.0,-6.1,5.8,2010
710,나주,2010-01-27,0.9,-6.3,6.9,2010
710,나주,2010-01-28,3.3,-1.6,7.2,2010
710,나주,2010-01-29,-0.4,-4.3,7.4,2010
710,나주,2010-01-30,1.3,-5.0,6.6,2010
710,나주,2010-01-31,5.2,2.1,12.2,2010
710,나주,2010-02-01,2.4,-1.5,8.1,2010
710,나주,2010-02-02,-1.1,-4.5,3.7,2010
710,나주,2010-02-03,-3.9,-7.3,0.9,2010
710,나주,2010-02-04,-2.8,-7.6,4.0,2010
710,나주,2010-02-05,-2.4,-8.2,5.2,2010
710,나주,2010-02-06,-1.5,-7.8,6.8,2010
710,나주,2010-02-07,1.9,-8.0,10.6,2010
710,나주,2010-02-08,6.3,3.8,9.3,2010
710,나주,2010-02-09,8.2,5.7,10.1,2010
710,나주,2010-02-10,6.5,4.7,9.0,2010
710,나주,2010-02-11,4.5,2.6,6.1,2010
710,나주,2010-02-12,1.4,0.1,3.3,2010
710,나주,2010-02-13,-0.3,-2.1,3.1,2010
710,나주,2010-02-14,-0.8,-4.1,2.7,2010
710,나주,2010-02-15,0.0,-2.9,6.7,2010
710,나주,2010-02-16,-1.6,-4.2,4.0,2010
710,나주,2010-02-17,-0.3,-4.9,5.7,2010
710,나주,2010-02-18,-0.9,-5.0,3.4,2010
710,나주,2010-02-19,-0.5,-6.7,7.5,2010
710,나주,2010-02-20,1.8,-6.2,11.7,2010
710,나주,2010-02-21,3.6,-4.5,14.1,2010
710,나주,2010-02-22,4.0,-2.8,13.0,2010
710,나주,2010-02-23,6.8,-2.3,19.2,2010
710,나주,2010-02-24,12.8,1.3,20.0,2010
710,나주,2010-02-25,15.1,13.1,17.7,2010
710,나주,2010-02-26,10.6,9.0,13.1,2010
710,나주,2010-02-27,8.2,6.5,9.4,2010
710,나주,2010-02-28,9.0,6.4,14.6,2010
710,나주,2010-03-01,9.2,6.8,11.4,2010
710,나주,2010-03-02,5.4,1.8,7.2,2010
710,나주,2010-03-03,6.8,1.3,12.7,2010
710,나주,2010-03-04,6.9,4.9,8.3,2010
710,나주,2010-03-05,7.0,5.5,9.0,2010
710,나주,2010-03-06,5.2,4.4,6.7,2010
710,나주,2010-03-07,6.1,3.8,9.8,2010
710,나주,2010-03-08,6.0,-0.3,12.8,2010
