지점,station,Date,tavg,tmin,tmax,year
917,사천,2015-01-01,-3.0,-8.1,1.9,2015
917,사천,2015-01-02,-3.6,-9.6,5.5,2015
917,사천,2015-01-03,-1.3,-10.6,6.3,2015
917,사천,2015-01-04,1.9,-4.3,12.4,2015
917,사천,2015-01-05,4.6,-3.3,11.7,2015
917,사천,2015-01-06,5.7,-1.6,10.7,2015
917,사천,2015-01-07,-0.3,-4.9,7.4,2015
917,사천,2015-01-08,-2.3,-8.8,6.6,2015
917,사천,2015-01-09,-1.4,-8.0,8.3,2015
917,사천,2015-01-10,-0.4,-6.7,9.2,2015
917,사천,2015-01-11,0.7,-6.9,10.4,2015
917,사천,2015-01-12,-0.9,-6.7,6.7,2015
917,사천,2015-01-13,1.0,-4.4,9.6,2015
917,사천,2015-01-14,3.3,0.0,5.2,2015
917,사천,2015-01-15,5.2,-1.8,12.4,2015
917,사천,2015-01-16,2.1,-4.3,9.3,2015
917,사천,2015-01-17,0.5,-5.8,7.3,2015
917,사천,2015-01-18,0.7,-7.4,7.7,2015
917,사천,2015-01-19,4.0,-2.7,10.7,2015
917,사천,2015-01-20,1.3,-3.8,8.9,2015
917,사천,2015-01-21,3.8,1.4,6.9,2015
917,사천,2015-01-22,4.3,1.5,8.2,2015
917,사천,2015-01-23,1.2,-3.7,8.8,2015
917,사천,2015-01-24,0.7,-5.4,10.2,2015
917,사천,2015-01-25,3.4,-2.5,7.0,2015
917,사천,2015-01-26,7.6,2.5,14.2,2015
917,사천,2015-01-27,2.7,-2.5,9.8,2015
917,사천,2015-01-28,1.0,-2.1,6.8,2015
917,사천,2015-01-29,2.6,-0.2,5.0,2015
917,사천,2015-01-30,2.1,-5.1,8.1,2015
917,사천,2015-01-31,-1.2,-8.1,7.0,2015
917,사천,2015-02-01,-1.2,-7.4,8.4,2015
917,사천,2015-02-02,1.4,-4.0,10.1,2015
917,사천,2015-02-03,3.7,-2.9,11.7,2015
917,사천,2015-02-04,2.8,-3.0,10.0,2015
917,사천,2015-02-05,-0.1,-6.0,7.9,2015
917,사천,2015-02-06,0.1,-7.1,9.3,2015
917,사천,2015-02-07,2.3,-4.2,10.1,2015
917,사천,2015-02-08,-1.9,-9.2,4.4,2015
917,사천,2015-02-09,-3.3,-12.0,3.0,2015
917,사천,2015-02-10,3.4,-4.5,10.5,2015
917,사천,2015-02-11,4.7,-3.8,11.2,2015
917,사천,2015-02-12,2.2,-5.2,9.1,2015
917,사천,2015-02-13,-1.0,-8.3,8.0,2015
917,사천,2015-02-14,1.8,-8.0,11.0,2015
917,사천,2015-02-15,3.5,-1.0,6.4,2015
917,사천,2015-02-16,5.2,4.9,5.4,2015
917,사천,2015-02-17,3.9,-1.6,10.8,2015
917,사천,2015-02-18,1.6,-3.6,8.2,2015
917,사천,2015-02-19,2.9,-3.2,12.1,2015
917,사천,2015-02-20,4.7,-2.8,12.4,2015
917,사천,2015-02-21,5.9,4.0,8.2,2015
917,사천,2015-02-22,8.9,1.3,15.8,2015
917,사천,2015-02-23,4.7,-0.8,12.2,2015
917,사천,2015-02-24,4.9,-1.5,14.1,2015
917,사천,2015-02-25,5.6,1.5,12.9,2015
917,사천,2015-02-26,5.4,-2.4,14.1,2015
