지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
900,두서,2004-01-01,3.2,-3.5,9.5
900,두서,2004-01-02,4.9,-1.2,10.5
900,두서,2004-01-03,2.9,-3.5,10.2
900,두서,2004-01-04,2.8,-3.2,10.7
900,두서,2004-01-05,1.4,-4.7,11.7
900,두서,2004-01-06,3.5,-3.6,11.6
900,두서,2004-01-07,5.4,-.7,10.2
900,두서,2004-01-08,2.8,-2.2,8.3
900,두서,2004-01-09,2.3,-4,9.6
900,두서,2004-01-10,4.6,-1.3,9.1
900,두서,2004-01-11,2.5,-2.7,8.3
900,두서,2004-01-12,2.8,-4.9,9.6
900,두서,2004-01-13,-.7,-3.8,3.4
900,두서,2004-01-14,.1,-4,5.1
900,두서,2004-01-15,1.5,-3.4,6.6
900,두서,2004-01-16,1.9,-3.9,4.1
900,두서,2004-01-17,3.9,.9,7
900,두서,2004-01-18,3.1,.2,7.5
900,두서,2004-01-19,1.8,-.5,5
900,두서,2004-01-20,-.7,-4.4,3.6
900,두서,2004-01-21,-6.3,-10.6,0
900,두서,2004-01-22,-7.2,-10.8,-3.2
900,두서,2004-01-23,-2.6,-8.4,1.5
900,두서,2004-01-24,-2.3,-4.7,2
900,두서,2004-01-25,-3.2,-5.8,1
900,두서,2004-01-26,-1.3,-5.8,4
900,두서,2004-01-27,-.4,-3.3,2.7
900,두서,2004-01-28,3.1,-2,8.7
900,두서,2004-01-29,3.1,-3.8,10.8
900,두서,2004-01-30,2.8,-3.9,10.3
900,두서,2004-01-31,2.1,-6.9,14
900,두서,2004-02-01,4.4,-5.6,14.6
900,두서,2004-02-02,4.2,-1.3,8
900,두서,2004-02-03,-.9,-3.2,2.3
900,두서,2004-02-04,.3,-4.1,4.2
900,두서,2004-02-05,-.7,-3.4,2.6
900,두서,2004-02-06,-1.4,-5.6,2.3
900,두서,2004-02-07,-1.1,-4.6,2.7
900,두서,2004-02-08,1.6,-8.2,8.7
900,두서,2004-02-09,1.1,-3.4,7.8
900,두서,2004-02-10,1.2,-7,10.6
900,두서,2004-02-11,3.3,-6,12.7
900,두서,2004-02-12,5.1,-1.5,12.5
900,두서,2004-02-13,5,-4.3,12.4
900,두서,2004-02-14,7.4,2.1,11.7
900,두서,2004-02-15,5.7,.6,11.7
900,두서,2004-02-16,6.2,-2,12.9
900,두서,2004-02-17,9.9,4.2,14.9
900,두서,2004-02-18,6,-4.1,17.2
900,두서,2004-02-19,8.8,-1.6,21.3
900,두서,2004-02-20,8.8,.2,19.5
900,두서,2004-02-21,12.2,4.8,16
900,두서,2004-02-22,12.5,4.9,17.6
900,두서,2004-02-23,4.5,-.3,10.9
900,두서,2004-02-24,6.3,-1.8,13.9
900,두서,2004-02-25,8.6,-.9,15.7
900,두서,2004-02-26,4.4,.1,9.5
900,두서,2004-02-27,3.4,-1.7,10.4
900,두서,2004-02-28,7.2,-2.6,15.3
900,두서,2004-02-29,11,6.8,16.2
900,두서,2004-03-01,6.5,1.1,11.6
900,두서,2004-03-02,3,-.1,6.1
900,두서,2004-03-03,.1,-3.2,6
900,두서,2004-03-04,1.9,-4.6,5.9
900,두서,2004-03-05,6,2.2,11.3
900,두서,2004-03-06,-.4,-3.5,2.5
900,두서,2004-03-07,-.3,-4.9,4.5
900,두서,2004-03-08,4.9,-2.4,11.2
900,두서,2004-03-09,7.9,-1.4,14.9
900,두서,2004-03-10,15.3,9.2,18.5
900,두서,2004-03-11,11.5,7.9,17.6
900,두서,2004-03-12,8.7,2.1,16.4
900,두서,2004-03-13,8.4,1.3,17.8
900,두서,2004-03-14,8.3,1.8,17.3
900,두서,2004-03-16,14.3,3.9,22
900,두서,2004-03-17,12.8,5,19.6
900,두서,2004-03-18,5.5,1,12.1
900,두서,2004-03-19,6.4,-2,13.5
900,두서,2004-03-20,8.5,4.3,16.2
900,두서,2004-03-21,8.8,2.8,15.1
900,두서,2004-03-22,6.7,3.1,11.9
900,두서,2004-03-23,8,.6,16.5
900,두서,2004-03-24,9.4,3,14.9
900,두서,2004-03-25,8.2,4,13.8
900,두서,2004-03-26,9.3,4,15.2
900,두서,2004-03-27,9.2,.7,18.7
900,두서,2004-03-28,12,1.4,22.8
900,두서,2004-03-29,15.3,5.1,23
900,두서,2004-03-30,15.5,8.5,22.7
900,두서,2004-03-31,10.7,5.9,18
900,두서,2004-04-01,9.8,1.4,16.2
900,두서,2004-04-02,11.6,8.3,16.6
900,두서,2004-04-03,7.9,4.1,11.2
900,두서,2004-04-04,8.1,3.1,14.4
900,두서,2004-04-05,10.5,-.1,19.9
900,두서,2004-04-06,12.4,3.2,20.9
900,두서,2004-04-07,9.8,6.6,12.4
900,두서,2004-04-08,11.5,2.9,19.2
900,두서,2004-04-09,15.5,5.2,25.4
900,두서,2004-04-10,16.9,6.2,26.6
900,두서,2004-04-11,17.9,12.1,24.5
900,두서,2004-04-12,15.3,7.5,25
900,두서,2004-04-13,13.1,5.9,21.2
900,두서,2004-04-14,13.3,7,22.4
900,두서,2004-04-15,14.6,4.7,24.6
