지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
900,두서,2024-01-01,4.2,-.4,8.9
900,두서,2024-01-02,5.4,.1,10.9
900,두서,2024-01-03,4.4,2.5,6.8
900,두서,2024-01-04,1.9,-3.7,11.2
900,두서,2024-01-05,2.9,-4.8,12.1
900,두서,2024-01-06,2.3,-3.2,9.7
900,두서,2024-01-07,-.1,-4.1,2.6
900,두서,2024-01-08,-2.3,-8,6.8
900,두서,2024-01-09,.5,-6.3,7.5
900,두서,2024-01-10,3.2,-.1,6.6
900,두서,2024-01-11,2.3,-3.2,11.3
900,두서,2024-01-12,1.9,-3.4,10.7
900,두서,2024-01-13,.6,-4.2,7.5
900,두서,2024-01-14,5.4,-5.9,13.6
900,두서,2024-01-15,2.9,-1.6,9
900,두서,2024-01-16,1.2,-3.9,9.2
900,두서,2024-01-17,4.9,-3.4,10.6
900,두서,2024-01-18,9.3,5.6,14.8
900,두서,2024-01-19,5.5,4.8,6.4
900,두서,2024-01-20,5.9,4.8,6.8
900,두서,2024-01-21,5.3,4.3,6.5
900,두서,2024-01-22,-.7,-6.4,4.4
900,두서,2024-01-23,-6,-8.4,-1.4
900,두서,2024-01-24,-4.9,-7.9,-.9
900,두서,2024-01-25,-2.5,-8.3,2.5
900,두서,2024-01-26,1.3,-3.6,8
900,두서,2024-01-27,2.7,-3.6,10.2
900,두서,2024-01-28,1.9,-1.6,6.5
900,두서,2024-01-29,1.1,-4.8,8.9
900,두서,2024-01-30,3.2,-4.6,11.3
900,두서,2024-01-31,6.7,2.9,15.1
900,두서,2024-02-01,6.1,2.9,8.3
900,두서,2024-02-02,4.5,2.6,7.5
900,두서,2024-02-03,4.8,1.5,7.2
900,두서,2024-02-04,5.5,3.4,7.8
900,두서,2024-02-05,4.7,2.1,6.5
900,두서,2024-02-06,2.9,1.2,4.3
900,두서,2024-02-07,2.4,-.8,7.3
900,두서,2024-02-08,2.9,-2,10.6
900,두서,2024-02-09,3.5,-1.2,10.3
900,두서,2024-02-10,3.1,-2.1,8.8
900,두서,2024-02-11,2.6,-4.8,8.3
900,두서,2024-02-12,3.3,-4.7,12.9
900,두서,2024-02-13,8.7,-1.7,17.3
900,두서,2024-02-14,10.8,5.3,15.8
900,두서,2024-02-15,9.4,2.4,19
900,두서,2024-02-16,3.4,-1.7,9.8
900,두서,2024-02-17,4.4,-4,16.5
900,두서,2024-02-18,8,-3.3,15.3
900,두서,2024-02-19,14.7,11.6,21
900,두서,2024-02-20,7,5.7,13.9
900,두서,2024-02-21,4.9,3.6,6
900,두서,2024-02-22,2.6,1.8,3.9
900,두서,2024-02-23,2,1.3,3.3
900,두서,2024-02-24,3.3,1.7,4.9
900,두서,2024-02-25,4.6,2.4,7.2
900,두서,2024-02-26,4.7,2.5,8.1
900,두서,2024-02-27,2.9,-.8,5.5
900,두서,2024-02-28,3.7,-2.9,10.8
900,두서,2024-02-29,4.2,2.6,7.3
900,두서,2024-03-01,.6,-4.1,4.9
900,두서,2024-03-02,-.1,-5.6,6.4
900,두서,2024-03-03,5.7,-1.7,11.2
900,두서,2024-03-04,6.6,-2,14.5
900,두서,2024-03-05,6.2,4.9,7.7
900,두서,2024-03-06,5.9,4.2,8
900,두서,2024-03-07,4.9,1.5,7.9
900,두서,2024-03-08,4.4,1.1,8.9
900,두서,2024-03-09,2.6,-2.4,10.2
900,두서,2024-03-10,4.2,-4.2,13.5
900,두서,2024-03-11,6.8,-1.8,12.9
900,두서,2024-03-12,5.3,-.2,11.3
900,두서,2024-03-13,5.5,-2.3,14.3
900,두서,2024-03-14,8.1,1.5,16.2
900,두서,2024-03-15,10.5,-1.1,20.1
900,두서,2024-03-16,12.5,5.1,18.9
900,두서,2024-03-17,12.4,6.7,19.5
900,두서,2024-03-18,7.9,1.5,14.2
900,두서,2024-03-19,9.7,5.4,16.4
900,두서,2024-03-20,5,-1.1,9.9
900,두서,2024-03-21,4.4,-2.3,11.1
900,두서,2024-03-22,8.6,-.8,15.5
900,두서,2024-03-23,16.4,10.5,23.7
900,두서,2024-03-24,10.2,9,11.8
900,두서,2024-03-25,9,7.1,10.4
900,두서,2024-03-26,6.7,2.3,9.1
900,두서,2024-03-27,7.7,-.6,15.2
900,두서,2024-03-28,9.5,6.5,12.3
900,두서,2024-03-29,13.6,4.7,19.1
900,두서,2024-03-30,12.3,2.2,18.1
900,두서,2024-03-31,11.3,6.4,19.6
900,두서,2024-04-01,12.6,3.5,23
900,두서,2024-04-02,14.8,5.1,24.4
900,두서,2024-04-03,11.6,10.2,12.8
900,두서,2024-04-04,11.4,9.9,14.1
900,두서,2024-04-05,11.3,6.8,17.5
900,두서,2024-04-06,12.4,5.1,20.5
900,두서,2024-04-07,14.5,6.7,23.3
900,두서,2024-04-08,15.7,7.8,23.4
900,두서,2024-04-09,10.1,4.2,14.7
900,두서,2024-04-10,9.9,2.2,17.9
900,두서,2024-04-11,12.8,6.5,20.6
900,두서,2024-04-12,15.1,6.3,24.7
900,두서,2024-04-13,16.2,7.8,25.9
900,두서,2024-04-14,16.1,6,25.1
900,두서,2024-04-15,14.4,10.8,18
