지점,station,Date,tavg,tmin,tmax,year
900,두서,2019-01-01,0.1,-2.5,3.8,2019
900,두서,2019-01-02,0.6,-3.8,5.1,2019
900,두서,2019-01-03,0.8,-4.2,7.5,2019
900,두서,2019-01-04,2.5,-7.1,10.6,2019
900,두서,2019-01-05,3.4,-1.8,9.5,2019
900,두서,2019-01-06,1.1,-2.9,9.4,2019
900,두서,2019-01-07,1.6,-5.5,7.6,2019
900,두서,2019-01-08,2.2,-2.2,6.6,2019
900,두서,2019-01-09,-1.0,-5.0,5.2,2019
900,두서,2019-01-10,2.8,-3.8,7.4,2019
900,두서,2019-01-11,3.4,-1.7,9.8,2019
900,두서,2019-01-12,4.7,3.1,5.8,2019
900,두서,2019-01-13,4.2,-0.2,10.4,2019
900,두서,2019-01-14,3.3,-2.3,10.8,2019
900,두서,2019-01-15,3.9,-0.9,9.3,2019
900,두서,2019-01-16,-0.8,-5.5,4.7,2019
900,두서,2019-01-17,2.2,-1.3,6.0,2019
900,두서,2019-01-18,3.1,-3.4,11.5,2019
900,두서,2019-01-19,5.3,-2.4,13.5,2019
900,두서,2019-01-20,4.0,-2.0,7.8,2019
900,두서,2019-01-21,2.1,-3.9,8.2,2019
900,두서,2019-01-22,3.4,-3.7,11.3,2019
900,두서,2019-01-23,4.5,-3.4,10.9,2019
900,두서,2019-01-24,1.9,-4.7,10.6,2019
900,두서,2019-01-25,2.1,-2.9,6.2,2019
900,두서,2019-01-26,-0.6,-3.3,4.0,2019
900,두서,2019-01-27,0.0,-7.9,10.8,2019
900,두서,2019-01-28,2.3,-4.6,9.4,2019
900,두서,2019-01-29,1.5,-5.5,10.8,2019
900,두서,2019-01-30,6.4,-3.3,14.6,2019
900,두서,2019-01-31,1.6,-3.0,7.4,2019
900,두서,2019-02-01,-1.0,-4.6,4.9,2019
900,두서,2019-02-02,1.0,-6.6,9.5,2019
900,두서,2019-02-03,9.5,2.5,18.1,2019
900,두서,2019-02-04,4.3,0.1,9.2,2019
900,두서,2019-02-05,3.7,-4.1,12.4,2019
900,두서,2019-02-06,6.6,-1.9,15.9,2019
900,두서,2019-02-07,4.8,-1.1,11.8,2019
900,두서,2019-02-08,-0.1,-3.1,5.5,2019
900,두서,2019-02-09,0.7,-1.9,3.3,2019
900,두서,2019-02-10,1.1,-3.1,5.0,2019
900,두서,2019-02-11,0.9,-3.7,4.9,2019
900,두서,2019-02-12,1.7,-5.1,7.1,2019
900,두서,2019-02-13,2.4,-2.4,6.8,2019
900,두서,2019-02-14,1.5,-2.1,4.6,2019
900,두서,2019-02-15,4.3,-2.6,11.2,2019
900,두서,2019-02-16,1.3,-3.2,4.5,2019
900,두서,2019-02-17,0.7,-4.4,8.7,2019
900,두서,2019-02-18,4.6,-4.3,10.3,2019
900,두서,2019-02-19,4.0,1.4,7.3,2019
900,두서,2019-02-20,3.7,0.1,7.6,2019
900,두서,2019-02-21,3.7,-1.7,11.3,2019
900,두서,2019-02-22,5.2,-1.0,12.7,2019
900,두서,2019-02-23,4.7,-0.9,11.3,2019
900,두서,2019-02-24,5.0,-3.4,15.3,2019
900,두서,2019-02-25,7.2,0.1,16.2,2019
900,두서,2019-02-26,7.7,1.4,14.6,2019
900,두서,2019-02-27,8.4,5.2,12.5,2019
900,두서,2019-02-28,8.4,3.5,13.5,2019
900,두서,2019-03-01,6.6,-0.4,14.6,2019
900,두서,2019-03-02,6.7,-1.4,13.6,2019
900,두서,2019-03-03,9.2,4.3,13.9,2019
900,두서,2019-03-04,9.0,2.5,14.6,2019
900,두서,2019-03-05,9.0,-0.5,16.2,2019
900,두서,2019-03-06,8.2,3.8,12.6,2019
900,두서,2019-03-07,6.8,1.5,10.6,2019
900,두서,2019-03-08,6.4,-1.9,16.0,2019
900,두서,2019-03-09,8.8,-1.5,17.6,2019
900,두서,2019-03-10,7.4,6.4,10.4,2019
900,두서,2019-03-11,8.0,0.5,15.1,2019
900,두서,2019-03-12,8.4,2.8,14.7,2019
900,두서,2019-03-13,4.6,-0.1,9.1,2019
900,두서,2019-03-14,6.0,-0.7,12.8,2019
900,두서,2019-03-15,5.5,-0.2,12.7,2019
900,두서,2019-03-16,6.7,2.6,13.0,2019
900,두서,2019-03-17,7.0,1.1,13.5,2019
900,두서,2019-03-18,8.6,-1.0,15.5,2019
900,두서,2019-03-19,11.7,1.7,20.7,2019
900,두서,2019-03-20,11.6,4.2,18.7,2019
900,두서,2019-03-21,16.2,7.9,21.5,2019
900,두서,2019-03-22,8.2,4.4,13.9,2019
900,두서,2019-03-23,5.7,2.8,11.7,2019
900,두서,2019-03-24,6.0,-0.3,13.7,2019
900,두서,2019-03-25,7.9,0.4,15.7,2019
900,두서,2019-03-26,10.2,1.5,18.7,2019
900,두서,2019-03-27,17.1,2.7,21.6,2019
900,두서,2019-03-28,10.7,9.0,15.7,2019
900,두서,2019-03-29,11.6,4.5,18.3,2019
900,두서,2019-03-30,10.3,5.5,16.1,2019
900,두서,2019-03-31,6.5,3.2,11.0,2019
900,두서,2019-04-01,5.4,0.0,11.1,2019
900,두서,2019-04-02,6.2,-2.4,14.0,2019
900,두서,2019-04-03,7.1,-1.7,14.3,2019
900,두서,2019-04-04,12.4,3.2,20.2,2019
900,두서,2019-04-05,16.5,8.4,22.6,2019
900,두서,2019-04-06,13.3,4.1,21.1,2019
900,두서,2019-04-07,11.0,6.5,17.0,2019
900,두서,2019-04-08,10.5,2.6,20.9,2019
900,두서,2019-04-09,8.1,1.9,14.0,2019
900,두서,2019-04-10,7.7,5.9,9.8,2019
900,두서,2019-04-11,8.0,2.7,12.8,2019
900,두서,2019-04-12,9.6,4.3,17.2,2019
900,두서,2019-04-13,10.8,2.1,18.4,2019
900,두서,2019-04-14,11.8,7.2,16.1,2019
900,두서,2019-04-15,11.0,1.4,20.8,2019
900,두서,2019-04-16,13.5,1.8,24.5,2019
900,두서,2019-04-17,14.9,6.9,23.8,2019
900,두서,2019-04-18,15.9,6.2,25.5,2019
900,두서,2019-04-19,10.5,6.3,15.6,2019
900,두서,2019-04-20,13.4,6.2,21.0,2019
900,두서,2019-04-21,15.9,8.4,24.2,2019
900,두서,2019-04-22,15.3,9.3,23.0,2019
900,두서,2019-04-23,15.0,8.4,21.3,2019
900,두서,2019-04-24,17.7,14.5,21.9,2019
900,두서,2019-04-25,12.7,10.3,17.2,2019
900,두서,2019-04-26,9.5,8.0,11.3,2019
900,두서,2019-04-27,10.7,6.0,16.4,2019
900,두서,2019-04-28,10.8,6.2,18.1,2019
900,두서,2019-04-29,11.0,6.1,12.3,2019
900,두서,2019-04-30,14.0,10.8,18.3,2019
900,두서,2019-05-01,16.0,10.9,23.3,2019
900,두서,2019-05-02,16.2,8.5,24.5,2019
900,두서,2019-05-03,16.2,7.0,25.3,2019
900,두서,2019-05-04,16.9,7.2,26.4,2019
900,두서,2019-05-05,19.6,10.3,28.3,2019
900,두서,2019-05-06,12.2,7.4,17.4,2019
900,두서,2019-05-07,12.8,3.0,21.5,2019
900,두서,2019-05-08,15.4,4.3,23.8,2019
900,두서,2019-05-09,18.2,11.2,25.5,2019
900,두서,2019-05-10,17.1,7.6,26.6,2019
900,두서,2019-05-11,17.7,7.5,27.8,2019
900,두서,2019-05-12,16.1,9.5,23.9,2019
900,두서,2019-05-13,16.4,8.4,23.9,2019
900,두서,2019-05-14,19.8,15.3,25.4,2019
900,두서,2019-05-15,20.3,14.0,26.6,2019
900,두서,2019-05-16,20.1,12.4,27.5,2019
900,두서,2019-05-17,19.8,12.3,25.4,2019
900,두서,2019-05-18,17.2,16.2,18.7,2019
900,두서,2019-05-19,18.2,15.4,21.0,2019
900,두서,2019-05-20,18.9,13.7,23.0,2019
900,두서,2019-05-21,17.6,9.1,25.1,2019
900,두서,2019-05-22,19.4,9.0,27.9,2019
900,두서,2019-05-23,21.2,11.8,29.7,2019
900,두서,2019-05-24,22.9,11.7,33.6,2019
900,두서,2019-05-25,23.8,16.0,31.3,2019
900,두서,2019-05-26,23.4,15.8,30.7,2019
900,두서,2019-05-27,19.7,18.5,22.4,2019
900,두서,2019-05-28,18.1,13.3,23.7,2019
900,두서,2019-05-29,20.8,9.9,29.2,2019
900,두서,2019-05-30,23.3,15.1,29.7,2019
900,두서,2019-05-31,18.8,14.7,24.0,2019
900,두서,2019-06-01,19.6,12.6,26.7,2019
900,두서,2019-06-02,20.2,13.3,28.3,2019
900,두서,2019-06-03,22.3,13.2,30.1,2019
900,두서,2019-06-04,22.9,14.8,30.3,2019
900,두서,2019-06-05,23.2,17.6,30.7,2019
900,두서,2019-06-06,22.3,15.7,29.9,2019
900,두서,2019-06-07,18.3,16.7,19.6,2019
900,두서,2019-06-08,19.3,15.4,24.1,2019
900,두서,2019-06-09,17.2,15.1,19.2,2019
900,두서,2019-06-10,17.4,14.0,20.5,2019
900,두서,2019-06-11,17.9,15.8,21.8,2019
900,두서,2019-06-12,18.9,14.7,23.8,2019
900,두서,2019-06-13,19.2,12.3,25.9,2019
900,두서,2019-06-14,17.6,14.9,22.0,2019
900,두서,2019-06-15,19.7,16.0,25.1,2019
900,두서,2019-06-16,18.4,14.4,24.3,2019
900,두서,2019-06-17,21.4,15.3,28.0,2019
900,두서,2019-06-18,22.6,17.3,28.2,2019
900,두서,2019-06-19,22.7,17.8,28.0,2019
900,두서,2019-06-20,23.8,17.1,30.6,2019
900,두서,2019-06-21,22.4,18.2,28.6,2019
900,두서,2019-06-22,19.6,16.0,23.5,2019
900,두서,2019-06-23,19.0,14.7,22.9,2019
900,두서,2019-06-24,19.9,15.5,25.4,2019
900,두서,2019-06-25,20.8,15.2,26.2,2019
900,두서,2019-06-26,19.3,15.4,22.2,2019
900,두서,2019-06-27,23.5,20.9,28.3,2019
900,두서,2019-06-28,21.8,20.7,23.3,2019
900,두서,2019-06-29,20.4,19.7,21.3,2019
900,두서,2019-06-30,24.2,19.8,29.3,2019
900,두서,2019-07-01,23.2,20.1,27.4,2019
900,두서,2019-07-02,23.5,17.6,28.9,2019
900,두서,2019-07-03,22.8,18.7,28.1,2019
900,두서,2019-07-04,23.6,17.5,30.4,2019
900,두서,2019-07-05,22.8,17.0,29.4,2019
900,두서,2019-07-06,22.1,15.7,27.0,2019
900,두서,2019-07-07,21.0,18.3,24.0,2019
900,두서,2019-07-08,20.9,18.3,24.1,2019
900,두서,2019-07-09,20.6,19.1,22.2,2019
900,두서,2019-07-10,20.9,19.6,22.2,2019
900,두서,2019-07-11,23.9,21.4,28.5,2019
900,두서,2019-07-12,23.6,20.7,28.6,2019
900,두서,2019-07-13,22.1,19.5,25.8,2019
900,두서,2019-07-14,22.7,18.4,27.9,2019
900,두서,2019-07-15,22.4,19.9,25.7,2019
900,두서,2019-07-16,22.5,18.7,27.0,2019
900,두서,2019-07-17,22.7,17.6,28.2,2019
900,두서,2019-07-18,21.7,20.2,23.8,2019
900,두서,2019-07-19,23.2,21.7,24.0,2019
900,두서,2019-07-20,24.0,23.3,24.8,2019
900,두서,2019-07-21,24.7,22.5,27.8,2019
900,두서,2019-07-22,26.8,21.7,33.3,2019
900,두서,2019-07-23,27.5,22.8,32.9,2019
900,두서,2019-07-24,26.9,23.0,31.5,2019
900,두서,2019-07-25,26.8,23.6,29.3,2019
900,두서,2019-07-26,26.6,24.7,28.8,2019
900,두서,2019-07-27,26.8,23.7,29.8,2019
900,두서,2019-07-28,27.4,25.4,31.0,2019
900,두서,2019-07-29,27.3,23.9,32.8,2019
900,두서,2019-07-30,28.1,23.1,32.8,2019
900,두서,2019-07-31,29.2,24.7,33.7,2019
900,두서,2019-08-01,28.5,23.0,35.5,2019
900,두서,2019-08-02,28.2,23.8,34.8,2019
900,두서,2019-08-03,27.7,22.9,33.1,2019
900,두서,2019-08-04,27.5,21.9,33.7,2019
900,두서,2019-08-05,27.3,21.8,33.7,2019
900,두서,2019-08-06,25.0,22.6,27.6,2019
900,두서,2019-08-07,26.9,23.3,32.7,2019
900,두서,2019-08-08,27.2,22.8,33.4,2019
900,두서,2019-08-09,27.5,22.7,34.1,2019
900,두서,2019-08-10,26.2,21.9,30.4,2019
900,두서,2019-08-11,27.3,24.7,30.3,2019
900,두서,2019-08-12,28.3,24.2,32.5,2019
900,두서,2019-08-13,27.9,22.9,32.7,2019
900,두서,2019-08-14,27.1,25.6,28.9,2019
900,두서,2019-08-15,26.3,25.3,27.8,2019
900,두서,2019-08-16,27.1,22.3,31.9,2019
900,두서,2019-08-17,25.9,19.7,32.5,2019
900,두서,2019-08-18,26.4,22.6,30.5,2019
900,두서,2019-08-19,25.5,22.9,29.7,2019
900,두서,2019-08-20,25.2,23.4,28.5,2019
900,두서,2019-08-21,25.0,23.4,27.4,2019
900,두서,2019-08-22,24.9,21.9,28.9,2019
900,두서,2019-08-23,23.1,19.1,28.9,2019
