year,station,내생휴면 해제일,예상 만개일
2004,wanju,2004-02-17,2004-04-21
2005,wanju,2005-03-09,2005-04-29
2006,wanju,2006-02-18,2006-05-01
2007,wanju,2007-02-06,2007-04-22
2008,wanju,2008-02-29,2008-04-22
2009,wanju,2009-02-07,2009-04-20
2010,wanju,2010-02-24,2010-05-03
2011,wanju,2011-02-26,2011-05-05
2012,wanju,2012-03-01,2012-05-02
2013,wanju,2013-03-01,2013-05-05
2014,wanju,2014-02-12,2014-04-18
2015,wanju,2015-02-14,2015-04-22
2016,wanju,2016-02-18,2016-04-15
2017,wanju,2017-02-16,2017-04-25
2018,wanju,2018-02-25,2018-04-21
2019,wanju,2019-02-20,2019-04-27
2020,wanju,2020-01-31,2020-04-27
2021,wanju,2021-02-10,2021-04-12
2022,wanju,2022-02-13,2022-04-21
2023,wanju,2023-02-08,2023-04-16
2024,wanju,2024-02-09,2024-04-14
