지점,station,Date,tavg,tmin,tmax,year
734,완주,2019-01-01,-2.3,-7.3,1.7,2019
734,완주,2019-01-02,-3.7,-9.5,3.7,2019
734,완주,2019-01-03,-3.3,-9.8,6.1,2019
734,완주,2019-01-04,-1.9,-9.2,4.6,2019
734,완주,2019-01-05,-1.3,-7.7,5.7,2019
734,완주,2019-01-06,-3.4,-8.8,4.3,2019
734,완주,2019-01-07,-2.3,-8.4,5.6,2019
734,완주,2019-01-08,-1.6,-7.1,4.2,2019
734,완주,2019-01-09,-4.5,-9.6,2.2,2019
734,완주,2019-01-10,-1.3,-5.8,3.5,2019
734,완주,2019-01-11,2.8,-5.8,9.7,2019
734,완주,2019-01-12,3.2,0.3,8.6,2019
734,완주,2019-01-13,0.5,-3.8,7.1,2019
734,완주,2019-01-14,-0.1,-6.5,7.9,2019
734,완주,2019-01-15,-0.3,-4.8,6.0,2019
734,완주,2019-01-16,-4.0,-9.9,2.1,2019
734,완주,2019-01-17,-1.5,-5.2,3.3,2019
734,완주,2019-01-18,-0.2,-5.2,7.5,2019
734,완주,2019-01-19,2.4,-3.6,8.8,2019
734,완주,2019-01-20,0.0,-7.6,5.4,2019
734,완주,2019-01-21,-1.4,-9.0,5.2,2019
734,완주,2019-01-22,-0.2,-6.5,8.3,2019
734,완주,2019-01-23,0.0,-6.3,8.5,2019
734,완주,2019-01-24,-2.2,-8.9,7.4,2019
734,완주,2019-01-25,-2.5,-7.7,5.0,2019
734,완주,2019-01-26,-4.2,-10.8,3.4,2019
734,완주,2019-01-27,-2.3,-10.0,5.8,2019
734,완주,2019-01-28,1.8,-5.9,7.6,2019
734,완주,2019-01-29,-1.6,-8.9,7.7,2019
734,완주,2019-01-30,0.7,-6.8,9.8,2019
734,완주,2019-01-31,-1.8,-8.9,1.7,2019
734,완주,2019-02-01,-3.3,-9.8,2.7,2019
734,완주,2019-02-02,2.1,-5.3,8.7,2019
734,완주,2019-02-03,6.4,3.1,11.3,2019
734,완주,2019-02-04,1.0,-4.2,6.7,2019
734,완주,2019-02-05,2.9,-4.9,13.1,2019
734,완주,2019-02-06,5.9,-1.0,13.8,2019
734,완주,2019-02-07,1.4,-6.0,5.9,2019
734,완주,2019-02-08,-2.8,-7.5,3.3,2019
734,완주,2019-02-09,-2.5,-5.6,2.5,2019
734,완주,2019-02-10,-2.2,-6.8,2.5,2019
734,완주,2019-02-11,-2.8,-8.5,4.1,2019
734,완주,2019-02-12,-1.2,-8.2,5.9,2019
734,완주,2019-02-13,-0.4,-6.7,5.4,2019
734,완주,2019-02-14,0.3,-3.5,6.9,2019
734,완주,2019-02-15,0.5,-3.4,4.7,2019
734,완주,2019-02-16,-1.4,-6.4,3.1,2019
734,완주,2019-02-17,-2.3,-8.3,6.1,2019
734,완주,2019-02-18,1.0,-6.3,7.8,2019
734,완주,2019-02-19,2.3,-1.6,4.4,2019
