year,station,내생휴면 해제일,예상 만개일
2004,Cheonan,2004-02-15,2004-04-25
2005,Cheonan,2005-02-15,2005-04-30
2006,Cheonan,2006-02-15,2006-05-05
2007,Cheonan,2007-02-15,2007-04-30
2008,Cheonan,2008-02-15,2008-04-25
2009,Cheonan,2009-02-12,2009-04-28
2010,Cheonan,2010-02-15,2010-05-05
2011,Cheonan,2011-02-15,2011-05-06
2012,Cheonan,2012-02-15,2012-05-01
2013,Cheonan,2013-02-15,2013-05-08
2014,Cheonan,2014-02-15,2014-04-21
2015,Cheonan,2015-02-15,2015-04-28
2016,Cheonan,2016-02-15,2016-04-24
2017,Cheonan,2017-02-15,2017-04-28
2018,Cheonan,2018-02-15,2018-04-24
2019,Cheonan,2019-02-15,2019-05-04
2020,Cheonan,2020-02-13,2020-05-01
2021,Cheonan,2021-02-13,2021-04-21
2022,Cheonan,2022-02-15,2022-04-24
2023,Cheonan,2023-02-15,2023-04-19
2024,Cheonan,2024-02-15,2024-04-20
