year,station,내생휴면 해제일,예상 만개일
2004,Icheon,2004-02-15,2004-04-23
2005,Icheon,2005-02-15,2005-04-29
2006,Icheon,2006-02-15,2006-05-02
2007,Icheon,2007-02-15,2007-05-02
2008,Icheon,2008-02-15,2008-04-28
2009,Icheon,2009-02-15,2009-04-29
2010,Icheon,2010-02-15,2010-05-08
2011,Icheon,2011-02-15,2011-05-08
2012,Icheon,2012-02-15,2012-05-02
2013,Icheon,2013-02-15,2013-05-09
2014,Icheon,2014-02-15,2014-04-22
2015,Icheon,2015-02-15,2015-04-28
2016,Icheon,2016-02-15,2016-04-24
2017,Icheon,2017-02-15,2017-04-27
2018,Icheon,2018-02-15,2018-04-26
2019,Icheon,2019-02-15,2019-04-30
2020,Icheon,2020-02-13,2020-04-29
2021,Icheon,2021-02-15,2021-04-20
2022,Icheon,2022-02-15,2022-04-23
2023,Icheon,2023-02-15,2023-04-18
2024,Icheon,2024-02-15,2024-04-18
