station,year,Date
Icheon,2004,2004-04-23
Icheon,2005,2005-04-28
Icheon,2006,2006-05-01
Icheon,2007,2007-05-03
Icheon,2008,2008-04-23
Icheon,2009,2009-04-28
Icheon,2010,2010-05-07
Icheon,2011,2011-05-05
Icheon,2012,2012-04-30
Icheon,2013,2013-05-06
Icheon,2014,2014-04-21
Icheon,2015,2015-04-27
Icheon,2016,2016-04-23
Icheon,2017,2017-04-26
Icheon,2018,2018-04-22
Icheon,2019,2019-05-02
Icheon,2020,2020-04-30
Icheon,2021,2021-04-23
Icheon,2022,2022-04-23
Icheon,2023,2023-04-20
Icheon,2024,2024-04-21
