,year,first_date_over_dvr1_2,mdvr
0,2004,2004-02-15,2004-04-19
0,2005,2005-02-15,2005-04-26
0,2006,2006-02-15,2006-04-27
0,2007,2007-02-15,2007-04-27
0,2008,2008-02-15,2008-04-21
0,2009,2009-02-15,2009-04-22
0,2010,2010-02-15,2010-05-04
0,2011,2011-02-15,2011-05-02
0,2012,2012-02-15,2012-04-28
0,2013,2013-02-15,2013-05-04
0,2014,2014-02-15,2014-04-17
0,2015,2015-02-15,2015-04-24
0,2016,2016-02-15,2016-04-18
0,2017,2017-02-15,2017-04-22
0,2018,2018-02-15,2018-04-20
0,2019,2019-02-15,2019-04-24
0,2020,2020-02-15,2020-04-22
0,2021,2021-02-15,2021-04-15
0,2022,2022-02-15,2022-04-19
0,2023,2023-02-15,2023-04-13
0,2024,2024-02-15,2024-04-15
