date,tavg,tmax,tmin,year
2018-01-01,-4,3.6,-11.1,2018
2018-01-02,-4.2,3.1,-10.2,2018
2018-01-03,-4.7,1,-10.6,2018
2018-01-04,-6.5,-1.6,-12.2,2018
2018-01-05,-5.1,1.3,-10.1,2018
2018-01-06,-5.3,3.2,-12.6,2018
2018-01-07,-4.7,1.8,-12.3,2018
2018-01-08,0.3,3.8,-1.3,2018
2018-01-09,-4.1,-0.7,-8.1,2018
2018-01-10,-8.2,-4.1,-14.2,2018
2018-01-11,-10.8,-6.1,-17,2018
2018-01-12,-13.4,-6.3,-21.7,2018
2018-01-13,-7.1,-3.6,-11.2,2018
2018-01-14,-4.1,4.6,-13.5,2018
2018-01-15,2.7,8.6,-2.2,2018
2018-01-16,-0.3,3.4,-4.7,2018
2018-01-17,2.4,6.6,-0.1,2018
2018-01-18,1.5,5.7,-2.1,2018
2018-01-19,-0.8,5.7,-5.5,2018
2018-01-20,-1.3,5.9,-6.7,2018
2018-01-21,-2.7,5.2,-7.1,2018
2018-01-22,-0.2,5.2,-3.8,2018
2018-01-23,-9.2,-2.5,-13.7,2018
2018-01-24,-13.6,-9.6,-17,2018
2018-01-25,-13.8,-7.9,-19.4,2018
2018-01-26,-14.8,-9.4,-19.2,2018
2018-01-27,-12.5,-4.1,-20.4,2018
2018-01-28,-5.7,0.4,-9.7,2018
2018-01-29,-9.8,-4.2,-15,2018
2018-01-30,-7.8,-0.2,-17,2018
2018-01-31,-2.3,1.4,-6.8,2018
2018-02-01,-6.3,2.3,-14.7,2018
2018-02-02,-5.7,3.7,-14,2018
2018-02-03,-6.6,-2.7,-11.1,2018
2018-02-04,-11.1,-4.8,-17.4,2018
2018-02-05,-10.8,-4.6,-18.2,2018
2018-02-06,-11.2,-5,-18.7,2018
2018-02-07,-11,-2.1,-19.8,2018
2018-02-08,-8.5,1.8,-17.4,2018
2018-02-09,-3.8,5.2,-12.4,2018
2018-02-10,-1,5.9,-7.6,2018
2018-02-11,-8.1,-2.2,-14.8,2018
2018-02-12,-8.1,-2.1,-16.6,2018
2018-02-13,-3.8,4.1,-13.7,2018
2018-02-14,3.1,10,-4.7,2018
2018-02-15,-0.6,5.9,-6.7,2018
2018-02-16,-2.7,5.8,-10.5,2018
2018-02-17,-3.3,2.3,-9.4,2018
2018-02-18,-2.7,4.5,-8.6,2018
