기상모니터링 기상통계,,,,,,,,,,
지역명 :,경기이천(배),,,,,,,,,
통계구분 :,기간,,,,,,,,,
기간 :,2019-12-01~2019-12-31,,,,,,,,,
일자,기온(Temperature),,,,습도,강우량,일사량,결로시간,풍속,
,,,,,(%),(mm),(MJ/m2),(min),(m/s),
,평균,표준편차,최고,최저,,,,,평균,최대
2019-12-01,3.3,-,6,-0.2,88.2,5,2.1,753,0,1.6
2019-12-02,0.8,-,5.1,-4.1,63,0,11.1,379,1.3,4.6
2019-12-03,-2.1,-,3,-8.1,87.1,0,5.6,666,0.3,3
2019-12-04,1.7,-,7.2,-2.5,80.7,1,8.6,568,0.3,3.8
2019-12-05,-2.7,-,1.7,-9.1,44.9,0,11.1,0,1.2,4.7
2019-12-06,-7.7,-,-0.2,-13.7,63.2,0,11.8,0,0.1,2.5
2019-12-07,-5.7,-,-0.4,-11.4,78.1,0,3.2,0,0,0
2019-12-08,-4.5,-,4.8,-10.3,81,0,9.7,12,0.1,1.9
2019-12-09,-2.1,-,6.7,-8.4,81.4,0,5.4,32,0,0
2019-12-10,3.7,-,12.5,-2.8,87.2,0,5.5,559,0.2,2.6
2019-12-11,3.5,-,9.2,-2.4,79,0.5,2.7,442,1.5,5
2019-12-12,-1.5,-,4.3,-6.9,57.9,0,10.5,0,0.8,3.1
2019-12-13,-2.1,-,6.5,-9.8,69.4,0,9.6,95,0.2,3.1
2019-12-14,1.7,-,6.6,-2.8,69.4,0,9.9,518,0.5,3.1
2019-12-15,1.3,-,12.5,-6,79.1,0,10,76,0,0
2019-12-16,3.7,-,14.3,-3,81.4,0,8.8,179,0,0
2019-12-17,5.9,-,9.7,2.7,94.4,4,0.9,1035,0.5,2.4
2019-12-18,1.1,-,5.3,-1.6,84.1,0,5.6,46,0.6,3.3
2019-12-19,-1.6,-,4.6,-6.2,67.8,0,10.4,2,0.5,3.5
2019-12-20,-2,-,3.9,-6.7,68.6,0,9.8,0,0.6,3.6
2019-12-21,-3.9,-,3.4,-9.6,79.8,0,5.4,0,0,1.1
2019-12-22,0.7,-,7.9,-3.9,79.7,0,7.1,0,0.1,1.7
2019-12-23,1.8,-,6,-2.9,90.5,2,3.9,701,0.2,2.5
2019-12-24,-2.7,-,-0.6,-5.5,98.8,0,1.8,232,0.1,1.2
2019-12-25,-1.7,-,4.4,-4.7,91.5,0,5.6,61,0.2,1.7
2019-12-26,-0.3,-,1.6,-2.5,90.9,2,1.3,581,0.2,2.1
2019-12-27,-3.1,-,3.1,-8.8,68,1,10.9,95,0.4,3.3
2019-12-28,-3.4,-,6.3,-9.7,77,0,10.6,0,0,0
2019-12-29,-1.1,-,3.9,-6.5,88.8,3.5,3.2,622,0,0
2019-12-30,2.3,-,5.9,-3.6,88.5,1.5,2.1,1115,1,4.3
2019-12-31,-7.1,-,-3,-11.5,53.9,0,11.1,0,1.5,4.5
