기상모니터링 기상통계,,,,,,,,,,
지역명 :,경기이천(배),,,,,,,,,
통계구분 :,기간,,,,,,,,,
기간 :,2020-05-01~2020-06-30,,,,,,,,,
일자,기온(Temperature),,,,습도,강우량,일사량,결로시간,풍속,
,,,,,(%),(mm),(MJ/m2),(min),(m/s),
,평균,표준편차,최고,최저,,,,,평균,최대
2020-05-01,20,-,29.6,11.5,75.2,0,21.3,160,1,3.6
2020-05-02,20.4,-,26.8,15.6,81.2,0,10.7,560,0.6,3.8
2020-05-03,19.2,-,24.4,15.2,80.6,0,14,737,0.8,3
2020-05-04,19.8,-,27.1,12.2,71,0,20.9,482,1.3,4.2
2020-05-05,14.7,-,22.7,10.2,84.7,7.5,9,1013,0.8,4.3
2020-05-06,17.1,-,27,10.3,71,0,22.9,613,0.8,2.9
2020-05-07,19.1,-,26.9,7.7,39.5,0,24.2,0,1,3.8
2020-05-08,18.5,-,25.6,9.9,39.6,2,22.4,228,0.8,3.5
2020-05-09,15.1,-,17.9,12.1,95.3,17.5,2.4,1361,0.9,3.1
2020-05-10,14.5,-,18.6,12,89.9,1.5,5,640,1.1,3.2
2020-05-11,17.5,-,23.6,12.4,66.2,0,21.6,8,1.6,5
2020-05-12,14.9,-,20.6,8.8,71,0.5,20.8,536,1.7,5.2
2020-05-13,14.9,-,23.2,6.2,58.3,0,28.4,9,1.6,5.2
2020-05-14,17.3,-,26.8,7.5,56.1,0,22.2,135,0.4,2.2
2020-05-15,15.4,-,16.9,13.6,87.6,15.5,2.1,1315,0.9,2.9
2020-05-16,17.4,-,22.7,14.6,88.8,0,10.9,713,0.5,2.2
2020-05-17,20.6,-,27.4,15.9,78.8,0,23.4,355,0.6,2.5
2020-05-18,19.8,-,27.1,13.4,81.9,30,19,491,1.2,5
2020-05-19,12.2,-,16,7.4,89.4,12.5,7.9,785,0.5,4
2020-05-20,11.8,-,18.9,5.7,79,0,20.3,11,0.6,2.5
2020-05-21,15.5,-,22.8,6.5,70.1,0,24.6,183,0.3,2
2020-05-22,17.7,-,24.4,11.6,76.9,0,16.7,48,0.6,3.4
2020-05-23,20.1,-,26.5,14.6,68.7,0,24.5,0,0.8,3.1
2020-05-24,18.7,-,22.5,13.8,79.4,5.5,18,190,1.4,4.1
2020-05-25,15.6,-,20.4,11.5,86.1,0,10,0,0.2,2
2020-05-26,17.1,-,25,11.4,76.3,0.5,20.8,188,0.6,3.5
2020-05-27,17.5,-,25.7,10.2,69.6,0,27.3,332,0.6,4.2
2020-05-28,17.6,-,25.1,10.4,70.6,0,23.2,326,0.5,2.7
2020-05-29,19.3,-,27.7,11.2,70.9,0,28.5,418,0.6,2.7
2020-05-30,21.7,-,30.5,12,63.8,0,28.3,389,0.6,2.6
2020-05-31,21.1,-,29.4,13.1,65.6,0,22.1,389,0.8,3.4
2020-06-01,19.8,-,25.6,12,64,0,27.1,492,1.6,5.8
2020-06-02,17.3,-,25.6,10.3,69.5,1,11.6,573,0.8,4.9
2020-06-03,22,-,28.6,17.1,77.2,1,22.3,546,0.7,2.8
2020-06-04,23.9,-,30.5,17.7,74,0,23.3,35,1.1,3.3
2020-06-05,23.4,-,30.4,17.9,71.8,0,22.2,570,0.6,2.4
2020-06-06,24.2,-,32,15.5,63.2,0,25.5,155,0.9,2.6
2020-06-07,23.2,-,29.5,17.2,64.1,0,21.1,113,0.7,2.9
2020-06-08,24.7,-,32.6,16.9,71.8,0,25.5,382,0.5,2.2
2020-06-09,25.6,-,34.9,16.8,65.2,0,26.7,222,0.6,2.8
2020-06-10,25.5,-,33.8,17.4,67.7,13,23.2,358,0.7,4.6
2020-06-11,25.8,-,32.7,21.4,78.1,1,22,424,0.7,3.3
2020-06-12,23.6,-,28.8,19.4,85.3,1,9.7,484,0,0.8
2020-06-13,26.2,-,33.6,20.1,73.6,1.5,27.4,607,0.9,3.2
2020-06-14,24.2,-,28.5,18.8,79.3,3,18,565,1.5,5
2020-06-15,22,-,28.9,15,69.8,0,23.5,0,1,5.2
2020-06-16,22.7,-,30.3,15.3,71.9,0,23.6,34,0.3,2.1
2020-06-17,23.3,-,30.1,16.5,71.1,0,20.9,10,0.7,3.8
2020-06-18,21.3,-,25.7,17.4,78,0,10.4,108,0.3,2.2
2020-06-19,23.4,-,30.6,17.7,73.1,0,21.1,437,0.7,2.6
2020-06-20,24,-,30.9,17.2,74,0,24.4,143,0.6,2.7
2020-06-21,25.3,-,33,17.9,69.4,0,25.9,208,0.4,2.3
2020-06-22,26.6,-,35.4,18,67.7,0,27.7,140,0.4,2.7
2020-06-23,26,-,32.6,19.6,68.6,0,18.7,0,0.4,2.5
2020-06-24,21.8,-,25.9,19.9,84.2,9,3.8,897,0.5,2.3
2020-06-25,22,-,24.5,20.3,87.7,2.5,6.6,706,1.1,3
2020-06-26,22.2,-,27,18.8,81.3,1.5,16.1,536,1.5,3.9
2020-06-27,23.5,-,30,18.6,76.8,0,18,0,0.4,2.5
2020-06-28,24.3,-,30.4,18.2,73.6,0,23.4,0,0.8,3.2
2020-06-29,21.8,-,27.5,16,84.7,14,9.9,418,0.6,2.4
2020-06-30,20.3,-,23.9,17.5,87.9,22,6.8,833,1.2,3.4
