기상모니터링 기상통계,,,,,,,,,,
지역명 :,경기이천(배),,,,,,,,,
통계구분 :,기간,,,,,,,,,
기간 :,2018-01-01~2018-02-28,,,,,,,,,
일자,기온(Temperature),,,,습도,강우량,일사량,결로시간,풍속,
,,,,,(%),(mm),(MJ/m2),(min),(m/s),
,평균,표준편차,최고,최저,,,,,평균,최대
2018-01-01,-4,-,3.6,-11.1,64.7,0,24.2,,0.7,3.7
2018-01-02,-4.2,-,3.1,-10.2,69.7,0,15,,0.7,3
2018-01-03,-4.7,-,1,-10.6,51.9,0,23.6,,1,3.2
2018-01-04,-6.5,-,-1.6,-12.2,67.2,0,20.1,,0.5,2
2018-01-05,-5.1,-,1.3,-10.1,73.8,0,22,,1,4.6
2018-01-06,-5.3,-,3.2,-12.6,69.8,0,25,,0.6,2.2
2018-01-07,-4.7,-,1.8,-12.3,71.1,0,12.2,,0.5,1.8
2018-01-08,0.3,-,3.8,-1.3,72.3,0,9.3,,1.2,4.5
2018-01-09,-4.1,-,-0.7,-8.1,69.9,0.5,18.5,,1.8,5.7
2018-01-10,-8.2,-,-4.1,-14.2,82,0,11.7,,1,4.6
2018-01-11,-10.8,-,-6.1,-17,56.9,0,27.3,,1.7,5.3
2018-01-12,-13.4,-,-6.3,-21.7,64.5,0,27.8,,0.7,3.1
2018-01-13,-7.1,-,-3.6,-11.2,81.7,0,7.4,,0.4,1.2
2018-01-14,-4.1,-,4.6,-13.5,78.1,2.5,21.8,,0.4,2
2018-01-15,2.7,-,8.6,-2.2,74.4,0,19.2,,1,3.6
2018-01-16,-0.3,-,3.4,-4.7,88.2,0,5.9,,0.5,2.2
2018-01-17,2.4,-,6.6,-0.1,92.3,3,12.3,,0.6,1.9
2018-01-18,1.5,-,5.7,-2.1,78.6,0,13,,0.7,3
2018-01-19,-0.8,-,5.7,-5.5,68.3,0,24.3,,0.7,2.7
2018-01-20,-1.3,-,5.9,-6.7,80.3,0,14.1,,0.5,2.7
2018-01-21,-2.7,-,5.2,-7.1,77,0,17.6,,0.4,1.6
2018-01-22,-0.2,-,5.2,-3.8,77.9,2.5,9.9,,1,3.8
2018-01-23,-9.2,-,-2.5,-13.7,44.6,0,28.7,,2.9,6.5
2018-01-24,-13.6,-,-9.6,-17,34.7,0,29.4,,2.3,6.9
2018-01-25,-13.8,-,-7.9,-19.4,45.7,0,26.7,0,1.5,4.4
2018-01-26,-14.8,-,-9.4,-19.2,45.9,0,29.4,,1.3,4.1
2018-01-27,-12.5,-,-4.1,-20.4,58.9,0,30,,0.6,2.4
2018-01-28,-5.7,-,0.4,-9.7,45.4,0,25.4,,1.4,4.1
2018-01-29,-9.8,-,-4.2,-15,49.3,0,29.1,,1.6,5.1
2018-01-30,-7.8,-,-0.2,-17,67.3,0,27.1,,0.9,4.6
2018-01-31,-2.3,-,1.4,-6.8,55.7,0,15.2,,1.1,3
2018-02-01,-6.3,-,2.3,-14.7,57.3,0,32.4,,0.8,2.6
2018-02-02,-5.7,-,3.7,-14,60.8,0,29.7,,0.6,3.2
2018-02-03,-6.6,-,-2.7,-11.1,55.5,0,30.6,,2,4.5
2018-02-04,-11.1,-,-4.8,-17.4,53.4,0,31.3,,1.3,4.1
2018-02-05,-10.8,-,-4.6,-18.2,48.3,0,32.8,,1.5,4.6
2018-02-06,-11.2,-,-5,-18.7,48.6,0,32.2,,1.4,4.1
2018-02-07,-11,-,-2.1,-19.8,51.3,0,31.9,0,0.7,2.6
2018-02-08,-8.5,-,1.8,-17.4,55.8,0,30.6,0,0.6,1.9
2018-02-09,-3.8,-,5.2,-12.4,53.9,0,14.6,0,0.6,2.2
2018-02-10,-1,-,5.9,-7.6,60.6,0,22,0,1.4,5.3
2018-02-11,-8.1,-,-2.2,-14.8,61.6,0,25.8,0,1.3,5.5
2018-02-12,-8.1,-,-2.1,-16.6,56.1,0.5,28.2,155,1.8,5.2
2018-02-13,-3.8,-,4.1,-13.7,68.8,0.5,35.3,189,1.4,5.6
2018-02-14,3.1,-,10,-4.7,61.4,0,19.7,0,2.4,5.9
2018-02-15,-0.6,-,5.9,-6.7,44.4,0,34,0,1.1,3.8
2018-02-16,-2.7,-,5.8,-10.5,58.1,0,31.2,0,1.1,3.7
2018-02-17,-3.3,-,2.3,-9.4,37.7,0,36.1,0,1.6,5.2
2018-02-18,-2.7,-,4.5,-8.6,47.9,0,22.4,0,0.5,1.7
2018-02-19,-1.2,-,7.2,-9.6,59.4,0,24.1,0,0.5,2.8
2018-02-20,-0.6,-,6.8,-8.8,55.4,0,29.1,44,1.2,4.8
2018-02-21,-2,-,4.5,-8.7,36,0,31.3,0,1.1,4.2
2018-02-22,-2.7,-,6,-10.2,69.7,0,25.7,541,1,4.8
2018-02-23,3.7,-,8.7,-2.8,73.3,2,20.7,632,2,5.1
2018-02-24,3.5,-,9,-4.2,56.7,0,28.4,105,1.2,3.7
2018-02-25,0.8,-,9.1,-4.9,50.3,0,29.4,0,1,3.5
2018-02-26,0.2,-,10.4,-9.3,53.3,0,39.2,0,0.7,2.9
2018-02-27,0.3,-,7,-7.3,63.9,0,11.5,0,0.5,1.7
2018-02-28,3,-,8.7,-0.9,82.5,34.5,3.5,443,1.7,5.1
