year,station,내생휴면 해제일,예상 만개일
2004,Sangju,2004-02-15,2004-04-18
2005,Sangju,2005-02-15,2005-04-27
2006,Sangju,2006-02-15,2006-04-28
2007,Sangju,2007-02-05,2007-04-25
2008,Sangju,2008-02-15,2008-04-22
2009,Sangju,2009-02-11,2009-04-19
2010,Sangju,2010-02-15,2010-05-06
2011,Sangju,2011-02-15,2011-05-02
2012,Sangju,2012-02-15,2012-04-29
2013,Sangju,2013-02-15,2013-05-04
2014,Sangju,2014-02-15,2014-04-19
2015,Sangju,2015-02-15,2015-04-24
2016,Sangju,2016-02-15,2016-04-18
2017,Sangju,2017-02-15,2017-04-19
2018,Sangju,2018-02-15,2018-04-17
2019,Sangju,2019-02-12,2019-04-22
2020,Sangju,2020-02-10,2020-04-21
2021,Sangju,2021-02-12,2021-04-17
2022,Sangju,2022-02-15,2022-04-18
2023,Sangju,2023-02-12,2023-04-13
2024,Sangju,2024-02-13,2024-04-16
