year,station,dvs,mdvr,cd,obj
2004,Yeongcheon,1900-04-10,1900-04-15,1900-04-18,
2005,Yeongcheon,1900-04-17,1900-04-22,1900-04-27,
2006,Yeongcheon,1900-04-15,1900-04-23,1900-04-29,
2007,Yeongcheon,1900-04-12,1900-04-20,1900-04-22,
2008,Yeongcheon,1900-04-16,1900-04-21,1900-04-26,
2009,Yeongcheon,1900-04-04,1900-04-17,1900-04-18,
2010,Yeongcheon,1900-04-19,1900-04-29,1900-05-04,
2011,Yeongcheon,1900-04-19,1900-04-24,1900-05-01,
2012,Yeongcheon,1900-04-13,1900-04-22,1900-04-26,
2013,Yeongcheon,1900-04-12,1900-04-22,1900-04-29,
2014,Yeongcheon,1900-04-09,1900-04-15,1900-04-19,
2015,Yeongcheon,1900-04-15,1900-04-20,1900-04-24,
2016,Yeongcheon,1900-04-08,1900-04-15,1900-04-17,
2017,Yeongcheon,1900-04-08,1900-04-16,1900-04-19,
2018,Yeongcheon,1900-04-06,1900-04-12,1900-04-18,
2019,Yeongcheon,1900-04-06,1900-04-16,1900-04-18,
2020,Yeongcheon,1900-03-30,1900-04-19,1900-04-22,
2021,Yeongcheon,1900-03-28,1900-04-14,1900-04-16,
2022,Yeongcheon,1900-04-09,1900-04-15,1900-04-19,
2023,Yeongcheon,1900-03-31,1900-04-10,1900-04-13,
2024,Yeongcheon,1900-04-04,1900-04-14,1900-04-17,
2024,yoengcheon,,,,1900-04-09
2023,yoengcheon,,,,1900-04-05
2022,yoengcheon,,,,1900-04-12
2021,yoengcheon,,,,1900-04-08
2020,yoengcheon,,,,1900-04-05
2019,yoengcheon,,,,1900-04-11
2018,yoengcheon,,,,1900-04-07
2016,yoengcheon,,,,1900-04-11
2014,yoengcheon,,,,1900-04-10
2013,yoengcheon,,,,1900-04-12
2012,yoengcheon,,,,1900-04-17
2011,yoengcheon,,,,1900-04-19
