station,year,Date
Yeongcheon,2004,2004-04-21
Yeongcheon,2005,2005-04-25
Yeongcheon,2006,2006-05-01
Yeongcheon,2007,2007-04-29
Yeongcheon,2008,2008-04-25
Yeongcheon,2009,2009-04-24
Yeongcheon,2010,2010-05-04
Yeongcheon,2011,2011-04-30
Yeongcheon,2012,2012-04-25
Yeongcheon,2013,2013-04-30
Yeongcheon,2014,2014-04-22
Yeongcheon,2015,2015-04-25
Yeongcheon,2016,2016-04-22
Yeongcheon,2017,2017-04-24
Yeongcheon,2018,2018-04-19
Yeongcheon,2019,2019-04-24
Yeongcheon,2020,2020-05-02
Yeongcheon,2021,2021-04-27
Yeongcheon,2022,2022-04-22
Yeongcheon,2023,2023-04-23
Yeongcheon,2024,2024-04-23
