year,station,내생휴면 해제일,예상 만개일
2004,naju,2004-02-13,2004-04-15
2005,naju,2005-02-15,2005-04-27
2006,naju,2006-02-13,2006-04-26
2007,naju,2007-01-25,2007-04-14
2008,naju,2008-02-15,2008-04-21
2009,naju,2009-02-05,2009-04-17
2010,naju,2010-02-15,2010-05-02
2011,naju,2011-02-15,2011-04-30
2012,naju,2012-02-15,2012-04-29
2013,naju,2013-02-15,2013-05-04
2014,naju,2014-02-06,2014-04-21
2015,naju,2015-02-07,2015-04-22
2016,naju,2016-02-14,2016-04-20
2017,naju,2017-02-13,2017-04-25
2018,naju,2018-02-15,2018-04-19
2019,naju,2019-02-05,2019-04-25
2020,naju,2020-02-03,2020-04-24
2021,naju,2021-02-11,2021-04-11
2022,naju,2022-02-12,2022-04-18
2023,naju,2023-02-06,2023-04-15
2024,naju,2024-02-09,2024-04-14
