지점,station,Date,tavg,tmin,tmax,year
710,나주,2021-01-01,-1.6,-7.4,3.8,2021
710,나주,2021-01-02,-1.1,-6.2,2.5,2021
710,나주,2021-01-03,-0.9,-6.5,3.5,2021
710,나주,2021-01-04,-0.5,-6.6,6.1,2021
710,나주,2021-01-05,-0.6,-3.6,3.7,2021
710,나주,2021-01-06,-2.5,-6.4,0.6,2021
710,나주,2021-01-07,-8.3,-13.8,-0.8,2021
710,나주,2021-01-08,-11.2,-15.8,-6.2,2021
710,나주,2021-01-09,-8.9,-16.1,-2.1,2021
710,나주,2021-01-10,-7.4,-15.7,-0.1,2021
710,나주,2021-01-11,-3.2,-7.8,0.3,2021
710,나주,2021-01-12,-2.9,-10.7,3.6,2021
710,나주,2021-01-13,1.7,-5.2,10.9,2021
710,나주,2021-01-14,3.3,-2.9,12.9,2021
710,나주,2021-01-15,6.9,0.6,15.8,2021
710,나주,2021-01-16,0.6,-1.8,3.8,2021
710,나주,2021-01-17,-1.5,-4.5,1.7,2021
710,나주,2021-01-18,1.1,-3.0,6.9,2021
710,나주,2021-01-19,-2.0,-5.8,3.5,2021
710,나주,2021-01-20,1.5,-6.2,11.6,2021
710,나주,2021-01-21,7.0,1.5,12.0,2021
710,나주,2021-01-22,9.2,7.6,11.7,2021
710,나주,2021-01-23,9.2,7.4,11.3,2021
710,나주,2021-01-24,7.4,1.7,14.0,2021
710,나주,2021-01-25,7.2,0.1,15.4,2021
710,나주,2021-01-26,6.4,4.9,8.9,2021
710,나주,2021-01-27,4.4,0.1,10.0,2021
710,나주,2021-01-28,0.4,-3.5,7.0,2021
710,나주,2021-01-29,-3.4,-6.2,0.2,2021
710,나주,2021-01-30,1.0,-6.2,10.3,2021
710,나주,2021-01-31,5.3,-2.9,13.2,2021
710,나주,2021-02-01,8.2,3.6,10.7,2021
710,나주,2021-02-02,-1.2,-4.5,3.6,2021
710,나주,2021-02-03,-0.1,-5.7,5.2,2021
710,나주,2021-02-04,1.1,-3.5,5.5,2021
710,나주,2021-02-05,1.3,-5.3,7.6,2021
710,나주,2021-02-06,4.6,-3.1,12.4,2021
710,나주,2021-02-07,6.4,2.0,13.7,2021
710,나주,2021-02-08,0.1,-4.2,4.3,2021
710,나주,2021-02-09,0.0,-6.3,8.2,2021
710,나주,2021-02-10,1.9,-6.2,11.3,2021
710,나주,2021-02-11,4.7,-1.2,12.0,2021
710,나주,2021-02-12,6.7,-0.1,16.6,2021
710,나주,2021-02-13,6.8,-2.8,19.2,2021
710,나주,2021-02-14,9.9,2.6,16.6,2021
710,나주,2021-02-15,4.2,0.3,8.4,2021
710,나주,2021-02-16,0.3,-4.9,6.3,2021
710,나주,2021-02-17,-3.9,-5.3,-1.7,2021
710,나주,2021-02-18,-1.9,-4.6,0.4,2021
710,나주,2021-02-19,1.4,-7.3,10.3,2021
710,나주,2021-02-20,7.0,-1.4,16.2,2021
710,나주,2021-02-21,10.3,0.0,21.9,2021
710,나주,2021-02-22,8.2,1.8,18.7,2021
710,나주,2021-02-23,2.4,-1.7,8.5,2021
710,나주,2021-02-24,2.3,-4.0,7.7,2021
710,나주,2021-02-25,4.2,0.1,6.4,2021
710,나주,2021-02-26,9.5,3.6,15.4,2021
710,나주,2021-02-27,7.5,0.3,14.4,2021
710,나주,2021-02-28,8.9,3.1,12.1,2021
710,나주,2021-03-01,11.3,5.2,17.0,2021
710,나주,2021-03-02,4.5,-0.4,8.8,2021
710,나주,2021-03-03,4.8,-2.8,12.0,2021
710,나주,2021-03-04,6.6,3.2,8.7,2021
710,나주,2021-03-05,9.5,2.2,18.9,2021
710,나주,2021-03-06,8.6,2.4,15.6,2021
710,나주,2021-03-07,8.1,4.6,12.4,2021
710,나주,2021-03-08,7.9,3.7,15.2,2021
710,나주,2021-03-09,7.7,3.7,14.4,2021
710,나주,2021-03-10,7.9,-0.9,18.6,2021
710,나주,2021-03-11,10.3,2.4,17.9,2021
710,나주,2021-03-12,9.4,6.8,12.3,2021
710,나주,2021-03-13,7.8,2.0,15.7,2021
710,나주,2021-03-14,7.5,0.9,15.6,2021
710,나주,2021-03-15,10.8,0.8,19.4,2021
710,나주,2021-03-16,10.3,3.8,15.6,2021
710,나주,2021-03-17,7.2,-0.8,18.0,2021
710,나주,2021-03-18,9.8,1.5,20.0,2021
710,나주,2021-03-19,12.9,6.4,20.2,2021
710,나주,2021-03-20,9.4,6.6,11.9,2021
710,나주,2021-03-21,7.0,5.2,11.0,2021
710,나주,2021-03-22,7.2,3.2,13.0,2021
710,나주,2021-03-23,7.9,0.5,16.7,2021
710,나주,2021-03-24,9.2,1.4,17.5,2021
710,나주,2021-03-25,11.1,2.7,20.8,2021
710,나주,2021-03-26,12.0,0.9,24.1,2021
710,나주,2021-03-27,14.1,8.4,16.5,2021
710,나주,2021-03-28,12.1,9.3,15.8,2021
710,나주,2021-03-29,12.7,8.6,18.2,2021
710,나주,2021-03-30,12.0,5.8,20.8,2021
710,나주,2021-03-31,13.1,3.2,23.2,2021
710,나주,2021-04-01,15.7,7.7,21.3,2021
710,나주,2021-04-02,17.9,13.4,21.4,2021
710,나주,2021-04-03,16.1,12.8,17.7,2021
710,나주,2021-04-04,10.9,9.3,12.8,2021
