year,station,dvs,mdvr,cd,obj
2004,naju,1900-04-10,1900-04-12,1900-04-15,1900-04-10
2005,naju,1900-04-19,1900-04-21,1900-04-27,1900-04-17
2006,naju,1900-04-11,1900-04-19,1900-04-26,1900-04-15
2007,naju,1900-03-31,1900-04-14,1900-04-14,1900-04-11
2008,naju,1900-04-15,1900-04-17,1900-04-21,1900-04-13
2009,naju,1900-04-08,1900-04-15,1900-04-17,1900-04-09
2010,naju,1900-04-10,1900-04-25,1900-05-02,1900-04-16
2011,naju,1900-04-21,1900-04-23,1900-04-30,1900-04-18
2012,naju,1900-04-19,1900-04-24,1900-04-29,1900-04-20
2013,naju,1900-04-20,1900-04-27,1900-05-04,1900-04-17
2014,naju,1900-04-12,1900-04-16,1900-04-21,1900-04-07
2015,naju,1900-04-14,1900-04-18,1900-04-22,1900-04-10
2016,naju,1900-04-11,1900-04-16,1900-04-20,1900-04-09
2017,naju,1900-04-15,1900-04-19,1900-04-25,1900-04-13
2018,naju,1900-04-10,1900-04-13,1900-04-19,1900-04-07
2019,naju,1900-04-16,,1900-04-25,1900-04-11
2020,naju,1900-03-26,1900-04-19,1900-04-24,1900-04-04
2021,naju,1900-03-27,1900-04-11,1900-04-11,1900-04-02
2022,naju,1900-04-10,1900-04-14,1900-04-18,1900-04-09
2023,naju,1900-04-03,1900-04-12,1900-04-15,1900-04-05
2024,naju,1900-04-01,1900-04-13,1900-04-14,1900-04-08
