지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
917,사천,2004-01-01,3.6,-3.7,10.6
917,사천,2004-01-02,3.8,-1.8,11.8
917,사천,2004-01-03,2.4,-5,11.8
917,사천,2004-01-04,3.3,-3.4,10.8
917,사천,2004-01-05,2.5,-3.4,11
917,사천,2004-01-06,3.9,-2.3,10.5
917,사천,2004-01-07,4.2,-2.6,12.2
917,사천,2004-01-08,2.5,-1.3,9.2
917,사천,2004-01-09,2.7,-2,9.7
917,사천,2004-01-10,3.7,-3.5,10.6
917,사천,2004-01-11,3.1,-1.1,9.9
917,사천,2004-01-12,2.6,-3,8.5
917,사천,2004-01-13,-.5,-4.1,3.8
917,사천,2004-01-14,-.9,-8.6,6.8
917,사천,2004-01-15,1.1,-5.5,7.8
917,사천,2004-01-16,3.1,-1.5,6.9
917,사천,2004-01-17,4.8,3.2,8.2
917,사천,2004-01-18,3.8,1.3,7.2
917,사천,2004-01-19,1.1,-3.4,6.4
917,사천,2004-01-20,.7,-5.8,6
917,사천,2004-01-21,-5.1,-10.3,.6
917,사천,2004-01-22,-7.3,-13.1,-1.6
917,사천,2004-01-23,-4.3,-12.7,3.9
917,사천,2004-01-24,-2.8,-8.9,3.7
917,사천,2004-01-25,-3.7,-9.8,2.9
917,사천,2004-01-26,-1.4,-9.3,3.9
917,사천,2004-01-27,-.8,-5,4.6
917,사천,2004-01-28,-.6,-9.2,8.6
917,사천,2004-01-29,.1,-7.4,9
917,사천,2004-01-30,2.1,-4.7,10
917,사천,2004-01-31,2.5,-4.6,11.4
917,사천,2004-02-01,5.3,-3.2,13.3
917,사천,2004-02-02,4.2,-1.5,10.1
917,사천,2004-02-03,.3,-2.9,5
917,사천,2004-02-04,-.2,-7.7,5.1
917,사천,2004-02-05,-.1,-3.3,2.9
917,사천,2004-02-06,-1,-7.6,3.3
917,사천,2004-02-07,-.5,-3.9,3
917,사천,2004-02-08,2.3,-7.6,9.5
917,사천,2004-02-09,.6,-6.3,9.6
917,사천,2004-02-10,1.8,-6.1,9.1
917,사천,2004-02-11,3.7,-5.9,12.7
917,사천,2004-02-12,4.4,-3.4,12.1
917,사천,2004-02-13,4.8,-2.8,10.8
917,사천,2004-02-14,7.1,.1,11
917,사천,2004-02-15,4.9,-3.1,13
917,사천,2004-02-16,5.6,-3,12.3
917,사천,2004-02-17,10.8,5.7,16.7
917,사천,2004-02-18,6.8,-3.7,16.3
917,사천,2004-02-19,8.9,.3,17.9
917,사천,2004-02-20,10,1.7,18.3
917,사천,2004-02-21,12.2,7.4,17.6
917,사천,2004-02-22,10.5,4,17.4
917,사천,2004-02-23,5.8,-.1,13
917,사천,2004-02-24,5.3,-1.7,11.6
917,사천,2004-02-25,8.4,.1,14
917,사천,2004-02-26,4.6,-1,9.3
917,사천,2004-02-27,4.1,-2.2,10.6
917,사천,2004-02-28,5.6,-1.9,11.8
917,사천,2004-02-29,11.3,6,18.1
917,사천,2004-03-01,7.4,3.7,11.7
917,사천,2004-03-02,4.7,1.2,9.3
917,사천,2004-03-03,-.4,-3.9,4.8
917,사천,2004-03-04,1.3,-6,5.7
917,사천,2004-03-05,4.6,.7,10.3
917,사천,2004-03-06,-.1,-3.8,3.1
