station,year,Date
sacheon,2004,2004-04-22
sacheon,2005,2005-04-25
sacheon,2006,2006-05-01
sacheon,2007,2007-04-30
sacheon,2008,2008-04-22
sacheon,2009,2009-04-30
sacheon,2010,2010-05-04
sacheon,2011,2011-04-27
sacheon,2012,2012-04-24
sacheon,2013,2013-04-29
sacheon,2014,2014-04-23
sacheon,2015,2015-04-23
sacheon,2016,2016-04-26
sacheon,2017,2017-04-25
sacheon,2018,2018-04-26
sacheon,2019,2019-04-30
sacheon,2020,2020-05-02
sacheon,2021,2021-04-30
sacheon,2022,2022-04-23
sacheon,2023,2023-04-25
sacheon,2024,2024-04-23
