지점,station,Date,tavg,tmin,tmax,year
917,사천,2017-01-01,1.7,-4.3,11.5,2017
917,사천,2017-01-02,5.8,-1.7,15.3,2017
917,사천,2017-01-03,2.3,-3.4,12.2,2017
917,사천,2017-01-04,2.5,-3.6,12.3,2017
917,사천,2017-01-05,5.8,-1.2,11.1,2017
917,사천,2017-01-06,6.0,0.0,12.8,2017
917,사천,2017-01-07,5.0,-1.2,9.6,2017
917,사천,2017-01-08,7.2,3.8,13.8,2017
917,사천,2017-01-09,5.0,-2.4,11.8,2017
917,사천,2017-01-10,1.4,-5.4,9.0,2017
917,사천,2017-01-11,-0.3,-3.0,5.8,2017
917,사천,2017-01-12,2.6,-4.1,8.5,2017
917,사천,2017-01-13,-0.5,-5.7,6.4,2017
917,사천,2017-01-14,-3.2,-8.3,3.8,2017
917,사천,2017-01-15,-3.8,-11.3,6.0,2017
917,사천,2017-01-16,-2.2,-9.2,7.5,2017
917,사천,2017-01-17,-1.0,-7.3,7.7,2017
917,사천,2017-01-18,3.1,-4.9,9.4,2017
917,사천,2017-01-19,1.3,-2.5,9.3,2017
917,사천,2017-01-20,-0.1,-6.2,4.6,2017
917,사천,2017-01-21,-0.8,-8.4,4.9,2017
917,사천,2017-01-22,-0.5,-7.4,4.7,2017
917,사천,2017-01-23,-4.3,-10.1,3.8,2017
917,사천,2017-01-24,-4.3,-11.3,6.2,2017
917,사천,2017-01-25,-3.0,-10.0,7.2,2017
917,사천,2017-01-26,1.1,-9.0,8.9,2017
917,사천,2017-01-27,4.8,-2.9,11.2,2017
917,사천,2017-01-28,3.0,-4.9,12.0,2017
917,사천,2017-01-29,4.1,2.0,5.5,2017
917,사천,2017-01-30,2.5,-4.6,6.8,2017
917,사천,2017-01-31,-0.5,-5.7,8.4,2017
917,사천,2017-02-01,1.3,-5.0,9.1,2017
917,사천,2017-02-02,-1.1,-9.0,10.5,2017
917,사천,2017-02-03,1.2,-7.6,11.0,2017
917,사천,2017-02-04,6.4,-1.4,12.2,2017
917,사천,2017-02-05,5.8,-0.5,12.3,2017
917,사천,2017-02-06,1.8,-4.0,8.6,2017
917,사천,2017-02-07,1.5,-4.2,9.2,2017
917,사천,2017-02-08,3.2,-3.2,8.9,2017
917,사천,2017-02-09,-0.7,-6.2,5.2,2017
917,사천,2017-02-10,-3.1,-8.7,3.4,2017
917,사천,2017-02-11,-1.9,-8.8,6.2,2017
917,사천,2017-02-12,-1.0,-9.0,8.6,2017
917,사천,2017-02-13,2.2,-8.0,10.7,2017
917,사천,2017-02-14,2.5,-3.9,11.0,2017
917,사천,2017-02-15,2.3,-6.3,13.2,2017
917,사천,2017-02-16,6.7,-5.4,16.3,2017
917,사천,2017-02-17,10.5,0.4,16.5,2017
917,사천,2017-02-18,2.8,-3.2,9.2,2017
917,사천,2017-02-19,4.8,-6.6,11.9,2017
917,사천,2017-02-20,8.5,-1.9,13.7,2017
917,사천,2017-02-21,2.9,-2.9,9.9,2017
917,사천,2017-02-22,4.3,0.6,6.7,2017
917,사천,2017-02-24,2.2,-4.3,9.2,2017
917,사천,2017-02-25,2.7,-5.3,12.2,2017
917,사천,2017-02-26,3.0,-4.6,11.5,2017
917,사천,2017-02-27,5.7,-0.7,14.4,2017
917,사천,2017-02-28,5.5,-1.9,14.7,2017
917,사천,2017-03-01,7.2,-0.3,15.0,2017
917,사천,2017-03-02,4.6,-3.2,11.3,2017
917,사천,2017-03-03,5.2,-4.6,13.0,2017
917,사천,2017-03-04,6.4,-2.2,15.8,2017
917,사천,2017-03-05,7.2,0.3,16.1,2017
917,사천,2017-03-06,5.4,0.9,11.5,2017
917,사천,2017-03-07,1.1,-5.4,8.9,2017
917,사천,2017-03-08,1.5,-7.1,9.2,2017
917,사천,2017-03-09,6.8,-2.5,14.2,2017
917,사천,2017-03-10,6.5,-2.4,15.5,2017
917,사천,2017-03-11,6.7,-3.1,18.1,2017
917,사천,2017-03-12,8.9,-2.2,18.9,2017
917,사천,2017-03-13,10.9,2.2,17.3,2017
917,사천,2017-03-14,8.6,2.1,16.1,2017
917,사천,2017-03-15,5.7,-2.6,14.6,2017
917,사천,2017-03-16,7.3,-0.7,14.8,2017
917,사천,2017-03-17,6.9,-1.4,17.6,2017
917,사천,2017-03-18,7.4,0.1,17.2,2017
917,사천,2017-03-19,9.4,1.0,19.8,2017
917,사천,2017-03-20,7.7,1.8,12.5,2017
917,사천,2017-03-21,9.5,2.4,17.5,2017
917,사천,2017-03-22,7.5,-1.1,14.8,2017
917,사천,2017-03-23,10.4,5.3,17.6,2017
917,사천,2017-03-24,9.2,3.4,14.9,2017
917,사천,2017-03-25,6.8,5.3,8.9,2017
917,사천,2017-03-26,7.6,4.0,14.4,2017
917,사천,2017-03-27,6.5,-0.5,14.1,2017
917,사천,2017-03-28,8.1,-2.2,17.2,2017
917,사천,2017-03-29,7.5,6.0,9.2,2017
917,사천,2017-03-30,11.2,4.7,21.1,2017
917,사천,2017-03-31,10.3,8.0,14.1,2017
917,사천,2017-04-01,8.4,2.7,15.3,2017
917,사천,2017-04-02,7.9,-0.3,18.0,2017
917,사천,2017-04-03,11.2,-0.6,23.1,2017
917,사천,2017-04-04,12.7,1.1,23.0,2017
917,사천,2017-04-05,14.0,9.4,16.9,2017
917,사천,2017-04-06,15.3,11.3,17.2,2017
917,사천,2017-04-07,15.8,10.3,23.6,2017
917,사천,2017-04-08,16.5,7.6,26.5,2017
917,사천,2017-04-09,15.7,11.3,21.9,2017
917,사천,2017-04-10,14.2,9.5,21.6,2017
917,사천,2017-04-11,13.1,9.4,20.6,2017
917,사천,2017-04-12,14.1,7.0,21.8,2017
917,사천,2017-04-13,15.1,4.9,22.6,2017
917,사천,2017-04-14,15.9,6.8,21.5,2017
917,사천,2017-04-15,18.5,12.6,26.4,2017
917,사천,2017-04-16,16.8,10.9,27.1,2017
917,사천,2017-04-17,14.9,10.9,18.4,2017
917,사천,2017-04-19,14.0,4.3,23.1,2017
917,사천,2017-04-20,13.8,8.4,20.9,2017
917,사천,2017-04-21,15.3,9.6,23.8,2017
917,사천,2017-04-22,13.2,7.4,21.1,2017
917,사천,2017-04-23,13.4,5.3,23.2,2017
917,사천,2017-04-24,14.8,5.6,22.8,2017
917,사천,2017-04-25,18.7,11.7,24.0,2017
917,사천,2017-04-26,15.0,10.5,20.7,2017
917,사천,2017-04-27,14.2,7.7,22.1,2017
917,사천,2017-04-28,16.9,6.7,24.9,2017
917,사천,2017-04-29,18.8,8.2,26.6,2017
917,사천,2017-04-30,21.6,12.1,28.6,2017
917,사천,2017-05-01,18.5,10.7,26.2,2017
917,사천,2017-05-02,16.1,8.3,24.8,2017
917,사천,2017-05-03,17.3,7.3,27.5,2017
917,사천,2017-05-04,18.7,9.1,26.4,2017
917,사천,2017-05-05,18.0,15.3,21.3,2017
917,사천,2017-05-07,19.8,6.8,28.3,2017
917,사천,2017-05-08,19.7,9.6,25.7,2017
917,사천,2017-05-09,14.1,13.2,20.1,2017
917,사천,2017-05-10,17.6,13.8,24.5,2017
917,사천,2017-05-11,20.2,13.1,29.3,2017
917,사천,2017-05-12,17.4,14.4,20.1,2017
917,사천,2017-05-13,18.8,12.0,26.3,2017
917,사천,2017-05-14,17.2,9.0,26.4,2017
917,사천,2017-05-15,16.2,7.3,24.5,2017
917,사천,2017-05-16,16.9,8.8,25.1,2017
917,사천,2017-05-17,17.8,9.9,27.0,2017
917,사천,2017-05-18,19.6,10.4,29.0,2017
917,사천,2017-05-19,21.6,11.3,30.7,2017
917,사천,2017-05-20,19.8,11.9,28.0,2017
917,사천,2017-05-21,20.0,12.5,28.4,2017
917,사천,2017-05-22,20.0,11.8,29.0,2017
917,사천,2017-05-23,19.7,11.8,26.6,2017
917,사천,2017-05-24,21.7,17.1,27.2,2017
917,사천,2017-05-25,21.7,13.3,31.3,2017
917,사천,2017-05-26,17.2,8.6,25.7,2017
917,사천,2017-05-27,18.0,10.0,26.3,2017
917,사천,2017-05-28,20.3,11.2,27.4,2017
917,사천,2017-05-29,25.6,18.7,33.9,2017
917,사천,2017-05-30,23.7,14.3,35.1,2017
917,사천,2017-05-31,22.1,17.2,28.8,2017
917,사천,2017-06-01,23.5,15.3,30.5,2017
917,사천,2017-06-02,20.1,11.4,28.9,2017
917,사천,2017-06-03,21.4,14.2,29.0,2017
917,사천,2017-06-04,20.5,12.6,29.1,2017
917,사천,2017-06-05,20.8,12.6,29.1,2017
917,사천,2017-06-06,18.2,14.6,23.3,2017
917,사천,2017-06-07,20.1,16.7,25.7,2017
917,사천,2017-06-08,21.1,12.9,30.0,2017
917,사천,2017-06-09,23.1,14.3,30.5,2017
917,사천,2017-06-10,23.8,19.9,29.4,2017
917,사천,2017-06-11,20.9,16.2,26.8,2017
917,사천,2017-06-12,19.5,14.3,25.4,2017
917,사천,2017-06-14,21.6,14.3,29.4,2017
917,사천,2017-06-15,23.8,13.8,33.1,2017
917,사천,2017-06-16,22.4,15.5,29.3,2017
917,사천,2017-06-17,21.9,14.4,30.2,2017
917,사천,2017-06-18,23.4,14.8,32.5,2017
917,사천,2017-06-19,25.0,15.5,33.6,2017
917,사천,2017-06-20,21.1,17.3,26.6,2017
917,사천,2017-06-21,23.3,17.1,30.5,2017
917,사천,2017-06-22,24.2,17.8,31.4,2017
917,사천,2017-06-23,23.7,17.8,32.4,2017
917,사천,2017-06-24,23.0,17.1,29.5,2017
917,사천,2017-06-25,23.7,18.8,29.1,2017
917,사천,2017-06-26,23.2,21.0,27.3,2017
917,사천,2017-06-27,23.2,19.8,27.9,2017
917,사천,2017-06-28,24.3,17.9,31.7,2017
917,사천,2017-06-29,22.0,19.4,25.3,2017
917,사천,2017-06-30,25.2,20.4,30.9,2017
917,사천,2017-07-01,27.0,24.3,32.3,2017
917,사천,2017-07-02,27.3,24.0,31.8,2017
917,사천,2017-07-03,27.1,26.0,29.3,2017
917,사천,2017-07-04,27.3,24.6,32.5,2017
917,사천,2017-07-05,27.3,24.0,33.5,2017
917,사천,2017-07-06,25.0,22.8,29.1,2017
917,사천,2017-07-07,26.2,22.8,31.6,2017
917,사천,2017-07-08,26.8,24.1,31.1,2017
917,사천,2017-07-09,28.1,22.9,32.9,2017
917,사천,2017-07-10,28.3,26.9,31.1,2017
917,사천,2017-07-11,26.4,22.8,29.6,2017
917,사천,2017-07-12,28.2,22.2,34.3,2017
917,사천,2017-07-13,27.3,21.4,34.4,2017
917,사천,2017-07-14,27.2,22.9,34.0,2017
917,사천,2017-07-15,28.3,23.7,31.4,2017
917,사천,2017-07-16,29.4,25.8,35.1,2017
917,사천,2017-07-17,27.5,23.6,33.4,2017
917,사천,2017-07-18,27.6,23.8,32.2,2017
917,사천,2017-07-19,28.2,23.4,35.2,2017
917,사천,2017-07-20,29.4,23.0,36.1,2017
917,사천,2017-07-21,31.2,25.7,36.9,2017
917,사천,2017-07-22,30.7,25.8,37.5,2017
917,사천,2017-07-23,29.6,25.1,33.2,2017
917,사천,2017-07-24,30.7,26.1,37.1,2017
917,사천,2017-07-25,28.3,24.7,35.5,2017
917,사천,2017-07-26,26.5,20.5,33.4,2017
917,사천,2017-07-27,25.6,18.5,33.5,2017
917,사천,2017-07-28,27.4,20.2,35.0,2017
917,사천,2017-07-29,26.4,23.4,31.0,2017
917,사천,2017-07-30,27.1,23.3,33.3,2017
917,사천,2017-07-31,27.2,23.7,32.7,2017
917,사천,2017-08-01,27.6,22.8,34.3,2017
917,사천,2017-08-02,27.7,24.1,34.3,2017
917,사천,2017-08-03,28.1,21.2,35.1,2017
917,사천,2017-08-04,29.7,25.3,36.4,2017
917,사천,2017-08-05,31.4,24.7,37.8,2017
917,사천,2017-08-06,31.5,25.8,38.8,2017
917,사천,2017-08-07,31.3,25.9,37.7,2017
917,사천,2017-08-08,28.6,22.4,34.8,2017
917,사천,2017-08-09,27.1,23.9,31.9,2017
917,사천,2017-08-10,29.4,25.0,35.2,2017
917,사천,2017-08-11,27.0,23.1,34.7,2017
917,사천,2017-08-12,26.4,21.7,32.4,2017
917,사천,2017-08-13,24.1,20.6,28.5,2017
917,사천,2017-08-14,22.5,21.8,23.3,2017
917,사천,2017-08-15,23.4,22.0,25.4,2017
917,사천,2017-08-16,26.9,23.2,33.2,2017
917,사천,2017-08-17,27.1,22.5,33.7,2017
917,사천,2017-08-18,27.3,23.7,33.5,2017
917,사천,2017-08-19,26.2,23.0,30.1,2017
917,사천,2017-08-20,25.4,23.7,30.5,2017
917,사천,2017-08-21,26.3,23.4,32.1,2017
917,사천,2017-08-22,27.3,23.9,31.3,2017
917,사천,2017-08-23,29.6,25.3,34.0,2017
917,사천,2017-08-24,29.9,27.8,34.2,2017
917,사천,2017-08-25,28.5,23.3,34.2,2017
917,사천,2017-08-26,24.9,16.8,32.4,2017
917,사천,2017-08-27,23.7,16.2,31.2,2017
917,사천,2017-08-28,25.8,18.4,32.0,2017
917,사천,2017-08-29,27.8,22.9,33.6,2017
917,사천,2017-08-30,23.7,20.5,28.8,2017
917,사천,2017-08-31,23.0,17.8,30.5,2017
917,사천,2017-09-01,23.2,18.3,29.7,2017
917,사천,2017-09-02,20.8,14.4,26.7,2017
917,사천,2017-09-03,22.2,14.8,29.3,2017
917,사천,2017-09-04,22.7,18.2,27.8,2017
917,사천,2017-09-05,22.4,20.5,25.2,2017
