year,station,dvs,mdvr,cd,obj
2004,sacheon,1900-03-31,1900-04-12,1900-04-13,
2005,sacheon,1900-04-11,1900-04-19,1900-04-23,
2006,sacheon,1900-04-04,1900-04-20,1900-04-22,
2007,sacheon,1900-03-29,1900-04-17,1900-04-15,
2008,sacheon,1900-04-11,1900-04-18,1900-04-21,
2009,sacheon,1900-03-28,1900-04-13,1900-04-12,
2010,sacheon,1900-04-06,1900-04-22,1900-04-25,
2011,sacheon,1900-04-15,1900-04-20,1900-04-26,
2012,sacheon,1900-04-09,1900-04-18,1900-04-23,
2013,sacheon,1900-04-07,1900-04-17,1900-04-24,
2014,sacheon,1900-04-03,1900-04-13,1900-04-15,
2015,sacheon,1900-04-07,1900-04-15,1900-04-19,
2016,sacheon,1900-04-03,1900-04-13,1900-04-14,
2017,sacheon,1900-04-06,1900-04-14,1900-04-16,
2018,sacheon,1900-04-05,1900-04-13,1900-04-18,
2019,sacheon,1900-04-03,1900-04-16,1900-04-17,1900-04-02
2020,sacheon,1900-03-22,1900-04-14,1900-04-14,1900-03-31
2021,sacheon,1900-03-20,1900-04-06,1900-04-05,1900-03-30
2022,sacheon,1900-04-02,1900-04-12,1900-04-13,1900-04-07
2023,sacheon,1900-03-31,1900-04-10,1900-04-11,1900-03-31
2024,sacheon,1900-04-03,1900-04-14,1900-04-16,1900-04-06
