year,station,내생휴면 해제일,예상 만개일
2004,ulju,2004-01-31,2004-04-14
2005,ulju,2005-02-09,2005-04-23
2006,ulju,2006-01-29,2006-04-18
2007,ulju,2007-01-25,2007-04-12
2008,ulju,2008-01-29,2008-04-19
2009,ulju,2009-02-02,2009-04-10
2010,ulju,2010-02-12,2010-05-03
2011,ulju,2011-02-15,2011-04-30
2012,ulju,2012-02-15,2012-04-26
2013,ulju,2013-02-15,2013-04-24
2014,ulju,2014-01-31,2014-04-17
2015,ulju,2015-02-04,2015-04-26
2016,ulju,2016-02-10,2016-04-20
2017,ulju,2017-01-30,2017-04-23
2018,ulju,2018-02-14,2018-04-20
2019,ulju,2019-01-24,2019-04-20
2020,ulju,2020-01-30,2020-04-19
2021,ulju,2021-02-06,2021-04-13
2022,ulju,2022-01-29,2022-04-19
2023,ulju,2023-02-01,2023-04-11
2024,ulju,2024-01-30,2024-04-17
