지점,station,Date,tavg,tmin,tmax,year
900,두서,2009-01-01,-2.2,-6.5,1.8,2009
900,두서,2009-01-02,0.0,-5.0,7.3,2009
900,두서,2009-01-03,1.0,-7.2,10.6,2009
900,두서,2009-01-04,0.7,-5.6,8.7,2009
900,두서,2009-01-05,2.8,-3.5,7.9,2009
900,두서,2009-01-06,1.7,-5.8,10.0,2009
900,두서,2009-01-07,2.9,-2.2,9.4,2009
900,두서,2009-01-08,2.5,-4.6,11.0,2009
900,두서,2009-01-09,1.8,-1.1,4.8,2009
900,두서,2009-01-10,-2.2,-4.6,1.5,2009
900,두서,2009-01-11,-1.0,-6.0,3.8,2009
900,두서,2009-01-12,-2.5,-5.9,1.9,2009
900,두서,2009-01-13,-1.6,-5.8,3.2,2009
900,두서,2009-01-14,-1.6,-5.5,2.7,2009
900,두서,2009-01-15,-2.7,-9.4,3.7,2009
900,두서,2009-01-16,0.4,-4.7,7.2,2009
900,두서,2009-01-17,1.9,-6.6,11.0,2009
900,두서,2009-01-18,6.4,-0.5,11.6,2009
900,두서,2009-01-19,3.9,0.4,8.5,2009
900,두서,2009-01-20,3.4,-2.1,11.6,2009
900,두서,2009-01-21,1.5,-2.2,6.7,2009
900,두서,2009-01-22,3.3,-3.3,11.3,2009
900,두서,2009-01-23,-1.3,-7.5,7.1,2009
900,두서,2009-01-24,-3.5,-9.3,1.0,2009
900,두서,2009-01-25,-0.5,-6.3,3.8,2009
900,두서,2009-01-26,-0.4,-5.1,4.8,2009
900,두서,2009-01-27,0.1,-6.2,6.9,2009
900,두서,2009-01-28,2.1,-6.5,12.4,2009
900,두서,2009-01-29,2.8,-3.0,7.9,2009
900,두서,2009-01-30,8.6,4.3,9.6,2009
900,두서,2009-01-31,6.5,4.5,9.2,2009
900,두서,2009-02-01,4.8,0.6,10.1,2009
900,두서,2009-02-02,6.7,-0.3,15.0,2009
900,두서,2009-02-03,6.6,3.8,9.9,2009
900,두서,2009-02-04,6.8,1.3,14.4,2009
900,두서,2009-02-05,7.2,0.5,13.6,2009
900,두서,2009-02-06,5.6,-0.5,12.0,2009
900,두서,2009-02-07,7.7,1.6,13.3,2009
900,두서,2009-02-08,6.7,0.5,14.2,2009
900,두서,2009-02-09,6.1,2.7,10.5,2009
900,두서,2009-02-10,6.4,0.7,14.2,2009
900,두서,2009-02-11,6.6,-1.7,15.8,2009
900,두서,2009-02-12,9.4,-1.9,16.4,2009
900,두서,2009-02-13,17.5,14.0,20.3,2009
900,두서,2009-02-14,11.6,6.1,18.3,2009
900,두서,2009-02-15,5.2,0.9,13.7,2009
900,두서,2009-02-16,-0.4,-3.4,3.7,2009
900,두서,2009-02-17,0.1,-5.0,5.2,2009
900,두서,2009-02-18,2.7,-1.0,7.7,2009
900,두서,2009-02-19,2.7,-1.1,6.8,2009
900,두서,2009-02-20,3.3,-1.1,7.3,2009
900,두서,2009-02-21,1.2,-6.2,9.5,2009
900,두서,2009-02-22,5.1,-0.7,7.7,2009
900,두서,2009-02-23,8.6,4.7,13.0,2009
900,두서,2009-02-24,9.9,5.6,17.1,2009
900,두서,2009-02-25,9.9,5.9,14.6,2009
900,두서,2009-02-26,7.1,4.6,10.2,2009
900,두서,2009-02-27,6.5,4.1,10.0,2009
900,두서,2009-02-28,6.4,0.2,13.7,2009
900,두서,2009-03-01,7.7,1.1,13.8,2009
900,두서,2009-03-02,4.4,2.2,6.7,2009
900,두서,2009-03-03,4.5,2.3,6.7,2009
900,두서,2009-03-04,6.8,2.4,13.1,2009
900,두서,2009-03-05,7.6,3.5,12.3,2009
900,두서,2009-03-06,7.3,2.6,10.6,2009
900,두서,2009-03-07,5.5,0.5,11.5,2009
900,두서,2009-03-08,8.5,1.6,16.3,2009
900,두서,2009-03-09,8.2,3.0,16.3,2009
900,두서,2009-03-10,9.6,4.0,15.4,2009
900,두서,2009-03-11,7.1,1.7,14.7,2009
900,두서,2009-03-12,7.4,-0.9,14.1,2009
900,두서,2009-03-13,8.8,4.2,17.6,2009
900,두서,2009-03-14,3.1,-1.5,8.4,2009
900,두서,2009-03-15,7.7,0.0,14.4,2009
900,두서,2009-03-16,13.5,5.9,19.8,2009
900,두서,2009-03-17,14.9,5.5,21.7,2009
900,두서,2009-03-18,18.7,13.4,22.0,2009
900,두서,2009-03-19,17.9,10.3,22.7,2009
900,두서,2009-03-20,8.7,4.2,14.3,2009
900,두서,2009-03-21,12.5,2.4,20.5,2009
900,두서,2009-03-22,15.7,10.2,19.0,2009
900,두서,2009-03-23,9.2,4.6,14.0,2009
900,두서,2009-03-24,7.5,1.5,13.3,2009
900,두서,2009-03-25,4.9,0.9,10.2,2009
900,두서,2009-03-26,8.7,1.6,15.1,2009
900,두서,2009-03-27,6.7,2.7,13.8,2009
900,두서,2009-03-28,7.1,3.2,14.8,2009
900,두서,2009-03-29,5.2,1.2,8.0,2009
900,두서,2009-03-30,8.0,2.7,12.3,2009
900,두서,2009-03-31,10.0,4.9,15.4,2009
900,두서,2009-04-01,6.0,2.8,11.1,2009
900,두서,2009-04-02,9.5,1.7,17.9,2009
900,두서,2009-04-03,12.1,4.7,19.6,2009
900,두서,2009-04-04,13.6,11.0,18.2,2009
900,두서,2009-04-05,12.1,4.8,20.6,2009
900,두서,2009-04-06,13.2,3.2,21.5,2009
900,두서,2009-04-07,15.1,5.5,24.9,2009
900,두서,2009-04-08,14.4,7.6,24.2,2009
900,두서,2009-04-09,15.6,5.5,25.8,2009
900,두서,2009-04-10,17.5,7.5,28.7,2009
900,두서,2009-04-11,16.2,8.5,26.1,2009
900,두서,2009-04-12,16.8,6.4,26.4,2009
900,두서,2009-04-13,18.0,10.0,25.2,2009
900,두서,2009-04-14,11.9,6.2,16.5,2009
900,두서,2009-04-15,14.3,5.0,22.6,2009
900,두서,2009-04-16,9.6,6.6,13.6,2009
900,두서,2009-04-17,12.3,4.3,21.1,2009
900,두서,2009-04-18,17.8,6.1,30.0,2009
900,두서,2009-04-19,17.5,8.8,25.6,2009
900,두서,2009-04-20,14.3,12.5,16.5,2009
900,두서,2009-04-21,15.9,12.3,19.7,2009
900,두서,2009-04-22,16.6,11.2,22.5,2009
