year,station,내생휴면 해제일,예상 만개일
2004,wanju,2004-02-15,2004-04-21
2005,wanju,2005-02-15,2005-04-29
2006,wanju,2006-02-15,2006-05-01
2007,wanju,2007-02-06,2007-04-22
2008,wanju,2008-02-15,2008-04-22
2009,wanju,2009-02-07,2009-04-21
2010,wanju,2010-02-15,2010-05-03
2011,wanju,2011-02-15,2011-05-04
2012,wanju,2012-02-15,2012-05-02
2013,wanju,2013-02-15,2013-05-04
2014,wanju,2014-02-11,2014-04-20
2015,wanju,2015-02-15,2015-04-24
2016,wanju,2016-02-15,2016-04-17
2017,wanju,2017-02-15,2017-04-26
2018,wanju,2018-02-15,2018-04-21
2019,wanju,2019-02-15,2019-04-28
2020,wanju,2020-02-02,2020-04-28
2021,wanju,2021-02-11,2021-04-12
2022,wanju,2022-02-13,2022-04-21
2023,wanju,2023-02-08,2023-04-16
2024,wanju,2024-02-10,2024-04-14
